number,value,datetime_start,datetime_complete,duration,params_compile_batch_size,params_compile_beta_b,params_compile_beta_z,params_compile_lr,params_compile_prior_rate,params_compile_train_steps,params_hidden_size,state
0,0.12954,2025-06-11 06:06:49.808406,2025-06-11 06:22:50.086880,0 days 00:16:00.278474000,128,0.01,1.0,0.1,15,5000,64,COMPLETE
1,0.27268000000000003,2025-06-11 06:22:50.092587,2025-06-11 06:36:27.697743,0 days 00:13:37.605156000,128,0.01,0.1,0.001,15,500,512,COMPLETE
2,0.29134000000000004,2025-06-11 06:36:27.705056,2025-06-11 06:52:32.808481,0 days 00:16:05.103425000,256,0.5,0.5,0.001,10,5000,64,COMPLETE
3,0.27904,2025-06-11 06:52:32.813369,2025-06-11 07:20:06.747174,0 days 00:27:33.933805000,256,0.01,0.01,0.0001,3,5000,128,COMPLETE
4,0.27664000000000005,2025-06-11 07:20:06.752272,2025-06-11 07:22:56.781949,0 days 00:02:50.029677000,256,0.01,0.01,0.001,3,500,128,COMPLETE
5,0.17118,2025-06-11 07:22:56.787238,2025-06-11 07:50:18.342012,0 days 00:27:21.554774000,256,0.01,0.5,0.1,10,5000,128,COMPLETE
6,0.24956,2025-06-11 07:50:18.347537,2025-06-11 08:06:25.347675,0 days 00:16:07.000138000,128,0.1,0.5,0.001,15,5000,64,COMPLETE
7,0.30786,2025-06-11 08:06:25.353370,2025-06-11 08:40:19.644296,0 days 00:33:54.290926000,64,1.0,0.01,0.0001,3,5000,256,COMPLETE
8,0.14896,2025-06-11 08:40:19.650189,2025-06-11 08:55:45.191604,0 days 00:15:25.541415000,64,1.0,1.0,0.001,3,5000,128,COMPLETE
9,0.15986,2025-06-11 08:55:45.199760,2025-06-11 09:29:19.226183,0 days 00:33:34.026423000,256,1.0,0.01,0.1,15,3000,256,COMPLETE
10,0.22184,2025-06-11 09:29:19.232309,2025-06-11 09:50:01.923992,0 days 00:20:42.691683000,64,1.0,0.1,0.0001,3,3000,256,COMPLETE
11,0.29906,2025-06-11 09:50:01.930466,2025-06-11 10:24:05.332508,0 days 00:34:03.402042000,64,0.5,0.5,0.0001,10,5000,256,COMPLETE
12,0.26978,2025-06-11 10:24:05.339014,2025-06-11 10:57:54.645051,0 days 00:33:49.306037000,64,0.5,0.01,0.0001,10,5000,256,COMPLETE
13,0.27706,2025-06-11 10:57:54.651874,2025-06-11 11:31:45.042443,0 days 00:33:50.390569000,64,0.5,0.5,0.0001,10,5000,256,COMPLETE
14,0.29300000000000004,2025-06-11 11:31:45.049452,2025-06-11 11:52:14.054034,0 days 00:20:29.004582000,64,0.1,0.01,0.0001,3,3000,256,COMPLETE
15,0.27024,2025-06-11 11:52:14.061247,2025-06-11 12:01:53.342110,0 days 00:09:39.280863000,64,1.0,0.5,0.0001,10,500,512,COMPLETE
16,0.29058,2025-06-11 12:01:53.349553,2025-06-11 12:35:46.297573,0 days 00:33:52.948020000,64,0.5,1.0,0.0001,10,5000,256,COMPLETE
17,0.12184,2025-06-11 12:35:46.305035,2025-06-11 13:09:48.260494,0 days 00:34:01.955459000,64,1.0,0.1,0.0001,3,5000,256,COMPLETE
18,0.0897,2025-06-11 13:09:48.268368,2025-06-11 13:13:21.625598,0 days 00:03:33.357230000,64,0.5,0.5,0.0001,3,500,256,COMPLETE
19,0.35964,2025-06-11 13:13:21.633640,2025-06-11 14:10:33.681904,0 days 00:57:12.048264000,64,0.1,0.01,0.0001,10,3000,512,COMPLETE
20,0.16108000000000003,2025-06-11 14:10:33.690106,2025-06-11 15:50:26.419028,0 days 01:39:52.728922000,128,0.1,0.01,0.1,10,3000,512,COMPLETE
21,0.28636,2025-06-11 15:50:26.431034,2025-06-11 16:48:33.309184,0 days 00:58:06.878150000,64,0.1,0.01,0.0001,10,3000,512,COMPLETE
22,0.2778,2025-06-11 16:48:33.317749,2025-06-11 17:45:40.610092,0 days 00:57:07.292343000,64,0.1,0.01,0.0001,10,3000,512,COMPLETE
23,0.29710000000000003,2025-06-11 17:45:40.618859,2025-06-11 18:42:44.617061,0 days 00:57:03.998202000,64,0.1,0.01,0.0001,10,3000,512,COMPLETE
24,0.25328,2025-06-11 18:42:44.625945,2025-06-11 19:16:42.226260,0 days 00:33:57.600315000,64,1.0,0.01,0.0001,10,5000,256,COMPLETE
25,0.15448,2025-06-11 19:16:42.235482,2025-06-11 19:35:07.250122,0 days 00:18:25.014640000,64,0.5,0.5,0.0001,3,3000,256,COMPLETE
26,0.27198,2025-06-11 19:35:07.259458,2025-06-11 21:10:10.499107,0 days 01:35:03.239649000,64,0.1,0.1,0.0001,10,5000,512,COMPLETE
27,0.26384,2025-06-11 21:10:10.508578,2025-06-11 21:15:33.061327,0 days 00:05:22.552749000,64,1.0,1.0,0.0001,15,3000,64,COMPLETE
28,0.25236,2025-06-11 21:15:33.070924,2025-06-11 21:21:21.883521,0 days 00:05:48.812597000,128,0.5,0.01,0.0001,10,500,256,COMPLETE
29,0.13514,2025-06-11 21:21:21.893449,2025-06-11 21:31:14.551036,0 days 00:09:52.657587000,64,1.0,1.0,0.1,3,5000,64,COMPLETE
30,0.16974000000000003,2025-06-11 21:31:14.561094,2025-06-12 00:17:14.175449,0 days 02:45:59.614355000,128,0.1,0.5,0.1,15,5000,512,COMPLETE
31,0.31692000000000004,2025-06-12 00:17:14.185782,2025-06-12 01:14:14.701186,0 days 00:57:00.515404000,64,0.1,0.01,0.0001,10,3000,512,COMPLETE
32,0.29716,2025-06-12 01:14:14.711696,2025-06-12 02:11:18.851607,0 days 00:57:04.139911000,64,0.1,0.01,0.0001,10,3000,512,COMPLETE
33,0.31562,2025-06-12 02:11:18.862265,2025-06-12 03:08:19.371359,0 days 00:57:00.509094000,64,0.1,0.01,0.0001,10,3000,512,COMPLETE
34,0.26652,2025-06-12 03:08:19.382202,2025-06-12 04:05:11.931970,0 days 00:56:52.549768000,64,0.1,0.01,0.0001,10,3000,512,COMPLETE
35,0.26210000000000006,2025-06-12 04:05:11.942950,2025-06-12 05:46:44.967204,0 days 01:41:33.024254000,256,0.1,0.01,0.001,10,3000,512,COMPLETE
36,0.32392000000000004,2025-06-12 05:46:44.978753,2025-06-12 06:42:50.409293,0 days 00:56:05.430540000,64,0.1,0.01,0.0001,10,3000,512,COMPLETE
37,0.26332,2025-06-12 06:42:50.420492,2025-06-12 08:24:34.406242,0 days 01:41:43.985750000,128,0.1,0.01,0.001,10,3000,512,COMPLETE
38,0.3576,2025-06-12 08:24:34.417874,2025-06-12 10:06:35.866657,0 days 01:42:01.448783000,256,0.01,0.01,0.0001,10,3000,512,COMPLETE
39,0.33414,2025-06-12 10:06:35.878560,2025-06-12 11:48:40.163504,0 days 01:42:04.284944000,256,0.01,0.01,0.0001,10,3000,512,COMPLETE
40,0.22574,2025-06-12 11:48:40.175539,2025-06-12 12:05:11.898794,0 days 00:16:31.723255000,256,0.01,0.01,0.001,15,3000,128,COMPLETE
41,0.34752000000000005,2025-06-12 12:05:11.911008,2025-06-12 13:47:18.188723,0 days 01:42:06.277715000,256,0.01,0.01,0.0001,10,3000,512,COMPLETE
42,0.35250000000000004,2025-06-12 13:47:18.201147,2025-06-12 15:29:27.854647,0 days 01:42:09.653500000,256,0.01,0.01,0.0001,10,3000,512,COMPLETE
43,0.32202,2025-06-12 15:29:27.866970,2025-06-12 17:15:13.247453,0 days 01:45:45.380483000,256,0.01,0.01,0.0001,10,3000,512,COMPLETE
44,0.30884,2025-06-12 17:15:13.260992,2025-06-12 18:57:47.979603,0 days 01:42:34.718611000,256,0.01,0.1,0.0001,10,3000,512,COMPLETE
