number,value,datetime_start,datetime_complete,duration,params_compile_batch_size,params_compile_beta_b,params_compile_beta_z,params_compile_lr,params_compile_prior_rate,params_compile_train_steps,params_hidden_size,state
0,0.15844,2025-06-05 15:01:49.552201,2025-06-05 15:03:26.663873,0 days 00:01:37.111672000,128,0.5,0.1,0.1,15,500,64,COMPLETE
1,0.25994000000000006,2025-06-08 13:49:15.300757,2025-06-08 13:58:37.144780,0 days 00:09:21.844023000,256,1.0,0.01,0.0001,3,3000,64,COMPLETE
2,0.27034,2025-06-08 13:58:37.152625,2025-06-08 14:04:31.512687,0 days 00:05:54.360062000,256,0.1,0.1,0.001,10,500,256,COMPLETE
3,0.31024,2025-06-08 14:04:31.517684,2025-06-08 14:05:36.252539,0 days 00:01:04.734855000,64,1.0,0.01,0.001,10,500,64,COMPLETE
4,0.39204,2025-06-08 14:05:36.257958,2025-06-08 15:37:03.511719,0 days 01:31:27.253761000,128,0.5,0.01,0.0001,3,3000,512,COMPLETE
5,0.33436,2025-06-08 15:37:03.517062,2025-06-08 16:10:59.193104,0 days 00:33:55.676042000,64,0.01,0.1,0.001,3,5000,256,COMPLETE
6,0.20706000000000002,2025-06-08 16:10:59.198528,2025-06-08 16:19:44.020402,0 days 00:08:44.821874000,64,1.0,0.01,0.1,3,500,512,COMPLETE
7,0.3598,2025-06-08 16:19:44.026634,2025-06-08 16:22:22.745790,0 days 00:02:38.719156000,128,0.01,0.1,0.0001,3,500,128,COMPLETE
8,0.2755,2025-06-08 16:22:22.751696,2025-06-08 16:37:42.870436,0 days 00:15:20.118740000,128,1.0,0.01,0.001,3,500,512,COMPLETE
9,0.20786000000000002,2025-06-08 16:37:42.876619,2025-06-08 16:47:01.171581,0 days 00:09:18.294962000,128,1.0,0.5,0.001,15,3000,64,COMPLETE
10,0.16742,2025-06-08 16:47:01.177887,2025-06-08 18:18:42.001902,0 days 01:31:40.824015000,128,0.5,1.0,0.0001,10,3000,512,COMPLETE
11,0.25336000000000003,2025-06-08 18:18:42.008382,2025-06-08 18:41:28.360306,0 days 00:22:46.351924000,128,0.01,1.0,0.0001,3,5000,128,COMPLETE
