number,value,datetime_start,datetime_complete,duration,params_compile_batch_size,params_compile_beta_b,params_compile_beta_z,params_compile_lr,params_compile_prior_rate,params_compile_train_steps,params_hidden_size,state
0,0.2097,2025-07-05 16:12:45.664738,2025-07-05 16:35:03.387502,0 days 00:22:17.722764000,128,0.01,0.5,0.0001,10,5000,64,COMPLETE
1,0.20716,2025-07-05 16:35:03.393354,2025-07-05 16:44:34.715183,0 days 00:09:31.321829000,128,1.0,0.01,0.0001,3,500,256,COMPLETE
2,0.09304,2025-07-05 16:44:34.720024,2025-07-05 16:58:04.613066,0 days 00:13:29.893042000,128,0.1,0.5,0.1,10,3000,64,COMPLETE
3,0.20600000000000002,2025-07-05 16:58:04.618158,2025-07-05 17:07:33.438755,0 days 00:09:28.820597000,128,0.1,0.5,0.001,15,500,256,COMPLETE
4,0.18598,2025-07-05 17:07:33.443878,2025-07-05 17:09:53.951199,0 days 00:02:20.507321000,64,0.1,0.01,0.001,10,500,128,COMPLETE
5,0.10750000000000001,2025-07-05 17:09:53.956524,2025-07-05 17:54:03.394402,0 days 00:44:09.437878000,256,0.1,0.5,0.1,15,3000,128,COMPLETE
6,0.26562,2025-07-05 17:54:03.399989,2025-07-05 18:17:04.813026,0 days 00:23:01.413037000,128,1.0,0.01,0.0001,15,3000,128,COMPLETE
7,0.13434000000000001,2025-07-05 18:17:04.818701,2025-07-05 18:29:39.333538,0 days 00:12:34.514837000,64,0.01,0.01,0.001,15,3000,128,COMPLETE
8,0.21764,2025-07-05 18:29:39.342769,2025-07-05 18:37:34.223274,0 days 00:07:54.880505000,64,0.01,0.1,0.001,10,3000,64,COMPLETE
9,0.09864,2025-07-05 18:37:34.229330,2025-07-05 19:00:10.992961,0 days 00:22:36.763631000,128,0.01,0.1,0.1,15,3000,128,COMPLETE
10,-inf,2025-07-05 19:00:11.000892,2025-07-05 19:00:15.014216,0 days 00:00:04.013324000,256,1.0,1.0,0.0001,3,5000,512,COMPLETE
11,0.25862,2025-07-05 19:00:15.020676,2025-07-05 19:08:05.785933,0 days 00:07:50.765257000,64,0.5,0.1,0.001,10,3000,64,COMPLETE
12,0.20402000000000003,2025-07-05 19:08:05.792604,2025-07-05 20:38:27.918867,0 days 01:30:22.126263000,64,0.5,0.1,0.0001,15,3000,512,COMPLETE
13,0.11782000000000001,2025-07-05 20:38:27.925662,2025-07-05 20:46:17.852094,0 days 00:07:49.926432000,64,0.5,1.0,0.001,10,3000,64,COMPLETE
14,0.18244000000000002,2025-07-05 20:46:17.859097,2025-07-05 21:31:34.141455,0 days 00:45:16.282358000,256,1.0,0.01,0.0001,3,3000,128,COMPLETE
