number,value,datetime_start,datetime_complete,duration,params_compile_batch_size,params_compile_beta_b,params_compile_beta_z,params_compile_lr,params_compile_prior_rate,params_compile_train_steps,params_hidden_size,state
0,0.19306,2025-07-09 14:58:38.175650,2025-07-09 15:02:06.347298,0 days 00:03:28.171648000,128,0.01,0.5,0.0001,3,500,128,COMPLETE
1,0.35072,2025-07-09 15:02:06.353112,2025-07-09 15:08:37.163402,0 days 00:06:30.810290000,256,0.5,0.01,0.001,15,500,128,COMPLETE
2,0.09192,2025-07-09 15:08:37.168279,2025-07-09 15:19:53.114326,0 days 00:11:15.946047000,128,1.0,0.1,0.1,10,3000,64,COMPLETE
3,0.11378000000000002,2025-07-09 15:19:53.119268,2025-07-09 15:45:12.666613,0 days 00:25:19.547345000,64,1.0,1.0,0.1,3,3000,256,COMPLETE
4,0.21514,2025-07-09 15:45:12.671678,2025-07-09 16:03:22.279073,0 days 00:18:09.607395000,64,1.0,0.5,0.0001,10,5000,128,COMPLETE
5,0.23036000000000004,2025-07-09 16:03:22.284378,2025-07-09 16:04:49.889463,0 days 00:01:27.605085000,64,0.1,0.01,0.0001,3,500,64,COMPLETE
6,0.09192,2025-07-09 16:04:49.894998,2025-07-09 16:16:14.789836,0 days 00:11:24.894838000,64,0.1,1.0,0.1,3,5000,64,COMPLETE
7,0.22918,2025-07-09 16:16:14.795575,2025-07-09 16:23:17.607940,0 days 00:07:02.812365000,64,0.5,1.0,0.0001,15,3000,64,COMPLETE
8,0.2088,2025-07-09 16:23:17.613850,2025-07-09 16:31:12.127442,0 days 00:07:54.513592000,128,1.0,0.1,0.0001,10,500,256,COMPLETE
9,0.17988,2025-07-09 16:31:12.135838,2025-07-09 17:33:46.632955,0 days 01:02:34.497117000,256,0.5,0.01,0.001,10,5000,128,COMPLETE
10,-inf,2025-07-09 17:33:46.639310,2025-07-09 17:33:50.586928,0 days 00:00:03.947618000,256,0.5,0.01,0.001,15,500,512,COMPLETE
11,-inf,2025-07-09 17:33:50.593375,2025-07-09 17:33:54.509083,0 days 00:00:03.915708000,256,0.1,0.01,0.001,15,500,512,COMPLETE
12,0.26134,2025-07-09 17:33:54.515782,2025-07-09 17:37:51.075673,0 days 00:03:56.559891000,256,0.1,0.01,0.001,15,500,64,COMPLETE
13,0.24042000000000002,2025-07-09 17:37:51.082553,2025-07-09 17:44:25.340342,0 days 00:06:34.257789000,256,0.01,0.01,0.001,15,500,128,COMPLETE
14,0.22732000000000002,2025-07-09 17:44:25.347374,2025-07-09 17:48:22.680262,0 days 00:03:57.332888000,256,0.5,0.01,0.001,15,500,64,COMPLETE
15,0.23324,2025-07-09 17:48:22.687513,2025-07-09 17:54:57.981476,0 days 00:06:35.293963000,256,0.1,0.01,0.001,15,500,128,COMPLETE
16,0.25322,2025-07-09 17:54:57.988928,2025-07-09 18:10:47.012614,0 days 00:15:49.023686000,256,0.5,0.01,0.001,15,500,256,COMPLETE
17,-inf,2025-07-09 18:10:47.020245,2025-07-09 18:10:50.959547,0 days 00:00:03.939302000,256,0.1,0.1,0.001,15,500,512,COMPLETE
18,0.18764000000000003,2025-07-09 18:10:50.967403,2025-07-09 18:32:44.054874,0 days 00:21:53.087471000,256,0.01,0.5,0.001,15,3000,64,COMPLETE
19,0.16720000000000002,2025-07-09 18:32:44.063138,2025-07-09 19:35:00.517680,0 days 01:02:16.454542000,256,0.1,0.01,0.001,15,5000,128,COMPLETE
20,0.16161999999999999,2025-07-09 19:35:00.525901,2025-07-09 19:38:25.432129,0 days 00:03:24.906228000,128,0.5,0.01,0.1,15,500,128,COMPLETE
21,0.35112,2025-07-09 19:38:25.440496,2025-07-09 19:54:02.606752,0 days 00:15:37.166256000,256,0.5,0.01,0.001,15,500,256,COMPLETE
22,0.23868,2025-07-09 19:54:02.615167,2025-07-09 20:09:45.871819,0 days 00:15:43.256652000,256,0.5,0.01,0.001,15,500,256,COMPLETE
23,0.28598,2025-07-09 20:09:45.880527,2025-07-09 20:25:26.360222,0 days 00:15:40.479695000,256,0.5,0.01,0.001,15,500,256,COMPLETE
24,0.27640000000000003,2025-07-09 20:25:26.369201,2025-07-09 20:41:05.808907,0 days 00:15:39.439706000,256,0.5,0.01,0.001,15,500,256,COMPLETE
25,0.22306,2025-07-09 20:41:05.818038,2025-07-09 20:56:48.693144,0 days 00:15:42.875106000,256,0.5,0.01,0.001,15,500,256,COMPLETE
26,0.2276,2025-07-09 20:56:48.702321,2025-07-09 21:12:29.360162,0 days 00:15:40.657841000,256,0.5,1.0,0.001,15,500,256,COMPLETE
27,0.16724,2025-07-09 21:12:29.369614,2025-07-09 22:44:39.356912,0 days 01:32:09.987298000,256,0.5,0.5,0.001,3,3000,256,COMPLETE
28,0.18422,2025-07-09 22:44:39.366487,2025-07-09 22:52:40.604063,0 days 00:08:01.237576000,128,0.5,0.1,0.001,10,500,256,COMPLETE
29,0.09192,2025-07-09 22:52:40.613803,2025-07-10 01:25:01.376637,0 days 02:32:20.762834000,256,0.01,0.5,0.1,15,5000,256,COMPLETE
30,0.21166000000000001,2025-07-10 01:25:01.386587,2025-07-10 01:28:28.140099,0 days 00:03:26.753512000,128,0.5,0.01,0.0001,3,500,128,COMPLETE
31,0.23832,2025-07-10 01:28:28.150313,2025-07-10 01:44:15.382420,0 days 00:15:47.232107000,256,0.5,0.01,0.001,15,500,256,COMPLETE
32,0.24604000000000004,2025-07-10 01:44:15.392723,2025-07-10 01:59:58.198964,0 days 00:15:42.806241000,256,0.5,0.01,0.001,15,500,256,COMPLETE
33,0.25898000000000004,2025-07-10 01:59:58.209464,2025-07-10 02:15:35.789490,0 days 00:15:37.580026000,256,0.5,0.01,0.001,15,500,256,COMPLETE
34,0.12112,2025-07-10 02:15:35.800628,2025-07-10 03:47:02.302772,0 days 01:31:26.502144000,256,1.0,0.01,0.1,15,3000,256,COMPLETE
35,0.17126000000000002,2025-07-10 03:47:02.313834,2025-07-10 03:51:39.837633,0 days 00:04:37.523799000,64,0.5,0.1,0.001,10,500,256,COMPLETE
36,-inf,2025-07-10 03:51:39.848873,2025-07-10 03:51:43.729360,0 days 00:00:03.880487000,256,0.5,1.0,0.001,3,500,512,COMPLETE
37,0.23576000000000003,2025-07-10 03:51:43.740835,2025-07-10 04:09:50.152015,0 days 00:18:06.411180000,64,1.0,0.01,0.0001,15,5000,128,COMPLETE
38,0.11230000000000001,2025-07-10 04:09:50.163814,2025-07-10 04:54:18.512762,0 days 00:44:28.348948000,128,0.01,0.5,0.1,15,3000,256,COMPLETE
39,0.16688,2025-07-10 04:54:18.524389,2025-07-10 04:58:56.914892,0 days 00:04:38.390503000,64,0.5,1.0,0.0001,10,500,256,COMPLETE
40,0.28574,2025-07-10 04:58:56.926809,2025-07-10 05:05:33.128662,0 days 00:06:36.201853000,256,0.5,0.01,0.001,3,500,128,COMPLETE
41,0.21888000000000002,2025-07-10 05:05:33.140863,2025-07-10 05:12:06.782128,0 days 00:06:33.641265000,256,0.5,0.01,0.001,3,500,128,COMPLETE
42,0.20764,2025-07-10 05:12:06.794504,2025-07-10 05:18:44.440725,0 days 00:06:37.646221000,256,0.5,0.01,0.001,3,500,128,COMPLETE
43,0.1527,2025-07-10 05:18:44.453191,2025-07-10 05:24:52.335417,0 days 00:06:07.882226000,256,0.5,0.01,0.001,3,500,128,COMPLETE
44,0.19238000000000002,2025-07-10 05:24:52.348224,2025-07-10 05:31:27.645842,0 days 00:06:35.297618000,256,1.0,0.01,0.001,3,500,128,COMPLETE
45,-inf,2025-07-10 05:31:27.658998,2025-07-10 05:31:31.540426,0 days 00:00:03.881428000,256,0.5,0.01,0.001,3,500,512,COMPLETE
46,0.22884000000000002,2025-07-10 05:31:31.553556,2025-07-10 06:33:53.416296,0 days 01:02:21.862740000,256,0.5,0.01,0.001,15,5000,128,COMPLETE
47,0.18430000000000002,2025-07-10 06:33:53.429712,2025-07-10 06:49:37.639242,0 days 00:15:44.209530000,256,0.5,0.1,0.001,10,500,256,COMPLETE
48,0.22700000000000004,2025-07-10 06:49:37.652927,2025-07-10 06:51:04.147590,0 days 00:01:26.494663000,64,0.5,0.01,0.0001,15,500,64,COMPLETE
49,0.20240000000000002,2025-07-10 06:51:04.161055,2025-07-10 06:57:38.140901,0 days 00:06:33.979846000,256,0.01,0.01,0.001,15,500,128,COMPLETE
