number,value,datetime_start,datetime_complete,duration,params_compile_batch_size,params_compile_beta_b,params_compile_beta_z,params_compile_lr,params_compile_prior_rate,params_compile_train_steps,params_hidden_size,state
0,0.38962,2025-07-24 18:04:00.556458,2025-07-24 18:35:23.848445,0 days 00:31:23.291987000,64,0.5,0.01,0.0001,3,5000,256,COMPLETE
1,0.2001,2025-07-24 18:35:23.861314,2025-07-24 19:09:34.531354,0 days 00:34:10.670040000,256,0.01,1.0,0.1,5,3000,64,COMPLETE
2,0.20044,2025-07-24 19:09:34.543595,2025-07-24 19:32:16.168396,0 days 00:22:41.624801000,64,0.1,0.5,0.1,10,5000,256,COMPLETE
3,0.26196,2025-07-24 19:32:16.179403,2025-07-24 19:56:36.122395,0 days 00:24:19.942992000,128,0.01,0.01,0.0001,10,3000,128,COMPLETE
4,0.19898000000000002,2025-07-24 19:56:36.133809,2025-07-24 20:35:50.915469,0 days 00:39:14.781660000,128,0.01,1.0,0.0001,5,5000,64,COMPLETE
5,0.20286,2025-07-24 20:35:50.927576,2025-07-24 21:01:10.854280,0 days 00:25:19.926704000,64,0.5,0.5,0.1,5,5000,128,COMPLETE
6,0.39868000000000003,2025-07-24 21:01:10.874016,2025-07-24 21:35:52.777858,0 days 00:34:41.903842000,128,0.5,0.01,0.0001,3,3000,256,COMPLETE
7,0.26061999999999996,2025-07-25 08:24:26.221215,2025-07-25 09:01:14.468913,0 days 00:36:48.247698000,256,1.0,0.01,0.001,10,3000,256,COMPLETE
8,0.29084,2025-07-25 09:01:14.483239,2025-07-25 09:03:51.575820,0 days 00:02:37.092581000,64,1.0,1.0,0.0001,10,500,256,COMPLETE
9,0.26804000000000006,2025-07-25 09:03:51.584349,2025-07-25 09:51:26.806927,0 days 00:47:35.222578000,256,1.0,0.1,0.001,5,5000,128,COMPLETE
10,0.2662,2025-07-25 09:51:26.820980,2025-07-25 09:55:30.961073,0 days 00:04:04.140093000,128,0.5,0.1,0.0001,3,500,256,COMPLETE
11,0.34208,2025-07-25 09:55:30.970440,2025-07-25 10:09:26.594819,0 days 00:13:55.624379000,64,0.5,0.01,0.0001,3,3000,256,COMPLETE
12,0.35018000000000005,2025-07-25 10:09:26.603501,2025-07-25 10:46:33.489510,0 days 00:37:06.886009000,128,0.5,0.01,0.0001,3,5000,256,COMPLETE
13,0.39868000000000003,2025-07-25 10:46:33.499130,2025-07-25 11:08:58.347892,0 days 00:22:24.848762000,128,0.5,0.01,0.0001,3,3000,256,COMPLETE
14,0.37362000000000006,2025-07-25 11:08:58.357786,2025-07-25 11:31:22.326297,0 days 00:22:23.968511000,128,0.1,0.01,0.0001,3,3000,256,COMPLETE
15,0.30854,2025-07-25 11:31:22.336588,2025-07-25 11:51:55.853243,0 days 00:20:33.516655000,128,0.5,0.01,0.001,3,3000,64,COMPLETE
16,0.39868000000000003,2025-07-25 11:51:55.864529,2025-07-25 12:14:39.461193,0 days 00:22:43.596664000,128,0.5,0.01,0.0001,3,3000,256,COMPLETE
17,0.2629,2025-07-25 12:14:39.470596,2025-07-25 12:37:20.154945,0 days 00:22:40.684349000,128,0.5,0.5,0.0001,3,3000,256,COMPLETE
18,0.20312000000000002,2025-07-25 12:37:20.164426,2025-07-25 12:40:56.059216,0 days 00:03:35.894790000,128,0.1,0.1,0.1,3,500,64,COMPLETE
19,0.26602000000000003,2025-07-25 12:40:56.069484,2025-07-25 12:59:36.129071,0 days 00:18:40.059587000,128,0.5,0.01,0.001,3,3000,128,COMPLETE
20,0.35282,2025-07-25 12:59:36.139800,2025-07-25 14:38:57.959762,0 days 01:39:21.819962000,256,0.5,0.01,0.0001,3,3000,256,COMPLETE
21,0.39868000000000003,2025-07-25 14:38:57.972864,2025-07-25 15:07:43.504355,0 days 00:28:45.531491000,128,0.5,0.01,0.0001,3,3000,256,COMPLETE
22,0.39868000000000003,2025-07-25 15:07:43.530455,2025-07-25 15:40:16.142501,0 days 00:32:32.612046000,128,0.5,0.01,0.0001,3,3000,256,COMPLETE
23,0.39868000000000003,2025-07-25 15:40:16.174696,2025-07-25 16:11:24.089585,0 days 00:31:07.914889000,128,0.5,0.01,0.0001,3,3000,256,COMPLETE
24,0.39868000000000003,2025-07-25 16:11:24.107982,2025-07-25 16:41:45.852476,0 days 00:30:21.744494000,128,0.5,0.01,0.0001,3,3000,256,COMPLETE
25,0.23500000000000004,2025-07-25 16:41:45.868273,2025-07-25 16:47:08.177517,0 days 00:05:22.309244000,128,0.5,0.01,0.0001,3,500,256,COMPLETE
26,0.28068,2025-07-25 16:47:08.191929,2025-07-25 17:11:49.532574,0 days 00:24:41.340645000,128,0.01,0.5,0.0001,3,3000,256,COMPLETE
27,0.20836,2025-07-25 17:11:49.546961,2025-07-25 17:30:02.699555,0 days 00:18:13.152594000,128,0.1,1.0,0.1,10,3000,128,COMPLETE
28,0.32268,2025-07-25 17:30:02.714214,2025-07-25 17:52:14.449989,0 days 00:22:11.735775000,128,1.0,0.1,0.001,5,3000,256,COMPLETE
29,0.23492,2025-07-25 17:52:14.466015,2025-07-25 17:57:05.024692,0 days 00:04:50.558677000,256,0.5,0.01,0.0001,3,500,64,COMPLETE
30,0.34208,2025-07-25 17:57:05.039960,2025-07-25 18:12:56.971705,0 days 00:15:51.931745000,64,0.5,0.01,0.0001,3,3000,256,COMPLETE
31,0.39868000000000003,2025-07-25 18:12:56.989084,2025-07-25 18:47:43.812332,0 days 00:34:46.823248000,128,0.5,0.01,0.0001,3,3000,256,COMPLETE
32,0.39868000000000003,2025-07-25 18:47:43.831273,2025-07-25 19:20:22.459719,0 days 00:32:38.628446000,128,0.5,0.01,0.0001,3,3000,256,COMPLETE
33,0.39868000000000003,2025-07-25 19:20:22.476841,2025-07-25 19:54:55.997775,0 days 00:34:33.520934000,128,0.5,0.01,0.0001,3,3000,256,COMPLETE
34,0.2434,2025-07-25 19:54:56.088094,2025-07-25 20:27:54.293184,0 days 00:32:58.205090000,128,0.01,0.01,0.0001,3,3000,256,COMPLETE
35,0.19790000000000002,2025-07-25 20:27:54.310005,2025-07-25 20:56:57.107045,0 days 00:29:02.797040000,128,0.5,1.0,0.1,5,3000,256,COMPLETE
36,0.2359,2025-07-25 20:56:57.124716,2025-07-25 21:32:11.813037,0 days 00:35:14.688321000,128,0.1,0.5,0.0001,10,5000,64,COMPLETE
37,0.33448,2025-07-25 21:32:11.883230,2025-07-25 21:48:26.590468,0 days 00:16:14.707238000,64,0.01,0.01,0.0001,3,3000,256,COMPLETE
38,0.19522,2025-07-25 21:48:26.612954,2025-07-25 22:20:52.731158,0 days 00:32:26.118204000,256,0.5,0.01,0.1,3,3000,128,COMPLETE
39,0.28118,2025-07-26 07:27:56.712276,2025-07-26 08:04:38.046667,0 days 00:36:41.334391000,128,0.5,1.0,0.0001,5,5000,256,COMPLETE
40,0.32386000000000004,2025-07-26 08:04:38.066524,2025-07-26 08:26:27.628627,0 days 00:21:49.562103000,128,1.0,0.01,0.0001,10,3000,256,COMPLETE
41,0.39868000000000003,2025-07-26 08:26:27.642379,2025-07-26 08:48:20.934174,0 days 00:21:53.291795000,128,0.5,0.01,0.0001,3,3000,256,COMPLETE
42,0.39868000000000003,2025-07-26 08:48:20.947401,2025-07-26 09:10:15.349966,0 days 00:21:54.402565000,128,0.5,0.01,0.0001,3,3000,256,COMPLETE
43,0.39868000000000003,2025-07-26 09:10:15.363785,2025-07-26 09:32:16.199514,0 days 00:22:00.835729000,128,0.5,0.01,0.0001,3,3000,256,COMPLETE
44,0.34208,2025-07-26 09:32:16.214422,2025-07-26 09:45:35.424400,0 days 00:13:19.209978000,64,0.5,0.01,0.0001,3,3000,256,COMPLETE
45,0.33476,2025-07-26 09:45:35.440804,2025-07-26 10:08:10.691766,0 days 00:22:35.250962000,128,0.5,0.1,0.0001,3,3000,256,COMPLETE
46,0.32720000000000005,2025-07-26 10:08:10.708136,2025-07-26 10:13:43.057979,0 days 00:05:32.349843000,256,0.5,0.01,0.001,3,500,128,COMPLETE
47,0.2852,2025-07-26 10:13:43.075753,2025-07-26 10:54:04.427496,0 days 00:40:21.351743000,128,0.01,0.5,0.0001,10,5000,256,COMPLETE
48,0.29384,2025-07-26 10:54:04.442598,2025-07-26 11:12:33.064273,0 days 00:18:28.621675000,128,1.0,0.01,0.0001,5,3000,64,COMPLETE
49,0.39868000000000003,2025-07-26 11:12:33.080294,2025-07-26 11:36:44.920722,0 days 00:24:11.840428000,128,0.5,0.01,0.0001,3,3000,256,COMPLETE
50,0.1935,2025-07-26 11:36:44.937497,2025-07-26 11:51:47.168998,0 days 00:15:02.231501000,64,0.5,1.0,0.1,3,3000,256,COMPLETE
51,0.39868000000000003,2025-07-26 11:51:47.184796,2025-07-26 12:15:56.073387,0 days 00:24:08.888591000,128,0.5,0.01,0.0001,3,3000,256,COMPLETE
52,0.39868000000000003,2025-07-26 12:15:56.089263,2025-07-26 12:38:45.779699,0 days 00:22:49.690436000,128,0.5,0.01,0.0001,3,3000,256,COMPLETE
53,0.39868000000000003,2025-07-26 12:38:45.795892,2025-07-26 13:00:40.968760,0 days 00:21:55.172868000,128,0.5,0.01,0.0001,3,3000,256,COMPLETE
