number,value,datetime_start,datetime_complete,duration,params_compile_batch_size,params_compile_beta_b,params_compile_beta_z,params_compile_lr,params_compile_prior_rate,params_compile_train_steps,params_hidden_size,state
0,0.13340000000000002,2025-07-27 23:12:56.483960,2025-07-27 23:54:10.119774,0 days 00:41:13.635814000,128,1.0,0.1,0.1,3,5000,128,COMPLETE
1,0.17570000000000002,2025-07-27 23:54:10.130792,2025-07-28 00:19:22.323220,0 days 00:25:12.192428000,128,0.1,0.1,0.1,3,3000,128,COMPLETE
2,0.09138,2025-07-28 00:19:22.331394,2025-07-28 00:44:48.541592,0 days 00:25:26.210198000,128,0.1,1.0,0.0001,3,3000,64,COMPLETE
3,0.21182,2025-07-28 00:44:48.550974,2025-07-28 00:51:50.437494,0 days 00:07:01.886520000,256,0.5,0.5,0.001,5,500,64,COMPLETE
4,0.31858,2025-07-28 00:51:50.447255,2025-07-28 01:30:37.781749,0 days 00:38:47.334494000,256,0.1,1.0,0.0001,10,3000,64,COMPLETE
5,0.11466000000000001,2025-07-28 01:30:37.792178,2025-07-28 01:35:15.138831,0 days 00:04:37.346653000,128,0.5,0.5,0.1,10,500,64,COMPLETE
6,0.176,2025-07-28 01:35:15.149031,2025-07-28 01:53:03.678910,0 days 00:17:48.529879000,64,0.01,0.5,0.1,3,3000,256,COMPLETE
7,0.07850000000000001,2025-07-28 01:53:03.691038,2025-07-28 02:02:40.692088,0 days 00:09:37.001050000,256,0.1,1.0,0.0001,3,500,256,COMPLETE
8,0.14968,2025-07-28 02:02:40.703602,2025-07-28 02:34:57.801174,0 days 00:32:17.097572000,128,0.01,0.1,0.1,5,5000,256,COMPLETE
9,0.24404,2025-07-28 02:34:57.813948,2025-07-28 02:54:39.218212,0 days 00:19:41.404264000,128,0.5,0.5,0.001,10,3000,256,COMPLETE
10,0.23868,2025-07-28 02:54:39.229364,2025-07-28 03:15:52.317385,0 days 00:21:13.088021000,256,1.0,0.01,0.0001,10,3000,64,COMPLETE
11,0.27172,2025-07-28 03:15:52.330154,2025-07-28 03:29:05.767280,0 days 00:13:13.437126000,64,0.5,1.0,0.001,10,3000,256,COMPLETE
12,0.28666,2025-07-28 03:29:05.781004,2025-07-28 03:42:07.385349,0 days 00:13:01.604345000,64,0.5,1.0,0.001,10,3000,64,COMPLETE
13,0.31466,2025-07-28 03:42:07.397629,2025-07-28 03:55:09.242417,0 days 00:13:01.844788000,64,0.1,1.0,0.0001,10,3000,64,COMPLETE
14,0.31858,2025-07-28 03:55:09.256658,2025-07-28 04:16:22.312176,0 days 00:21:13.055518000,256,0.1,1.0,0.0001,10,3000,64,COMPLETE
15,0.26252000000000003,2025-07-28 04:16:22.326028,2025-07-28 04:51:36.793162,0 days 00:35:14.467134000,256,0.1,0.01,0.0001,10,5000,64,COMPLETE
16,0.31858,2025-07-28 04:51:36.806449,2025-07-28 05:12:58.556089,0 days 00:21:21.749640000,256,0.1,1.0,0.0001,10,3000,64,COMPLETE
17,0.23702,2025-07-28 05:12:58.570252,2025-07-28 05:35:08.515857,0 days 00:22:09.945605000,256,0.1,1.0,0.0001,5,3000,128,COMPLETE
18,0.31642000000000003,2025-07-28 05:35:08.530117,2025-07-28 06:10:11.488769,0 days 00:35:02.958652000,256,0.1,1.0,0.0001,10,5000,64,COMPLETE
19,0.17664,2025-07-28 06:10:11.503069,2025-07-28 06:14:13.618769,0 days 00:04:02.115700000,256,0.01,0.01,0.0001,10,500,64,COMPLETE
20,0.22820000000000001,2025-07-28 06:14:13.635852,2025-07-28 06:36:19.613815,0 days 00:22:05.977963000,256,1.0,1.0,0.0001,5,3000,128,COMPLETE
21,0.31858,2025-07-28 06:36:19.631452,2025-07-28 06:57:43.927072,0 days 00:21:24.295620000,256,0.1,1.0,0.0001,10,3000,64,COMPLETE
