number,value,datetime_start,datetime_complete,duration,params_compile_batch_size,params_compile_beta_b,params_compile_beta_z,params_compile_lr,params_compile_prior_rate,params_compile_train_steps,params_hidden_size,state
0,0.20980000000000001,2025-07-26 21:57:54.733582,2025-07-26 22:01:19.441031,0 days 00:03:24.707449000,128,0.01,0.5,0.0001,5,500,128,COMPLETE
1,0.19752000000000003,2025-07-26 22:01:19.452539,2025-07-26 22:23:55.158056,0 days 00:22:35.705517000,64,1.0,0.01,0.1,5,5000,128,COMPLETE
2,0.22098,2025-07-26 22:23:55.165825,2025-07-26 22:45:32.326008,0 days 00:21:37.160183000,128,0.5,0.5,0.001,5,3000,256,COMPLETE
3,0.38056,2025-07-26 22:45:32.335093,2025-07-26 22:59:15.579398,0 days 00:13:43.244305000,64,0.01,0.01,0.001,10,3000,128,COMPLETE
4,0.19808000000000003,2025-07-26 22:59:15.588283,2025-07-27 00:18:09.742220,0 days 01:18:54.153937000,256,0.1,0.1,0.1,10,5000,256,COMPLETE
5,0.21336,2025-07-27 00:18:09.748592,2025-07-27 00:25:28.882739,0 days 00:07:19.134147000,256,1.0,0.5,0.0001,10,500,64,COMPLETE
6,0.07656,2025-07-27 00:25:28.889541,2025-07-27 00:31:28.542796,0 days 00:05:59.653255000,256,0.01,0.1,0.001,3,500,64,COMPLETE
7,0.36494000000000004,2025-07-27 00:31:28.553925,2025-07-27 00:57:04.017344,0 days 00:25:35.463419000,256,0.1,0.01,0.001,10,3000,128,COMPLETE
8,0.27908,2025-07-27 00:57:04.027175,2025-07-27 01:01:09.944081,0 days 00:04:05.916906000,128,0.1,0.01,0.001,10,500,256,COMPLETE
9,0.24822000000000005,2025-07-27 01:01:09.952044,2025-07-27 01:24:14.800075,0 days 00:23:04.848031000,64,1.0,0.01,0.001,10,5000,256,COMPLETE
10,0.16176000000000001,2025-07-27 01:24:14.813181,2025-07-27 01:37:55.333557,0 days 00:13:40.520376000,64,0.01,1.0,0.0001,3,3000,128,COMPLETE
