number,value,datetime_start,datetime_complete,duration,params_compile_batch_size,params_compile_beta_b,params_compile_beta_z,params_compile_lr,params_compile_prior_rate,params_compile_train_steps,params_hidden_size,state
0,0.28042,2025-07-22 12:37:35.434550,2025-07-22 12:47:10.570743,0 days 00:09:35.136193000,64,0.5,1.0,0.0001,3,5000,256,COMPLETE
1,0.33480000000000004,2025-07-22 12:47:10.584802,2025-07-22 13:01:55.218944,0 days 00:14:44.634142000,256,0.5,0.1,0.1,5,3000,64,COMPLETE
2,0.28944,2025-07-22 13:01:55.229048,2025-07-22 13:07:36.479392,0 days 00:05:41.250344000,64,1.0,1.0,0.0001,3,3000,128,COMPLETE
3,0.31606,2025-07-22 13:07:36.489747,2025-07-22 13:17:23.106955,0 days 00:09:46.617208000,64,1.0,0.01,0.1,5,5000,64,COMPLETE
4,0.28146,2025-07-22 13:17:23.118905,2025-07-22 13:47:28.634168,0 days 00:30:05.515263000,256,0.1,1.0,0.1,5,5000,256,COMPLETE
5,0.39458,2025-07-22 13:47:28.719299,2025-07-22 13:50:31.424176,0 days 00:03:02.704877000,256,0.01,0.1,0.001,10,500,256,COMPLETE
6,0.34246,2025-07-22 13:50:31.466030,2025-07-22 13:53:03.742383,0 days 00:02:32.276353000,256,1.0,0.01,0.1,3,500,128,COMPLETE
7,0.38582000000000005,2025-07-22 13:53:03.751790,2025-07-22 14:07:20.671522,0 days 00:14:16.919732000,256,0.01,0.5,0.0001,5,3000,128,COMPLETE
8,0.30584,2025-07-22 14:07:20.680885,2025-07-22 14:10:13.075039,0 days 00:02:52.394154000,256,0.5,1.0,0.0001,3,500,256,COMPLETE
9,0.36616000000000004,2025-07-22 14:10:13.084140,2025-07-22 14:19:47.618033,0 days 00:09:34.533893000,128,0.1,0.01,0.001,10,3000,256,COMPLETE
10,0.3501,2025-07-22 14:19:47.627496,2025-07-22 14:21:33.515153,0 days 00:01:45.887657000,128,0.01,0.1,0.001,10,500,256,COMPLETE
11,0.27958000000000005,2025-07-22 14:21:33.525209,2025-07-22 14:35:50.632679,0 days 00:14:17.107470000,256,0.01,0.5,0.001,10,3000,128,COMPLETE
12,0.27974,2025-07-22 14:35:50.644114,2025-07-22 14:38:33.239091,0 days 00:02:42.594977000,256,0.01,0.5,0.0001,10,500,128,COMPLETE
13,0.40115999999999996,2025-07-22 14:38:33.253147,2025-07-22 14:41:18.552857,0 days 00:02:45.299710000,256,0.01,0.1,0.001,5,500,128,COMPLETE
14,0.3354,2025-07-22 14:41:18.563119,2025-07-22 14:44:07.762159,0 days 00:02:49.199040000,256,0.01,0.1,0.001,10,500,64,COMPLETE
15,0.39608000000000004,2025-07-22 14:44:07.771566,2025-07-22 14:46:04.835438,0 days 00:01:57.063872000,128,0.01,0.1,0.001,5,500,256,COMPLETE
16,0.40152,2025-07-22 14:46:04.845703,2025-07-22 14:47:47.368471,0 days 00:01:42.522768000,128,0.01,0.1,0.001,5,500,128,COMPLETE
17,0.40152,2025-07-22 14:47:47.378457,2025-07-22 14:49:29.934451,0 days 00:01:42.555994000,128,0.01,0.1,0.001,5,500,128,COMPLETE
18,0.4022,2025-07-22 14:49:29.945110,2025-07-22 14:51:12.835351,0 days 00:01:42.890241000,128,0.1,0.1,0.001,5,500,128,COMPLETE
19,0.4022,2025-07-22 14:51:12.846679,2025-07-22 14:52:53.400311,0 days 00:01:40.553632000,128,0.1,0.1,0.001,5,500,128,COMPLETE
20,0.39680000000000004,2025-07-22 14:52:53.411080,2025-07-22 15:07:17.749065,0 days 00:14:24.337985000,128,0.1,0.1,0.001,5,5000,128,COMPLETE
21,0.4022,2025-07-22 15:07:17.759743,2025-07-22 15:08:58.175282,0 days 00:01:40.415539000,128,0.1,0.1,0.001,5,500,128,COMPLETE
22,0.4022,2025-07-22 15:08:58.189660,2025-07-22 15:10:37.612133,0 days 00:01:39.422473000,128,0.1,0.1,0.001,5,500,128,COMPLETE
23,0.4022,2025-07-22 15:10:37.625463,2025-07-22 15:12:17.281947,0 days 00:01:39.656484000,128,0.1,0.1,0.001,5,500,128,COMPLETE
24,0.4022,2025-07-22 15:12:17.294189,2025-07-22 15:13:50.399450,0 days 00:01:33.105261000,128,0.1,0.1,0.001,5,500,128,COMPLETE
25,0.4022,2025-07-22 19:40:33.803142,2025-07-22 19:42:41.274481,0 days 00:02:07.471339000,128,0.1,0.1,0.001,5,500,128,COMPLETE
26,0.40046000000000004,2025-07-22 19:42:41.299006,2025-07-22 19:44:31.081230,0 days 00:01:49.782224000,128,0.1,0.1,0.001,5,500,64,COMPLETE
27,0.29438000000000003,2025-07-22 19:44:31.104924,2025-07-22 19:46:20.673512,0 days 00:01:49.568588000,128,0.1,0.5,0.001,5,500,128,COMPLETE
28,0.43986000000000003,2025-07-22 19:46:20.694181,2025-07-22 19:48:09.200261,0 days 00:01:48.506080000,128,0.1,0.01,0.001,5,500,128,COMPLETE
29,0.28668,2025-07-22 19:48:09.217103,2025-07-22 19:59:40.351918,0 days 00:11:31.134815000,64,0.5,0.01,0.1,3,5000,128,COMPLETE
30,0.47188,2025-07-22 19:59:40.373572,2025-07-22 20:11:41.273815,0 days 00:12:00.900243000,64,0.1,0.01,0.0001,5,5000,64,COMPLETE
31,0.47188,2025-07-22 20:11:41.296030,2025-07-22 20:25:34.505123,0 days 00:13:53.209093000,64,0.1,0.01,0.0001,5,5000,64,COMPLETE
32,0.47188,2025-07-22 20:25:34.539283,2025-07-22 20:39:46.018351,0 days 00:14:11.479068000,64,0.1,0.01,0.0001,5,5000,64,COMPLETE
33,0.47188,2025-07-22 20:39:46.046040,2025-07-22 20:50:45.707320,0 days 00:10:59.661280000,64,0.1,0.01,0.0001,5,5000,64,COMPLETE
34,0.46058,2025-07-22 20:50:45.725679,2025-07-22 21:00:56.492592,0 days 00:10:10.766913000,64,0.1,0.01,0.0001,3,5000,64,COMPLETE
35,0.44666,2025-07-22 21:00:56.509961,2025-07-22 21:11:46.185599,0 days 00:10:49.675638000,64,1.0,0.01,0.0001,5,5000,64,COMPLETE
36,0.45082,2025-07-22 21:11:46.212877,2025-07-22 21:22:24.092967,0 days 00:10:37.880090000,64,0.5,0.01,0.0001,5,5000,64,COMPLETE
37,0.47188,2025-07-22 21:22:24.107843,2025-07-22 21:32:22.314572,0 days 00:09:58.206729000,64,0.1,0.01,0.0001,5,5000,64,COMPLETE
38,0.43424000000000007,2025-07-22 21:32:22.330387,2025-07-22 21:42:11.976915,0 days 00:09:49.646528000,64,1.0,0.01,0.0001,3,5000,64,COMPLETE
