number,value,datetime_start,datetime_complete,duration,params_compile_batch_size,params_compile_beta_b,params_compile_beta_z,params_compile_lr,params_compile_prior_rate,params_compile_train_steps,params_hidden_size,state
0,0.29224,2025-07-22 15:13:51.864130,2025-07-22 15:23:25.741355,0 days 00:09:33.877225000,128,0.1,1.0,0.001,10,3000,64,COMPLETE
1,0.32776,2025-07-22 15:23:25.750902,2025-07-22 15:29:12.674225,0 days 00:05:46.923323000,64,0.01,0.01,0.1,10,3000,64,COMPLETE
2,0.46406000000000003,2025-07-22 15:29:12.683015,2025-07-22 15:38:48.531249,0 days 00:09:35.848234000,128,0.5,0.01,0.001,5,3000,64,COMPLETE
3,0.32208000000000003,2025-07-22 15:38:48.539157,2025-07-22 15:46:50.388621,0 days 00:08:01.849464000,128,1.0,0.5,0.0001,5,3000,128,COMPLETE
4,0.29056000000000004,2025-07-22 15:46:50.396772,2025-07-22 15:54:42.017845,0 days 00:07:51.621073000,128,0.01,0.5,0.0001,10,3000,128,COMPLETE
5,0.29114,2025-07-22 15:54:42.025631,2025-07-22 15:57:32.740332,0 days 00:02:50.714701000,256,1.0,1.0,0.001,3,500,256,COMPLETE
6,0.33914,2025-07-22 15:57:32.748280,2025-07-22 16:12:07.742133,0 days 00:14:34.993853000,128,0.5,0.5,0.1,3,5000,64,COMPLETE
7,0.29034000000000004,2025-07-22 16:12:07.762265,2025-07-22 16:15:10.387356,0 days 00:03:02.625091000,256,0.5,0.5,0.0001,3,500,256,COMPLETE
8,0.3093600000000001,2025-07-22 16:15:10.396902,2025-07-22 16:28:53.843950,0 days 00:13:43.447048000,128,0.1,1.0,0.0001,5,5000,128,COMPLETE
9,0.32086,2025-07-22 16:28:53.853001,2025-07-22 16:42:40.688658,0 days 00:13:46.835657000,128,0.1,1.0,0.1,5,5000,128,COMPLETE
10,0.39586000000000005,2025-07-22 16:42:40.699298,2025-07-22 16:48:29.043965,0 days 00:05:48.344667000,64,0.5,0.01,0.001,5,3000,64,COMPLETE
11,0.39586000000000005,2025-07-22 16:48:29.059394,2025-07-22 16:54:20.947998,0 days 00:05:51.888604000,64,0.5,0.01,0.001,5,3000,64,COMPLETE
12,0.39586000000000005,2025-07-22 16:54:20.958216,2025-07-22 17:00:12.625131,0 days 00:05:51.666915000,64,0.5,0.01,0.001,5,3000,64,COMPLETE
13,0.30376000000000003,2025-07-22 17:00:12.634632,2025-07-22 17:06:03.670791,0 days 00:05:51.036159000,64,0.5,0.1,0.001,5,3000,64,COMPLETE
14,0.39586000000000005,2025-07-22 17:06:03.680465,2025-07-22 17:11:58.370282,0 days 00:05:54.689817000,64,0.5,0.01,0.001,5,3000,64,COMPLETE
15,0.38292,2025-07-22 17:11:58.379719,2025-07-22 17:14:40.749480,0 days 00:02:42.369761000,256,0.5,0.01,0.001,5,500,64,COMPLETE
16,0.48352000000000006,2025-07-22 17:14:40.759387,2025-07-22 17:20:23.730392,0 days 00:05:42.971005000,64,0.5,0.1,0.001,5,3000,256,COMPLETE
