number,value,datetime_start,datetime_complete,duration,params_compile_batch_size,params_compile_beta_b,params_compile_beta_z,params_compile_lr,params_compile_prior_rate,params_compile_train_steps,params_hidden_size,state
0,0.40536000000000005,2025-06-20 09:21:34.578936,2025-06-20 09:29:44.161969,0 days 00:08:09.583033000,64,0.5,0.1,0.001,10,5000,64,COMPLETE
1,0.23252000000000003,2025-06-20 09:29:44.167693,2025-06-20 09:36:40.161502,0 days 00:06:55.993809000,256,0.1,0.01,0.1,10,3000,64,COMPLETE
2,0.36836,2025-06-20 09:36:40.166262,2025-06-20 09:38:55.062785,0 days 00:02:14.896523000,256,1.0,0.5,0.0001,3,500,128,COMPLETE
3,0.43650000000000005,2025-06-20 09:38:55.067716,2025-06-20 10:00:23.586006,0 days 00:21:28.518290000,128,1.0,0.5,0.001,10,5000,128,COMPLETE
4,0.26758000000000004,2025-06-20 10:00:23.591116,2025-06-20 10:17:08.667109,0 days 00:16:45.075993000,64,1.0,1.0,0.1,15,3000,256,COMPLETE
5,0.388,2025-06-20 10:17:08.674530,2025-06-20 10:19:23.408178,0 days 00:02:14.733648000,128,0.1,0.01,0.0001,15,500,128,COMPLETE
6,0.32530000000000003,2025-06-20 10:19:23.413669,2025-06-20 10:36:15.022794,0 days 00:16:51.609125000,64,0.01,1.0,0.001,15,3000,256,COMPLETE
7,0.39461999999999997,2025-06-20 10:36:15.028481,2025-06-20 12:49:36.295944,0 days 02:13:21.267463000,256,1.0,0.1,0.0001,3,5000,512,COMPLETE
8,0.37020000000000003,2025-06-20 12:49:36.301826,2025-06-20 13:01:54.264462,0 days 00:12:17.962636000,64,0.1,0.1,0.0001,15,5000,128,COMPLETE
9,0.36792,2025-06-20 13:01:54.270494,2025-06-20 13:06:49.021752,0 days 00:04:54.751258000,256,0.01,0.5,0.1,10,500,256,COMPLETE
10,0.38494000000000006,2025-06-20 13:06:49.028008,2025-06-20 15:03:30.524030,0 days 01:56:41.496022000,128,0.5,0.5,0.001,10,5000,512,COMPLETE
11,0.43396,2025-06-20 15:03:30.530557,2025-06-20 15:16:27.608970,0 days 00:12:57.078413000,128,0.5,0.1,0.001,10,5000,64,COMPLETE
12,0.44830000000000003,2025-06-20 15:16:27.615743,2025-06-20 15:29:24.335191,0 days 00:12:56.719448000,128,0.5,0.1,0.001,10,5000,64,COMPLETE
13,0.42298,2025-06-20 15:29:24.342065,2025-06-20 15:51:08.536038,0 days 00:21:44.193973000,128,0.5,0.5,0.001,10,5000,128,COMPLETE
14,0.42932000000000003,2025-06-20 15:51:08.543055,2025-06-20 16:04:06.343059,0 days 00:12:57.800004000,128,1.0,0.5,0.001,10,5000,64,COMPLETE
15,0.4333600000000001,2025-06-20 16:04:06.350622,2025-06-20 16:17:03.013791,0 days 00:12:56.663169000,128,1.0,0.1,0.001,10,5000,64,COMPLETE
16,0.4553,2025-06-20 16:17:03.021267,2025-06-20 16:38:50.074287,0 days 00:21:47.053020000,128,0.5,0.01,0.001,3,5000,128,COMPLETE
17,0.44842000000000004,2025-06-20 16:38:50.081848,2025-06-20 18:52:09.393372,0 days 02:13:19.311524000,128,0.5,0.01,0.001,3,5000,512,COMPLETE
18,0.48136,2025-06-20 18:52:09.401288,2025-06-20 20:12:02.520553,0 days 01:19:53.119265000,128,0.5,0.01,0.001,3,3000,512,COMPLETE
19,0.4680000000000001,2025-06-20 20:12:02.528578,2025-06-20 21:30:02.245259,0 days 01:17:59.716681000,128,0.5,0.01,0.1,3,3000,512,COMPLETE
20,0.40086,2025-06-20 21:30:02.253483,2025-06-20 22:48:07.854501,0 days 01:18:05.601018000,128,0.5,0.01,0.1,3,3000,512,COMPLETE
21,0.4680000000000001,2025-06-20 22:48:07.863064,2025-06-21 00:06:11.201871,0 days 01:18:03.338807000,128,0.5,0.01,0.1,3,3000,512,COMPLETE
22,0.4680000000000001,2025-06-21 00:06:11.210556,2025-06-21 01:24:20.031154,0 days 01:18:08.820598000,128,0.5,0.01,0.1,3,3000,512,COMPLETE
23,0.37126000000000003,2025-06-21 01:24:20.040073,2025-06-21 02:42:19.480186,0 days 01:17:59.440113000,128,0.5,0.01,0.1,3,3000,512,COMPLETE
24,0.40880000000000005,2025-06-21 02:42:19.489247,2025-06-21 04:00:19.385363,0 days 01:17:59.896116000,128,0.01,0.01,0.1,3,3000,512,COMPLETE
25,0.4680000000000001,2025-06-21 04:00:19.394655,2025-06-21 05:18:19.249149,0 days 01:17:59.854494000,128,0.5,0.01,0.1,3,3000,512,COMPLETE
26,0.4680000000000001,2025-06-21 05:18:19.258620,2025-06-21 06:36:13.590965,0 days 01:17:54.332345000,128,0.5,0.01,0.1,3,3000,512,COMPLETE
27,0.4680000000000001,2025-06-21 06:36:13.600604,2025-06-21 07:14:41.392720,0 days 00:38:27.792116000,64,0.5,1.0,0.1,3,3000,512,COMPLETE
28,0.4680000000000001,2025-06-21 07:14:41.402511,2025-06-21 07:58:41.742801,0 days 00:44:00.340290000,64,0.5,1.0,0.1,3,3000,512,COMPLETE
29,0.4680000000000001,2025-06-21 07:58:41.752756,2025-06-21 08:42:33.587360,0 days 00:43:51.834604000,64,0.5,1.0,0.1,3,3000,512,COMPLETE
30,0.36663999999999997,2025-06-21 08:42:33.597686,2025-06-21 09:27:46.484728,0 days 00:45:12.887042000,64,0.01,1.0,0.0001,3,3000,512,COMPLETE
