number,value,datetime_start,datetime_complete,duration,params_compile_batch_size,params_compile_beta_b,params_compile_beta_z,params_compile_lr,params_compile_prior_rate,params_compile_train_steps,params_hidden_size,state
0,0.29974,2025-06-26 04:39:18.537322,2025-06-26 04:51:44.857514,0 days 00:12:26.320192000,256,0.1,1.0,0.0001,15,500,256,COMPLETE
1,0.34342,2025-06-26 04:51:44.863309,2025-06-26 05:48:26.468486,0 days 00:56:41.605177000,64,0.01,1.0,0.001,3,3000,512,COMPLETE
2,0.42368000000000006,2025-06-26 05:48:26.473339,2025-06-26 07:25:25.769050,0 days 01:36:59.295711000,128,1.0,0.1,0.1,3,3000,512,COMPLETE
3,0.3764,2025-06-26 07:25:25.773931,2025-06-26 07:26:34.173523,0 days 00:01:08.399592000,64,1.0,1.0,0.0001,15,500,64,COMPLETE
4,0.37098,2025-06-26 07:26:34.178569,2025-06-26 07:32:06.936361,0 days 00:05:32.757792000,256,0.5,0.01,0.001,15,500,128,COMPLETE
5,0.40358,2025-06-26 07:32:06.941693,2025-06-26 08:07:37.372938,0 days 00:35:30.431245000,64,1.0,1.0,0.001,3,5000,256,COMPLETE
6,0.30802,2025-06-26 08:07:37.378435,2025-06-26 08:13:27.763965,0 days 00:05:50.385530000,64,0.1,0.1,0.0001,15,3000,64,COMPLETE
7,0.34722,2025-06-26 08:13:27.769621,2025-06-26 08:23:03.595520,0 days 00:09:35.825899000,64,0.01,1.0,0.001,15,3000,128,COMPLETE
8,-inf,2025-06-26 08:23:03.601318,2025-06-26 08:23:07.379900,0 days 00:00:03.778582000,256,0.5,0.5,0.0001,15,500,512,COMPLETE
9,0.31988000000000005,2025-06-26 08:23:07.385949,2025-06-26 08:26:49.614270,0 days 00:03:42.228321000,64,1.0,1.0,0.0001,15,500,256,COMPLETE
10,0.3539,2025-06-26 08:26:49.620557,2025-06-26 11:14:26.780652,0 days 02:47:37.160095000,128,1.0,0.1,0.1,10,5000,512,COMPLETE
11,0.3587,2025-06-26 11:14:26.787240,2025-06-26 12:16:40.263360,0 days 01:02:13.476120000,128,1.0,0.1,0.1,3,5000,256,COMPLETE
12,0.35928000000000004,2025-06-26 12:16:40.270215,2025-06-26 15:04:49.852447,0 days 02:48:09.582232000,128,1.0,0.01,0.1,3,5000,512,COMPLETE
13,0.36928000000000005,2025-06-26 15:04:49.859311,2025-06-26 16:07:18.757629,0 days 01:02:28.898318000,128,1.0,0.5,0.001,3,5000,256,COMPLETE
14,0.3782,2025-06-26 16:07:18.764834,2025-06-26 17:47:58.097859,0 days 01:40:39.333025000,128,1.0,0.1,0.1,3,3000,512,COMPLETE
15,0.21614,2025-06-27 14:46:33.407892,2025-06-27 15:22:11.436395,0 days 00:35:38.028503000,64,1.0,0.1,0.1,10,5000,256,COMPLETE
16,0.29754,2025-06-27 15:22:11.445042,2025-06-27 15:32:20.642743,0 days 00:10:09.197701000,128,0.5,0.5,0.001,3,3000,64,COMPLETE
17,0.2591,2025-06-27 15:32:20.650401,2025-06-27 15:48:13.315670,0 days 00:15:52.665269000,64,0.1,0.01,0.001,3,5000,128,COMPLETE
18,-inf,2025-06-27 15:48:13.323429,2025-06-27 17:25:24.147420,0 days 01:37:10.823991000,128,0.01,1.0,0.1,3,3000,512,COMPLETE
19,0.20776000000000003,2025-06-27 17:25:24.155452,2025-06-27 18:36:56.520625,0 days 01:11:32.365173000,256,1.0,0.1,0.1,10,3000,256,COMPLETE
20,0.18784,2025-06-27 18:36:56.528662,2025-06-27 21:28:30.338839,0 days 02:51:33.810177000,128,1.0,1.0,0.001,3,5000,512,COMPLETE
21,-inf,2025-06-27 21:28:30.347073,2025-06-27 23:09:10.262505,0 days 01:40:39.915432000,128,1.0,0.1,0.1,3,3000,512,COMPLETE
22,-inf,2025-06-27 23:09:10.271043,2025-06-28 00:50:07.625111,0 days 01:40:57.354068000,128,1.0,0.1,0.1,3,3000,512,COMPLETE
23,-inf,2025-06-28 00:50:07.633834,2025-06-28 02:24:24.790902,0 days 01:34:17.157068000,128,1.0,0.1,0.1,3,3000,512,COMPLETE
24,-inf,2025-06-28 02:24:24.799877,2025-06-28 04:04:45.633300,0 days 01:40:20.833423000,128,1.0,0.1,0.1,3,3000,512,COMPLETE
25,0.20726,2025-06-28 04:04:45.642384,2025-06-28 04:26:17.531803,0 days 00:21:31.889419000,64,1.0,0.1,0.1,3,3000,256,COMPLETE
26,0.26880000000000004,2025-06-28 04:26:17.541018,2025-06-28 04:53:41.952890,0 days 00:27:24.411872000,128,0.1,0.01,0.001,10,5000,128,COMPLETE
27,0.20640000000000003,2025-06-28 04:53:41.962383,2025-06-28 05:13:16.872576,0 days 00:19:34.910193000,256,0.01,0.5,0.1,3,3000,64,COMPLETE
28,-inf,2025-06-28 05:13:16.882298,2025-06-28 06:53:33.791311,0 days 01:40:16.909013000,128,0.5,0.1,0.1,3,3000,512,COMPLETE
29,0.18586000000000003,2025-06-28 06:53:33.805047,2025-06-28 07:29:17.733825,0 days 00:35:43.928778000,64,0.1,1.0,0.001,3,5000,256,COMPLETE
30,0.27256,2025-06-28 07:29:17.743794,2025-06-28 07:41:48.874592,0 days 00:12:31.130798000,256,1.0,1.0,0.0001,10,500,256,COMPLETE
31,0.27166,2025-06-28 07:41:48.884708,2025-06-28 07:42:57.631455,0 days 00:01:08.746747000,64,1.0,1.0,0.0001,15,500,64,COMPLETE
32,0.30172,2025-06-28 07:42:57.642005,2025-06-28 07:44:06.572016,0 days 00:01:08.930011000,64,1.0,1.0,0.0001,15,500,64,COMPLETE
33,0.27912000000000003,2025-06-28 07:44:06.583055,2025-06-28 07:45:15.176672,0 days 00:01:08.593617000,64,1.0,1.0,0.0001,15,500,64,COMPLETE
34,0.28614,2025-06-28 07:45:15.187415,2025-06-28 07:46:24.175056,0 days 00:01:08.987641000,64,1.0,1.0,0.0001,15,500,64,COMPLETE
35,0.22144,2025-06-28 07:46:24.186028,2025-06-28 07:47:33.240926,0 days 00:01:09.054898000,64,0.01,1.0,0.001,3,500,64,COMPLETE
