number,value,datetime_start,datetime_complete,duration,params_compile_batch_size,params_compile_beta_b,params_compile_beta_z,params_compile_lr,params_compile_prior_rate,params_compile_train_steps,params_hidden_size,state
0,0.32742000000000004,2025-06-18 21:34:01.829168,2025-06-18 21:47:15.389348,0 days 00:13:13.560180000,64,1.0,0.01,0.1,15,5000,128,COMPLETE
1,0.20726,2025-06-18 21:47:15.395149,2025-06-18 21:48:40.307076,0 days 00:01:24.911927000,128,0.5,0.1,0.1,15,500,64,COMPLETE
2,0.2868,2025-06-18 21:48:40.311869,2025-06-18 21:56:23.861982,0 days 00:07:43.550113000,64,1.0,0.1,0.0001,15,500,512,COMPLETE
3,0.22934000000000002,2025-06-18 21:56:23.869575,2025-06-19 00:09:53.532628,0 days 02:13:29.663053000,256,0.5,1.0,0.001,15,5000,512,COMPLETE
4,0.5785600000000001,2025-06-19 00:09:53.537719,2025-06-19 00:18:02.433307,0 days 00:08:08.895588000,128,0.01,0.01,0.0001,3,3000,64,COMPLETE
5,0.39086000000000004,2025-06-19 00:18:02.440791,2025-06-19 01:10:00.689286,0 days 00:51:58.248495000,128,0.1,0.5,0.001,3,5000,256,COMPLETE
6,0.5751200000000001,2025-06-19 01:10:00.694798,2025-06-19 01:12:19.352784,0 days 00:02:18.657986000,128,0.01,0.01,0.0001,15,500,128,COMPLETE
7,0.26388,2025-06-19 01:12:19.358505,2025-06-19 01:34:42.882838,0 days 00:22:23.524333000,256,0.5,1.0,0.1,15,5000,128,COMPLETE
8,0.34122,2025-06-19 01:34:42.888846,2025-06-19 01:37:01.449632,0 days 00:02:18.560786000,256,1.0,0.01,0.001,10,500,128,COMPLETE
9,0.40448000000000006,2025-06-19 01:37:01.455752,2025-06-19 02:51:57.967237,0 days 01:14:56.511485000,64,0.1,1.0,0.1,3,5000,512,COMPLETE
10,0.42368000000000006,2025-06-19 02:51:57.973494,2025-06-19 03:00:08.117684,0 days 00:08:10.144190000,128,0.01,0.5,0.0001,3,3000,64,COMPLETE
11,0.63092,2025-06-19 03:00:08.124130,2025-06-19 03:08:17.405336,0 days 00:08:09.281206000,128,0.01,0.01,0.0001,10,3000,64,COMPLETE
