number,value,datetime_start,datetime_complete,duration,params_compile_batch_size,params_compile_beta_b,params_compile_beta_z,params_compile_lr,params_compile_prior_rate,params_compile_train_steps,params_hidden_size,state
0,0.42088000000000003,2025-06-25 13:08:32.368856,2025-06-25 14:44:57.977208,0 days 01:36:25.608352000,128,0.01,0.5,0.001,10,3000,512,COMPLETE
1,0.18886000000000003,2025-06-25 14:44:57.983107,2025-06-25 17:21:04.742713,0 days 02:36:06.759606000,128,0.1,0.5,0.1,3,5000,512,COMPLETE
2,0.5681400000000001,2025-06-25 17:21:04.747497,2025-06-25 17:22:50.487659,0 days 00:01:45.740162000,64,0.5,0.1,0.001,3,500,128,COMPLETE
3,0.43050000000000005,2025-06-25 17:22:50.492567,2025-06-25 18:22:30.855620,0 days 00:59:40.363053000,128,0.01,0.5,0.1,10,5000,256,COMPLETE
4,0.24886,2025-06-25 18:22:30.860768,2025-06-25 18:23:38.978422,0 days 00:01:08.117654000,64,0.5,0.1,0.1,15,500,64,COMPLETE
5,0.4817,2025-06-25 18:23:38.983690,2025-06-25 18:53:21.406287,0 days 00:29:42.422597000,256,0.5,0.1,0.1,15,3000,128,COMPLETE
6,0.2018,2025-06-25 18:53:21.411759,2025-06-25 19:29:31.636180,0 days 00:36:10.224421000,128,0.5,1.0,0.1,15,3000,256,COMPLETE
7,0.46386000000000005,2025-06-25 19:29:31.641782,2025-06-25 19:39:13.102325,0 days 00:09:41.460543000,64,1.0,0.01,0.0001,3,5000,64,COMPLETE
8,0.47838,2025-06-25 19:39:13.108248,2025-06-25 19:42:21.862669,0 days 00:03:08.754421000,256,0.1,0.1,0.1,15,500,64,COMPLETE
9,0.28686,2025-06-25 19:42:21.868704,2025-06-25 19:46:04.959640,0 days 00:03:43.090936000,64,0.5,0.5,0.0001,10,500,256,COMPLETE
10,0.4383600000000001,2025-06-25 19:46:04.965879,2025-06-25 19:47:50.229687,0 days 00:01:45.263808000,64,1.0,0.01,0.001,3,500,128,COMPLETE
11,0.24074,2025-06-25 19:47:50.236028,2025-06-25 20:17:36.827379,0 days 00:29:46.591351000,256,0.5,0.1,0.001,15,3000,128,COMPLETE
12,0.31854,2025-06-25 20:17:36.834110,2025-06-25 20:47:24.483057,0 days 00:29:47.648947000,256,0.5,0.1,0.001,3,3000,128,COMPLETE
13,0.28866,2025-06-25 20:47:24.489910,2025-06-25 20:52:32.323516,0 days 00:05:07.833606000,256,0.5,0.1,0.001,15,500,128,COMPLETE
14,0.44958000000000004,2025-06-25 20:52:32.330506,2025-06-25 21:22:23.964186,0 days 00:29:51.633680000,256,0.5,1.0,0.0001,3,3000,128,COMPLETE
15,0.36742,2025-06-25 21:22:23.971381,2025-06-25 21:24:09.043614,0 days 00:01:45.072233000,64,0.5,0.1,0.1,15,500,128,COMPLETE
16,0.48488,2025-06-25 21:24:09.053691,2025-06-25 21:53:58.145204,0 days 00:29:49.091513000,256,1.0,0.1,0.001,3,3000,128,COMPLETE
17,0.5199400000000001,2025-06-25 21:53:58.152758,2025-06-25 21:55:43.268033,0 days 00:01:45.115275000,64,1.0,0.1,0.001,3,500,128,COMPLETE
18,0.47418000000000005,2025-06-25 21:55:43.275698,2025-06-25 22:05:10.432704,0 days 00:09:27.157006000,64,1.0,0.01,0.001,3,500,512,COMPLETE
19,0.39808,2025-06-25 22:05:10.440708,2025-06-25 22:06:56.144086,0 days 00:01:45.703378000,64,1.0,1.0,0.001,3,500,128,COMPLETE
20,0.39358,2025-06-25 22:06:56.152902,2025-06-25 22:08:41.798083,0 days 00:01:45.645181000,64,0.01,0.1,0.001,3,500,128,COMPLETE
21,0.53956,2025-06-25 22:08:41.806387,2025-06-25 22:10:27.420173,0 days 00:01:45.613786000,64,1.0,0.1,0.001,3,500,128,COMPLETE
22,0.5139400000000001,2025-06-25 22:10:27.428652,2025-06-25 22:12:12.905424,0 days 00:01:45.476772000,64,1.0,0.1,0.001,3,500,128,COMPLETE
23,0.5316000000000001,2025-06-25 22:12:12.913974,2025-06-25 22:13:58.223727,0 days 00:01:45.309753000,64,1.0,0.1,0.001,3,500,128,COMPLETE
24,0.48804000000000003,2025-06-25 22:13:58.234506,2025-06-25 22:15:42.266061,0 days 00:01:44.031555000,64,1.0,0.1,0.001,3,500,128,COMPLETE
25,0.50838,2025-06-25 22:15:42.275029,2025-06-25 22:17:27.944860,0 days 00:01:45.669831000,64,0.1,0.1,0.001,3,500,128,COMPLETE
26,0.42258,2025-06-25 22:17:27.954087,2025-06-25 23:50:39.147414,0 days 01:33:11.193327000,64,1.0,0.1,0.0001,10,5000,512,COMPLETE
27,0.40824,2025-06-25 23:50:39.156934,2025-06-25 23:54:22.556421,0 days 00:03:43.399487000,64,1.0,1.0,0.001,3,500,256,COMPLETE
28,0.38424,2025-06-25 23:54:22.566142,2025-06-25 23:55:30.424378,0 days 00:01:07.858236000,64,0.01,0.01,0.001,3,500,64,COMPLETE
29,0.30028,2025-06-25 23:55:30.434250,2025-06-26 00:11:37.342466,0 days 00:16:06.908216000,128,0.1,0.5,0.001,10,500,512,COMPLETE
30,0.36452000000000007,2025-06-26 00:11:37.352555,2025-06-26 00:27:24.185587,0 days 00:15:46.833032000,64,0.01,0.1,0.001,3,5000,128,COMPLETE
31,0.47412000000000004,2025-06-26 00:27:24.195882,2025-06-26 00:29:08.423711,0 days 00:01:44.227829000,64,1.0,0.1,0.001,3,500,128,COMPLETE
32,0.53444,2025-06-26 00:29:08.435107,2025-06-26 00:30:54.003130,0 days 00:01:45.568023000,64,1.0,0.1,0.001,3,500,128,COMPLETE
33,0.53416,2025-06-26 00:30:54.013866,2025-06-26 00:33:39.453841,0 days 00:02:45.439975000,128,1.0,0.1,0.001,3,500,128,COMPLETE
34,0.46928000000000003,2025-06-26 00:33:39.464683,2025-06-26 00:36:25.250698,0 days 00:02:45.786015000,128,1.0,0.5,0.001,3,500,128,COMPLETE
