number,value,datetime_start,datetime_complete,duration,params_compile_batch_size,params_compile_beta_b,params_compile_beta_z,params_compile_lr,params_compile_prior_rate,params_compile_train_steps,params_hidden_size,state
0,-inf,2025-07-06 16:50:20.300970,2025-07-06 16:50:24.126479,0 days 00:00:03.825509000,256,0.1,0.01,0.0001,3,3000,512,COMPLETE
1,0.11420000000000001,2025-07-06 16:50:24.132273,2025-07-06 16:57:16.817590,0 days 00:06:52.685317000,64,0.1,0.01,0.1,10,3000,64,COMPLETE
2,0.11678000000000001,2025-07-06 16:57:16.822321,2025-07-06 17:08:04.894207,0 days 00:10:48.071886000,64,1.0,0.1,0.1,10,3000,128,COMPLETE
3,0.2272,2025-07-06 17:08:04.899153,2025-07-06 17:19:42.300099,0 days 00:11:37.400946000,128,1.0,1.0,0.0001,15,3000,64,COMPLETE
4,0.27116,2025-07-06 17:19:42.305261,2025-07-06 19:57:11.842759,0 days 02:37:29.537498000,256,0.1,0.01,0.0001,15,5000,256,COMPLETE
5,0.15614,2025-07-06 19:57:11.848049,2025-07-06 20:00:33.175619,0 days 00:03:21.327570000,128,0.01,1.0,0.0001,15,500,128,COMPLETE
6,0.2827,2025-07-06 20:00:33.181183,2025-07-06 20:12:14.704272,0 days 00:11:41.523089000,128,0.01,0.1,0.0001,10,3000,64,COMPLETE
7,-inf,2025-07-06 20:12:14.709929,2025-07-06 20:12:18.403408,0 days 00:00:03.693479000,256,0.1,0.5,0.0001,3,3000,512,COMPLETE
8,-inf,2025-07-06 20:12:18.409448,2025-07-06 20:25:07.080545,0 days 00:12:48.671097000,64,1.0,0.01,0.1,15,500,512,COMPLETE
9,0.18926,2025-07-06 20:25:07.086606,2025-07-06 21:42:50.823478,0 days 01:17:43.736872000,64,0.1,0.1,0.001,10,3000,512,COMPLETE
10,0.21214000000000002,2025-07-06 21:42:50.829648,2025-07-06 22:02:02.186612,0 days 00:19:11.356964000,128,0.01,0.1,0.001,10,5000,64,COMPLETE
11,0.2484,2025-07-06 22:02:02.193001,2025-07-07 00:38:55.501993,0 days 02:36:53.308992000,256,0.5,0.5,0.0001,15,5000,256,COMPLETE
12,0.21488000000000002,2025-07-07 00:38:55.508640,2025-07-07 01:54:21.497104,0 days 01:15:25.988464000,128,0.01,0.1,0.0001,15,5000,256,COMPLETE
13,0.27772,2025-07-07 01:54:21.503955,2025-07-07 04:31:39.627640,0 days 02:37:18.123685000,256,0.5,0.01,0.0001,10,5000,256,COMPLETE
14,0.27908,2025-07-07 04:31:39.634665,2025-07-07 07:08:09.156491,0 days 02:36:29.521826000,256,0.5,0.01,0.0001,10,5000,256,COMPLETE
15,0.29096,2025-07-07 07:08:09.163659,2025-07-07 07:10:20.843333,0 days 00:02:11.679674000,128,0.5,0.1,0.001,10,500,64,COMPLETE
16,0.20478000000000002,2025-07-07 07:10:20.850789,2025-07-07 07:12:31.502076,0 days 00:02:10.651287000,128,0.01,0.1,0.001,10,500,64,COMPLETE
17,0.2501,2025-07-07 07:12:31.509737,2025-07-07 07:14:42.517737,0 days 00:02:11.008000000,128,0.5,0.1,0.001,10,500,64,COMPLETE
18,0.08098,2025-07-07 07:14:42.525465,2025-07-07 07:16:54.610255,0 days 00:02:12.084790000,128,0.01,0.1,0.001,3,500,64,COMPLETE
19,0.2556,2025-07-07 07:16:54.618290,2025-07-07 07:19:02.778617,0 days 00:02:08.160327000,128,0.5,0.1,0.001,10,500,64,COMPLETE
20,0.15138000000000001,2025-07-07 07:19:02.786842,2025-07-07 07:21:15.582479,0 days 00:02:12.795637000,128,0.01,0.5,0.001,10,500,64,COMPLETE
21,0.14752,2025-07-07 07:21:15.590875,2025-07-07 09:58:10.972781,0 days 02:36:55.381906000,256,0.5,1.0,0.0001,10,5000,256,COMPLETE
22,0.29966000000000004,2025-07-07 09:58:10.981299,2025-07-07 10:17:41.870318,0 days 00:19:30.889019000,128,0.5,0.01,0.0001,10,3000,128,COMPLETE
23,0.14174,2025-07-07 10:17:41.879152,2025-07-07 10:36:43.830884,0 days 00:19:01.951732000,128,0.5,0.1,0.1,10,3000,128,COMPLETE
24,0.21846000000000002,2025-07-07 10:36:43.839844,2025-07-07 10:56:12.399089,0 days 00:19:28.559245000,128,0.5,0.1,0.0001,10,3000,128,COMPLETE
