number,value,datetime_start,datetime_complete,duration,params_compile_batch_size,params_compile_beta_b,params_compile_beta_z,params_compile_lr,params_compile_prior_rate,params_compile_train_steps,params_hidden_size,state
0,0.17644,2025-06-02 04:03:25.475858,2025-06-02 04:18:03.104517,0 days 00:14:37.628659000,256,0.5,0.01,0.1,3,3000,128,COMPLETE
1,0.23734,2025-06-02 04:18:03.110277,2025-06-02 04:49:45.416451,0 days 00:31:42.306174000,128,1.0,1.0,0.001,15,3000,256,COMPLETE
2,0.29044000000000003,2025-06-02 04:49:45.421153,2025-06-02 07:20:15.902046,0 days 02:30:30.480893000,128,0.01,0.5,0.0001,10,5000,512,COMPLETE
3,0.22010000000000002,2025-06-02 07:20:15.906953,2025-06-02 08:51:07.301468,0 days 01:30:51.394515000,64,0.5,0.01,0.001,10,5000,512,COMPLETE
4,0.12090000000000001,2025-06-02 08:51:07.306614,2025-06-02 08:52:38.886489,0 days 00:01:31.579875000,256,0.1,0.5,0.1,3,500,64,COMPLETE
5,0.16514,2025-06-02 08:52:38.891806,2025-06-02 09:07:05.033611,0 days 00:14:26.141805000,256,1.0,0.1,0.1,10,5000,64,COMPLETE
6,0.26084,2025-06-02 09:07:05.039115,2025-06-02 10:38:29.704639,0 days 01:31:24.665524000,64,0.5,0.1,0.0001,10,5000,512,COMPLETE
7,0.21860000000000002,2025-06-02 10:38:29.710458,2025-06-02 11:09:22.638659,0 days 00:30:52.928201000,256,1.0,0.01,0.1,3,3000,256,COMPLETE
8,0.34888,2025-06-02 11:09:22.644564,2025-06-02 11:24:36.236974,0 days 00:15:13.592410000,128,0.01,0.01,0.0001,15,500,512,COMPLETE
9,0.44714,2025-06-02 11:24:36.243070,2025-06-02 13:56:06.081016,0 days 02:31:29.837946000,128,0.1,0.01,0.001,10,5000,512,COMPLETE
10,0.21128000000000002,2025-06-02 13:56:06.087268,2025-06-02 14:20:31.126864,0 days 00:24:25.039596000,128,0.1,1.0,0.001,10,5000,128,COMPLETE
11,0.36666000000000004,2025-06-02 14:20:31.133328,2025-06-02 14:35:44.098229,0 days 00:15:12.964901000,128,0.01,0.01,0.0001,15,500,512,COMPLETE
12,0.35725999999999997,2025-06-02 14:35:44.104850,2025-06-02 14:51:01.536673,0 days 00:15:17.431823000,128,0.1,0.01,0.001,15,500,512,COMPLETE
13,0.35088,2025-06-02 14:51:01.543460,2025-06-02 15:06:16.903548,0 days 00:15:15.360088000,128,0.01,0.01,0.0001,15,500,512,COMPLETE
14,0.36746,2025-06-02 15:06:16.910492,2025-06-02 15:21:31.816568,0 days 00:15:14.906076000,128,0.01,0.01,0.0001,15,500,512,COMPLETE
15,0.34903999999999996,2025-06-02 15:21:31.823767,2025-06-02 17:52:13.812416,0 days 02:30:41.988649000,128,0.1,0.01,0.001,10,5000,512,COMPLETE
16,0.25422,2025-06-02 17:52:13.819777,2025-06-02 17:53:47.233535,0 days 00:01:33.413758000,64,0.1,1.0,0.0001,15,500,128,COMPLETE
17,0.29952,2025-06-02 17:53:47.243705,2025-06-02 18:46:04.831403,0 days 00:52:17.587698000,128,0.01,0.5,0.001,10,5000,256,COMPLETE
18,0.23266,2025-06-02 18:46:04.839220,2025-06-02 18:47:37.143619,0 days 00:01:32.304399000,128,0.1,0.1,0.0001,15,500,64,COMPLETE
19,0.27746000000000004,2025-06-02 18:47:37.151607,2025-06-02 19:41:46.549389,0 days 00:54:09.397782000,64,0.01,0.01,0.001,3,3000,512,COMPLETE
20,0.33616000000000007,2025-06-02 19:41:46.557620,2025-06-02 22:12:07.841334,0 days 02:30:21.283714000,128,0.1,0.01,0.0001,15,5000,512,COMPLETE
21,0.36274,2025-06-02 22:12:07.849681,2025-06-02 22:27:16.976101,0 days 00:15:09.126420000,128,0.01,0.01,0.0001,15,500,512,COMPLETE
22,0.37739999999999996,2025-06-02 22:27:16.984557,2025-06-02 22:42:26.196547,0 days 00:15:09.211990000,128,0.01,0.01,0.0001,15,500,512,COMPLETE
23,0.33486000000000005,2025-06-02 22:42:26.205243,2025-06-02 22:57:34.037618,0 days 00:15:07.832375000,128,0.01,0.01,0.0001,15,500,512,COMPLETE
24,0.3561,2025-06-02 22:57:34.046585,2025-06-02 23:12:42.454294,0 days 00:15:08.407709000,128,0.01,0.01,0.0001,15,500,512,COMPLETE
25,0.43614,2025-06-02 23:12:42.463484,2025-06-02 23:27:49.357665,0 days 00:15:06.894181000,128,0.01,0.01,0.001,10,500,512,COMPLETE
26,0.2256,2025-06-02 23:27:49.366955,2025-06-02 23:29:21.694816,0 days 00:01:32.327861000,128,1.0,0.1,0.001,10,500,64,COMPLETE
27,0.21774000000000002,2025-06-02 23:29:21.704226,2025-06-02 23:44:02.668503,0 days 00:14:40.964277000,256,0.5,1.0,0.001,10,3000,128,COMPLETE
28,0.30384,2025-06-02 23:44:02.677999,2025-06-02 23:49:28.326531,0 days 00:05:25.648532000,128,0.01,0.5,0.001,10,500,256,COMPLETE
29,0.21860000000000002,2025-06-02 23:49:28.336497,2025-06-03 01:17:33.150461,0 days 01:28:04.813964000,64,0.5,0.01,0.1,3,5000,512,COMPLETE
30,0.28506000000000004,2025-06-03 01:17:33.160345,2025-06-03 01:32:15.828180,0 days 00:14:42.667835000,256,0.1,0.01,0.001,10,3000,128,COMPLETE
31,0.4786,2025-06-03 01:32:15.838399,2025-06-03 01:47:22.271567,0 days 00:15:06.433168000,128,0.01,0.01,0.0001,10,500,512,COMPLETE
32,0.44256,2025-06-03 01:47:22.281977,2025-06-03 02:02:28.871615,0 days 00:15:06.589638000,128,0.01,0.01,0.001,10,500,512,COMPLETE
33,0.39626000000000006,2025-06-03 02:02:28.882076,2025-06-03 02:17:35.224968,0 days 00:15:06.342892000,128,0.01,0.01,0.001,10,500,512,COMPLETE
34,0.39118,2025-06-03 02:17:35.235595,2025-06-03 02:32:43.511219,0 days 00:15:08.275624000,128,0.01,0.01,0.001,10,500,512,COMPLETE
35,0.30324,2025-06-03 02:32:43.522195,2025-06-03 02:47:52.608455,0 days 00:15:09.086260000,128,0.01,0.5,0.001,10,500,512,COMPLETE
36,0.2973,2025-06-03 02:47:52.619566,2025-06-03 03:40:10.538499,0 days 00:52:17.918933000,128,1.0,1.0,0.001,10,5000,256,COMPLETE
37,0.16677999999999998,2025-06-03 03:40:10.549836,2025-06-03 03:48:50.803825,0 days 00:08:40.253989000,128,0.5,0.01,0.1,10,3000,64,COMPLETE
38,0.28502,2025-06-03 03:48:50.815457,2025-06-03 06:13:12.511634,0 days 02:24:21.696177000,256,0.01,0.1,0.001,10,5000,512,COMPLETE
39,0.33218000000000003,2025-06-03 06:13:12.523383,2025-06-03 06:22:19.298412,0 days 00:09:06.775029000,64,1.0,0.01,0.001,10,500,512,COMPLETE
40,0.21860000000000002,2025-06-03 06:22:19.310371,2025-06-03 08:49:35.738867,0 days 02:27:16.428496000,128,0.1,0.5,0.1,10,5000,512,COMPLETE
41,0.35674,2025-06-03 08:49:35.751005,2025-06-03 09:04:48.146439,0 days 00:15:12.395434000,128,0.01,0.01,0.001,10,500,512,COMPLETE
42,0.38316000000000006,2025-06-03 09:04:48.158612,2025-06-03 09:20:00.260126,0 days 00:15:12.101514000,128,0.01,0.01,0.001,10,500,512,COMPLETE
43,0.47602,2025-06-03 09:20:00.272453,2025-06-03 09:35:11.039414,0 days 00:15:10.766961000,128,0.01,0.01,0.001,10,500,512,COMPLETE
44,0.38450000000000006,2025-06-03 09:35:11.052075,2025-06-03 09:50:22.070836,0 days 00:15:11.018761000,128,0.01,0.01,0.001,10,500,512,COMPLETE
45,0.21514,2025-06-03 09:50:22.086300,2025-06-03 10:05:34.729129,0 days 00:15:12.642829000,128,0.01,0.01,0.001,3,500,512,COMPLETE
46,0.35106000000000004,2025-06-03 10:05:34.742213,2025-06-03 10:11:02.446145,0 days 00:05:27.703932000,256,0.01,0.01,0.001,10,500,256,COMPLETE
47,0.24154,2025-06-03 10:11:02.459399,2025-06-03 10:13:34.405872,0 days 00:02:31.946473000,128,0.1,0.01,0.001,10,500,128,COMPLETE
48,0.21860000000000002,2025-06-03 10:13:34.419433,2025-06-03 12:41:51.841887,0 days 02:28:17.422454000,128,0.5,1.0,0.1,10,5000,512,COMPLETE
49,0.18534,2025-06-03 12:41:51.855353,2025-06-03 12:42:54.254757,0 days 00:01:02.399404000,64,0.01,0.1,0.001,10,500,64,COMPLETE
