number,value,datetime_start,datetime_complete,duration,params_compile_batch_size,params_compile_beta_b,params_compile_beta_z,params_compile_lr,params_compile_prior_rate,params_compile_train_steps,params_hidden_size,state
0,0.11312000000000001,2025-07-10 06:57:38.962984,2025-07-10 08:16:03.153022,0 days 01:18:24.190038000,256,0.01,0.5,0.1,3,5000,128,COMPLETE
1,0.12664,2025-07-10 08:16:03.158841,2025-07-10 08:17:31.654567,0 days 00:01:28.495726000,64,0.01,0.01,0.1,3,500,64,COMPLETE
2,0.33932000000000007,2025-07-10 08:17:31.659479,2025-07-10 09:02:59.264701,0 days 00:45:27.605222000,256,0.1,0.1,0.0001,10,5000,64,COMPLETE
3,0.11828000000000001,2025-07-10 09:02:59.269782,2025-07-10 09:04:31.066262,0 days 00:01:31.796480000,64,0.01,0.01,0.1,15,500,64,COMPLETE
4,0.12432000000000001,2025-07-10 09:04:31.071335,2025-07-10 09:08:20.125743,0 days 00:03:49.054408000,128,0.5,0.1,0.1,15,500,128,COMPLETE
5,-inf,2025-07-10 09:08:20.131243,2025-07-10 09:08:23.424884,0 days 00:00:03.293641000,256,1.0,0.01,0.001,10,5000,256,COMPLETE
6,0.12296,2025-07-10 09:08:23.430386,2025-07-10 09:55:52.084293,0 days 00:47:28.653907000,256,0.01,1.0,0.1,15,3000,128,COMPLETE
7,0.25158,2025-07-10 09:55:52.089933,2025-07-10 11:16:07.650476,0 days 01:20:15.560543000,64,0.01,1.0,0.001,10,3000,512,COMPLETE
8,0.12792,2025-07-10 11:16:07.656351,2025-07-10 11:34:42.778670,0 days 00:18:35.122319000,64,0.5,1.0,0.1,15,5000,128,COMPLETE
9,-inf,2025-07-10 11:34:42.784822,2025-07-10 11:34:46.069368,0 days 00:00:03.284546000,256,0.01,0.01,0.001,15,5000,256,COMPLETE
10,0.19456,2025-07-10 11:34:46.077803,2025-07-10 11:55:41.638644,0 days 00:20:55.560841000,128,0.1,0.1,0.0001,10,5000,64,COMPLETE
11,0.22344,2025-07-10 11:55:41.645117,2025-07-10 13:17:16.846388,0 days 01:21:35.201271000,64,0.1,0.1,0.0001,10,3000,512,COMPLETE
12,-inf,2025-07-10 13:17:16.853013,2025-07-10 13:17:20.660906,0 days 00:00:03.807893000,256,0.1,1.0,0.001,10,3000,512,COMPLETE
13,0.14838,2025-07-10 13:17:20.667757,2025-07-10 14:38:12.658714,0 days 01:20:51.990957000,64,1.0,0.5,0.0001,10,3000,512,COMPLETE
14,-inf,2025-07-10 14:38:12.665815,2025-07-10 14:38:19.134847,0 days 00:00:06.469032000,128,0.1,1.0,0.0001,10,3000,512,COMPLETE
15,0.36140000000000005,2025-07-10 14:38:19.142042,2025-07-10 14:50:05.693738,0 days 00:11:46.551696000,64,0.1,0.1,0.001,10,5000,64,COMPLETE
16,0.26108,2025-07-10 14:50:05.701223,2025-07-10 15:35:30.784694,0 days 00:45:25.083471000,256,0.1,0.1,0.0001,10,5000,64,COMPLETE
17,0.34863999999999995,2025-07-10 15:35:30.792477,2025-07-10 15:47:19.041990,0 days 00:11:48.249513000,64,0.1,0.1,0.001,3,5000,64,COMPLETE
18,0.34308,2025-07-10 15:47:19.049891,2025-07-10 15:59:09.206029,0 days 00:11:50.156138000,64,0.1,0.1,0.001,3,5000,64,COMPLETE
19,0.17734,2025-07-10 15:59:09.214092,2025-07-10 16:10:58.923255,0 days 00:11:49.709163000,64,0.1,0.1,0.001,3,5000,64,COMPLETE
20,0.26152000000000003,2025-07-10 16:10:58.931465,2025-07-10 16:22:50.415511,0 days 00:11:51.484046000,64,0.5,0.1,0.001,3,5000,64,COMPLETE
21,0.29688000000000003,2025-07-10 16:22:50.423942,2025-07-10 16:34:40.809408,0 days 00:11:50.385466000,64,0.1,0.1,0.001,3,5000,64,COMPLETE
22,0.23682,2025-07-10 16:34:40.817861,2025-07-10 16:46:30.720423,0 days 00:11:49.902562000,64,0.1,0.1,0.001,3,5000,64,COMPLETE
23,0.16808,2025-07-10 16:46:30.729118,2025-07-10 16:58:18.501397,0 days 00:11:47.772279000,64,0.1,0.1,0.001,3,5000,64,COMPLETE
24,0.08990000000000001,2025-07-10 16:58:18.510518,2025-07-10 17:42:00.901911,0 days 00:43:42.391393000,64,1.0,0.5,0.001,3,5000,256,COMPLETE
25,0.2308,2025-07-10 17:42:00.911185,2025-07-10 17:43:29.611542,0 days 00:01:28.700357000,64,0.1,0.1,0.001,3,500,64,COMPLETE
26,0.1718,2025-07-10 17:43:29.620765,2025-07-10 18:04:24.009707,0 days 00:20:54.388942000,128,0.1,0.1,0.001,3,5000,64,COMPLETE
27,0.17432000000000003,2025-07-10 18:04:24.019304,2025-07-10 18:15:13.419465,0 days 00:10:49.400161000,64,0.1,0.1,0.001,3,5000,64,COMPLETE
28,0.30674,2025-07-10 18:15:13.429303,2025-07-10 18:27:00.330636,0 days 00:11:46.901333000,64,0.1,0.1,0.001,3,5000,64,COMPLETE
29,0.08442000000000001,2025-07-10 18:27:00.340596,2025-07-10 19:06:17.123761,0 days 00:39:16.783165000,64,0.5,0.5,0.001,3,5000,256,COMPLETE
30,0.1801,2025-07-10 19:06:17.133876,2025-07-10 19:10:08.496938,0 days 00:03:51.363062000,128,1.0,0.5,0.001,3,500,128,COMPLETE
31,0.22368,2025-07-10 19:10:08.507253,2025-07-10 19:55:27.199071,0 days 00:45:18.691818000,256,0.1,0.1,0.0001,10,5000,64,COMPLETE
32,0.26958000000000004,2025-07-10 19:55:27.209616,2025-07-10 20:40:48.711626,0 days 00:45:21.502010000,256,0.1,0.1,0.0001,10,5000,64,COMPLETE
33,0.27652,2025-07-10 20:40:48.722441,2025-07-10 21:26:05.714148,0 days 00:45:16.991707000,256,0.1,0.1,0.0001,10,5000,64,COMPLETE
34,0.11874,2025-07-10 21:26:05.725009,2025-07-10 21:27:33.342335,0 days 00:01:27.617326000,64,0.1,0.01,0.1,10,500,64,COMPLETE
35,0.19882,2025-07-10 21:27:33.353471,2025-07-10 22:12:45.385823,0 days 00:45:12.032352000,256,0.1,0.1,0.001,10,5000,64,COMPLETE
36,0.1317,2025-07-10 22:12:45.396878,2025-07-10 22:24:26.388235,0 days 00:11:40.991357000,64,0.1,0.1,0.1,15,5000,64,COMPLETE
37,0.13763999999999998,2025-07-10 22:24:26.399611,2025-07-10 22:26:36.237825,0 days 00:02:09.838214000,64,0.01,0.01,0.0001,3,500,128,COMPLETE
38,0.26204,2025-07-10 22:26:36.249376,2025-07-10 23:11:45.543650,0 days 00:45:09.294274000,256,0.5,0.1,0.001,15,5000,64,COMPLETE
39,0.13082000000000002,2025-07-10 23:11:45.555542,2025-07-10 23:54:35.165645,0 days 00:42:49.610103000,64,1.0,0.1,0.1,10,5000,256,COMPLETE
40,0.3879,2025-07-10 23:54:35.177552,2025-07-11 00:15:28.550622,0 days 00:20:53.373070000,128,0.01,0.01,0.001,10,5000,64,COMPLETE
