number,value,datetime_start,datetime_complete,duration,params_compile_batch_size,params_compile_beta_b,params_compile_beta_z,params_compile_lr,params_compile_prior_rate,params_compile_train_steps,params_hidden_size,state
0,0.07934000000000001,2025-05-30 22:29:01.200951,2025-05-30 22:38:25.702975,0 days 00:09:24.502024000,64,1.0,0.5,0.1,3,3000,128,COMPLETE
1,0.25248000000000004,2025-05-30 22:38:25.709143,2025-05-30 22:41:01.644696,0 days 00:02:35.935553000,256,0.01,1.0,0.1,3,500,128,COMPLETE
2,0.19162,2025-05-30 22:41:01.649361,2025-05-30 22:56:07.956112,0 days 00:15:06.306751000,128,0.1,0.1,0.1,10,5000,64,COMPLETE
3,0.21486,2025-05-30 22:56:07.961400,2025-05-31 00:21:47.666070,0 days 01:25:39.704670000,256,0.01,0.01,0.1,15,3000,512,COMPLETE
4,0.18464,2025-05-31 00:21:47.671142,2025-05-31 00:30:41.446795,0 days 00:08:53.775653000,128,0.5,1.0,0.1,15,3000,64,COMPLETE
5,0.24984000000000003,2025-05-31 00:30:41.452154,2025-05-31 00:45:48.700994,0 days 00:15:07.248840000,256,0.1,0.5,0.001,3,3000,128,COMPLETE
6,0.33984000000000003,2025-05-31 00:45:48.706487,2025-05-31 01:00:54.393140,0 days 00:15:05.686653000,128,0.01,0.01,0.0001,3,5000,64,COMPLETE
7,0.21284,2025-05-31 01:00:54.398762,2025-05-31 01:03:30.090227,0 days 00:02:35.691465000,128,1.0,0.5,0.001,15,500,128,COMPLETE
8,0.21486,2025-05-31 01:03:30.096051,2025-05-31 01:56:41.602534,0 days 00:53:11.506483000,64,1.0,0.1,0.1,10,3000,512,COMPLETE
9,0.20976000000000003,2025-05-31 01:56:41.608585,2025-05-31 02:31:27.631116,0 days 00:34:46.022531000,64,0.1,1.0,0.001,3,5000,256,COMPLETE
10,0.36706000000000005,2025-05-31 02:31:27.637409,2025-05-31 02:46:31.934327,0 days 00:15:04.296918000,128,0.01,0.01,0.0001,3,5000,64,COMPLETE
11,0.34472,2025-05-31 02:46:31.940801,2025-05-31 03:01:36.866977,0 days 00:15:04.926176000,128,0.01,0.01,0.0001,3,5000,64,COMPLETE
12,0.33277999999999996,2025-05-31 03:01:36.873664,2025-05-31 03:16:42.696410,0 days 00:15:05.822746000,128,0.01,0.01,0.0001,3,5000,64,COMPLETE
13,0.33118000000000003,2025-05-31 03:16:42.705711,2025-05-31 03:31:47.817201,0 days 00:15:05.111490000,128,0.01,0.01,0.0001,3,5000,64,COMPLETE
14,0.32238,2025-05-31 03:31:47.824261,2025-05-31 04:28:59.756668,0 days 00:57:11.932407000,128,0.5,0.01,0.0001,3,5000,256,COMPLETE
15,0.29194,2025-05-31 04:28:59.763867,2025-05-31 04:44:04.865904,0 days 00:15:05.102037000,128,0.01,0.01,0.0001,10,5000,64,COMPLETE
16,0.32014,2025-05-31 04:44:04.873399,2025-05-31 04:59:11.730534,0 days 00:15:06.857135000,128,0.01,0.01,0.0001,3,5000,64,COMPLETE
17,0.32266000000000006,2025-05-31 04:59:11.742598,2025-05-31 05:00:47.923003,0 days 00:01:36.180405000,128,0.01,0.01,0.0001,3,500,64,COMPLETE
18,0.28040000000000004,2025-05-31 05:00:47.930846,2025-05-31 07:29:47.036560,0 days 02:28:59.105714000,256,0.5,0.01,0.0001,15,5000,512,COMPLETE
19,0.20468000000000003,2025-05-31 07:29:47.044579,2025-05-31 08:04:34.934743,0 days 00:34:47.890164000,64,0.01,0.1,0.0001,10,5000,256,COMPLETE
20,0.30624,2025-05-31 08:04:34.942888,2025-05-31 08:06:10.900692,0 days 00:01:35.957804000,128,0.01,0.01,0.0001,3,500,64,COMPLETE
21,0.30538000000000004,2025-05-31 08:06:10.909120,2025-05-31 08:21:17.140668,0 days 00:15:06.231548000,128,0.01,0.01,0.0001,3,5000,64,COMPLETE
22,0.29654,2025-05-31 08:21:17.149146,2025-05-31 08:36:22.021629,0 days 00:15:04.872483000,128,0.01,0.01,0.0001,3,5000,64,COMPLETE
23,0.29818,2025-05-31 08:36:22.030473,2025-05-31 08:51:27.515696,0 days 00:15:05.485223000,128,0.01,0.01,0.0001,3,5000,64,COMPLETE
24,0.33234,2025-05-31 08:51:27.524463,2025-05-31 09:06:33.182104,0 days 00:15:05.657641000,128,0.01,0.01,0.0001,3,5000,64,COMPLETE
25,0.22182000000000002,2025-05-31 09:06:33.191190,2025-05-31 09:21:38.590959,0 days 00:15:05.399769000,128,0.01,0.01,0.001,3,5000,64,COMPLETE
