number,value,datetime_start,datetime_complete,duration,params_compile_batch_size,params_compile_beta_b,params_compile_beta_z,params_compile_lr,params_compile_prior_rate,params_compile_train_steps,params_hidden_size,state
0,0.39548000000000005,2025-05-29 23:42:19.075667,2025-05-29 23:48:52.221011,0 days 00:06:33.145344000,128,0.1,0.01,0.001,10,5000,128,COMPLETE
1,0.4149,2025-05-29 23:48:52.228685,2025-05-29 23:51:45.561380,0 days 00:02:53.332695000,64,0.01,0.01,0.001,15,5000,64,COMPLETE
2,0.36352,2025-05-29 23:51:45.566165,2025-05-29 23:55:15.429586,0 days 00:03:29.863421000,128,1.0,0.5,0.001,10,500,512,COMPLETE
3,0.43198000000000003,2025-05-29 23:55:15.436633,2025-05-30 00:09:17.865778,0 days 00:14:02.429145000,128,0.5,0.01,0.1,3,5000,256,COMPLETE
4,0.47148,2025-05-30 00:09:17.870987,2025-05-30 00:11:50.950929,0 days 00:02:33.079942000,256,0.5,0.1,0.001,3,3000,64,COMPLETE
5,0.34012000000000003,2025-05-30 00:11:50.956142,2025-05-30 00:12:11.821287,0 days 00:00:20.865145000,64,0.1,1.0,0.0001,15,500,64,COMPLETE
6,0.38056,2025-05-30 00:12:11.826726,2025-05-30 00:32:26.913374,0 days 00:20:15.086648000,128,1.0,0.5,0.001,10,3000,512,COMPLETE
7,0.33577999999999997,2025-05-30 00:32:26.919153,2025-05-30 00:52:44.334411,0 days 00:20:17.415258000,128,0.1,0.1,0.001,15,3000,512,COMPLETE
8,0.33726,2025-05-30 00:52:44.340180,2025-05-30 01:01:16.807178,0 days 00:08:32.466998000,256,0.5,0.1,0.0001,15,3000,256,COMPLETE
9,0.43326000000000003,2025-05-30 01:01:16.813755,2025-05-30 01:01:59.232050,0 days 00:00:42.418295000,128,0.5,1.0,0.1,10,500,128,COMPLETE
10,0.51772,2025-05-30 01:01:59.238344,2025-05-30 01:04:35.658716,0 days 00:02:36.420372000,256,0.01,0.1,0.0001,3,3000,64,COMPLETE
11,0.5181600000000001,2025-05-30 01:04:35.665179,2025-05-30 01:07:10.461604,0 days 00:02:34.796425000,256,0.01,0.1,0.0001,3,3000,64,COMPLETE
12,0.5738,2025-05-30 01:07:10.468164,2025-05-30 01:09:45.252270,0 days 00:02:34.784106000,256,0.01,0.1,0.0001,3,3000,64,COMPLETE
13,0.56496,2025-05-30 01:09:45.259102,2025-05-30 01:12:20.158341,0 days 00:02:34.899239000,256,0.01,0.1,0.0001,3,3000,64,COMPLETE
14,0.47814000000000006,2025-05-30 01:12:20.165220,2025-05-30 01:14:54.948102,0 days 00:02:34.782882000,256,0.01,0.1,0.0001,3,3000,64,COMPLETE
15,0.5425200000000001,2025-05-30 01:14:54.955300,2025-05-30 01:17:30.127908,0 days 00:02:35.172608000,256,0.01,0.1,0.0001,3,3000,64,COMPLETE
16,0.57324,2025-05-30 01:17:30.135419,2025-05-30 01:20:05.098917,0 days 00:02:34.963498000,256,0.01,0.1,0.0001,3,3000,64,COMPLETE
17,0.4777,2025-05-30 01:20:05.106359,2025-05-30 01:28:39.027418,0 days 00:08:33.921059000,256,0.01,0.5,0.0001,3,3000,256,COMPLETE
18,0.43976000000000004,2025-05-30 01:28:39.035244,2025-05-30 01:32:25.345365,0 days 00:03:46.310121000,64,0.01,1.0,0.1,3,5000,128,COMPLETE
19,0.4588,2025-05-30 01:32:25.353184,2025-05-30 01:32:54.313480,0 days 00:00:28.960296000,256,1.0,0.1,0.0001,3,500,64,COMPLETE
20,0.5544000000000001,2025-05-30 01:32:54.321614,2025-05-30 01:35:29.375397,0 days 00:02:35.053783000,256,0.01,0.1,0.0001,3,3000,64,COMPLETE
21,0.5548,2025-05-30 01:35:29.383689,2025-05-30 01:38:04.582513,0 days 00:02:35.198824000,256,0.01,0.1,0.0001,3,3000,64,COMPLETE
22,0.54782,2025-05-30 01:38:04.591142,2025-05-30 01:40:39.455370,0 days 00:02:34.864228000,256,0.01,0.1,0.0001,3,3000,64,COMPLETE
23,0.55818,2025-05-30 01:40:39.464075,2025-05-30 01:43:14.490908,0 days 00:02:35.026833000,256,0.01,0.1,0.0001,3,3000,64,COMPLETE
24,0.56874,2025-05-30 01:43:14.500635,2025-05-30 01:45:49.426587,0 days 00:02:34.925952000,256,0.01,0.1,0.0001,3,3000,64,COMPLETE
25,0.35030000000000006,2025-05-30 01:45:49.435868,2025-05-30 01:47:33.116753,0 days 00:01:43.680885000,64,0.01,0.1,0.1,3,3000,64,COMPLETE
26,0.5922400000000001,2025-05-30 01:47:33.126024,2025-05-30 02:08:24.450153,0 days 00:20:51.324129000,256,0.01,0.01,0.0001,3,3000,512,COMPLETE
27,0.4672200000000001,2025-05-30 02:08:24.459675,2025-05-30 02:11:57.541599,0 days 00:03:33.081924000,256,1.0,0.01,0.0001,10,500,512,COMPLETE
28,0.51234,2025-05-30 02:11:57.551268,2025-05-30 02:46:27.524198,0 days 00:34:29.972930000,256,0.1,0.01,0.0001,3,5000,512,COMPLETE
29,0.47126,2025-05-30 02:46:27.533957,2025-05-30 02:48:44.646596,0 days 00:02:17.112639000,64,0.1,0.01,0.1,15,3000,128,COMPLETE
30,0.56374,2025-05-30 02:48:44.656647,2025-05-30 03:22:58.379104,0 days 00:34:13.722457000,256,0.01,0.01,0.0001,10,5000,512,COMPLETE
31,0.64746,2025-05-30 03:22:58.389566,2025-05-30 03:43:47.750013,0 days 00:20:49.360447000,256,0.01,0.01,0.0001,3,3000,512,COMPLETE
32,0.60238,2025-05-30 03:43:47.760516,2025-05-30 04:04:33.402904,0 days 00:20:45.642388000,256,0.01,0.01,0.0001,3,3000,512,COMPLETE
33,0.63016,2025-05-30 04:04:33.413508,2025-05-30 04:25:28.784137,0 days 00:20:55.370629000,256,0.01,0.01,0.0001,3,3000,512,COMPLETE
34,0.6130800000000001,2025-05-30 04:25:28.794807,2025-05-30 04:46:18.398687,0 days 00:20:49.603880000,256,0.01,0.01,0.0001,3,3000,512,COMPLETE
35,0.45914000000000005,2025-05-30 04:46:18.409765,2025-05-30 05:20:01.725337,0 days 00:33:43.315572000,256,0.01,0.01,0.001,3,5000,512,COMPLETE
36,0.364,2025-05-30 05:20:01.736552,2025-05-30 05:40:44.699128,0 days 00:20:42.962576000,128,0.5,0.01,0.0001,15,3000,512,COMPLETE
37,0.5713400000000001,2025-05-30 05:40:44.712335,2025-05-30 05:42:57.327176,0 days 00:02:12.614841000,64,1.0,0.01,0.001,3,500,512,COMPLETE
38,0.55556,2025-05-30 05:42:57.339579,2025-05-30 06:03:35.240286,0 days 00:20:37.900707000,256,0.01,0.01,0.0001,10,3000,512,COMPLETE
39,0.54606,2025-05-30 06:03:35.252086,2025-05-30 06:23:56.294184,0 days 00:20:21.042098000,128,0.5,0.01,0.001,3,3000,512,COMPLETE
40,0.44844,2025-05-30 06:23:56.306205,2025-05-30 06:56:56.209363,0 days 00:32:59.903158000,256,0.1,0.01,0.1,15,5000,512,COMPLETE
41,0.62544,2025-05-30 06:56:56.221330,2025-05-30 07:17:39.593650,0 days 00:20:43.372320000,256,0.01,0.01,0.0001,3,3000,512,COMPLETE
42,0.53146,2025-05-30 07:17:39.608293,2025-05-30 07:38:27.026562,0 days 00:20:47.418269000,256,0.01,0.01,0.0001,3,3000,512,COMPLETE
43,0.61382,2025-05-30 07:38:27.039100,2025-05-30 07:59:15.766277,0 days 00:20:48.727177000,256,0.01,0.01,0.0001,3,3000,512,COMPLETE
44,0.63034,2025-05-30 07:59:15.780732,2025-05-30 08:20:10.279182,0 days 00:20:54.498450000,256,0.01,0.01,0.0001,3,3000,512,COMPLETE
45,0.47954,2025-05-30 08:20:10.292123,2025-05-30 08:28:43.880630,0 days 00:08:33.588507000,128,0.01,0.5,0.0001,3,3000,256,COMPLETE
46,0.3625,2025-05-30 08:28:43.893654,2025-05-30 08:49:33.067782,0 days 00:20:49.174128000,256,1.0,1.0,0.0001,10,3000,512,COMPLETE
47,0.64454,2025-05-30 08:49:33.081047,2025-05-30 08:53:06.766762,0 days 00:03:33.685715000,256,0.01,0.01,0.0001,3,500,512,COMPLETE
48,0.37876,2025-05-30 08:53:06.780002,2025-05-30 08:55:19.022100,0 days 00:02:12.242098000,64,0.5,0.01,0.001,15,500,512,COMPLETE
49,0.5378400000000001,2025-05-30 08:55:19.035762,2025-05-30 08:56:02.022482,0 days 00:00:42.986720000,256,0.01,0.01,0.0001,3,500,128,COMPLETE
50,0.45352000000000003,2025-05-30 08:56:02.036455,2025-05-30 08:57:30.688292,0 days 00:01:28.651837000,256,0.1,0.5,0.0001,3,500,256,COMPLETE
51,0.63748,2025-05-30 08:57:30.702363,2025-05-30 09:01:03.583668,0 days 00:03:32.881305000,256,0.01,0.01,0.0001,3,500,512,COMPLETE
52,0.6309,2025-05-30 09:01:03.597911,2025-05-30 09:04:37.336395,0 days 00:03:33.738484000,256,0.01,0.01,0.0001,3,500,512,COMPLETE
53,0.69716,2025-05-30 09:04:37.350900,2025-05-30 09:08:11.075299,0 days 00:03:33.724399000,256,0.01,0.01,0.0001,3,500,512,COMPLETE
54,0.65764,2025-05-30 09:08:11.090018,2025-05-30 09:11:44.745050,0 days 00:03:33.655032000,256,0.01,0.01,0.0001,3,500,512,COMPLETE
55,0.4833,2025-05-30 09:11:44.759836,2025-05-30 09:15:18.618461,0 days 00:03:33.858625000,256,0.01,1.0,0.0001,3,500,512,COMPLETE
56,0.41050000000000003,2025-05-30 09:15:18.633460,2025-05-30 09:18:39.735351,0 days 00:03:21.101891000,128,0.01,0.01,0.1,3,500,512,COMPLETE
57,0.6117,2025-05-30 09:18:39.750529,2025-05-30 09:22:13.341742,0 days 00:03:33.591213000,256,0.01,0.01,0.0001,3,500,512,COMPLETE
58,0.48508,2025-05-30 09:22:13.357076,2025-05-30 09:25:47.109538,0 days 00:03:33.752462000,256,0.01,0.5,0.0001,3,500,512,COMPLETE
59,0.56966,2025-05-30 09:25:47.125480,2025-05-30 09:26:30.055558,0 days 00:00:42.930078000,256,0.01,0.01,0.0001,3,500,128,COMPLETE
60,0.6181,2025-05-30 09:26:30.071246,2025-05-30 09:27:58.714043,0 days 00:01:28.642797000,256,0.01,0.01,0.0001,3,500,256,COMPLETE
61,0.6161000000000001,2025-05-30 09:27:58.730245,2025-05-30 09:31:31.039104,0 days 00:03:32.308859000,256,0.01,0.01,0.0001,3,500,512,COMPLETE
62,0.6944000000000001,2025-05-30 09:31:31.055197,2025-05-30 09:35:04.537487,0 days 00:03:33.482290000,256,0.01,0.01,0.0001,3,500,512,COMPLETE
63,0.6470600000000001,2025-05-30 09:35:04.553903,2025-05-30 09:38:38.349815,0 days 00:03:33.795912000,256,0.01,0.01,0.0001,3,500,512,COMPLETE
64,0.66032,2025-05-30 09:38:38.366378,2025-05-30 09:42:11.830682,0 days 00:03:33.464304000,256,0.01,0.01,0.0001,3,500,512,COMPLETE
65,0.5055000000000001,2025-05-30 09:42:11.849006,2025-05-30 09:45:45.125763,0 days 00:03:33.276757000,256,0.01,1.0,0.0001,3,500,512,COMPLETE
66,0.45948000000000006,2025-05-30 09:45:45.142410,2025-05-30 09:49:18.886532,0 days 00:03:33.744122000,256,1.0,0.01,0.0001,10,500,512,COMPLETE
67,0.54566,2025-05-30 09:49:18.903693,2025-05-30 09:51:32.693368,0 days 00:02:13.789675000,64,0.5,0.01,0.0001,3,500,512,COMPLETE
68,0.4879,2025-05-30 09:51:32.710813,2025-05-30 09:54:55.022032,0 days 00:03:22.311219000,256,0.01,0.01,0.1,15,500,512,COMPLETE
69,0.5295200000000001,2025-05-30 09:54:55.039629,2025-05-30 09:55:37.913107,0 days 00:00:42.873478000,256,0.01,0.01,0.0001,3,500,128,COMPLETE
70,0.67876,2025-05-30 09:55:37.931150,2025-05-30 09:59:08.882727,0 days 00:03:30.951577000,256,0.01,0.01,0.001,3,500,512,COMPLETE
71,0.53646,2025-05-30 09:59:08.901093,2025-05-30 10:02:39.616636,0 days 00:03:30.715543000,256,0.01,0.01,0.001,3,500,512,COMPLETE
72,0.5446200000000001,2025-05-30 10:02:39.636513,2025-05-30 10:06:10.742270,0 days 00:03:31.105757000,256,0.01,0.01,0.001,3,500,512,COMPLETE
73,0.64228,2025-05-30 10:06:10.760715,2025-05-30 10:09:41.296641,0 days 00:03:30.535926000,256,0.01,0.01,0.001,3,500,512,COMPLETE
74,0.61428,2025-05-30 10:09:41.315235,2025-05-30 10:13:12.038340,0 days 00:03:30.723105000,256,0.01,0.01,0.001,3,500,512,COMPLETE
75,0.5642,2025-05-30 10:13:12.058585,2025-05-30 10:16:56.339173,0 days 00:03:44.280588000,256,0.1,0.01,0.0001,3,500,512,COMPLETE
76,0.49096000000000006,2025-05-30 10:16:56.358142,2025-05-30 10:20:26.869275,0 days 00:03:30.511133000,128,0.01,0.5,0.001,3,500,512,COMPLETE
77,0.69262,2025-05-30 10:20:26.887999,2025-05-30 10:24:00.601253,0 days 00:03:33.713254000,256,0.01,0.01,0.0001,3,500,512,COMPLETE
78,0.53006,2025-05-30 10:24:00.620577,2025-05-30 10:25:29.295980,0 days 00:01:28.675403000,256,0.01,0.01,0.0001,10,500,256,COMPLETE
79,0.49995999999999996,2025-05-30 10:25:29.315568,2025-05-30 10:46:00.516858,0 days 00:20:31.201290000,64,0.01,1.0,0.001,3,5000,512,COMPLETE
80,0.5519000000000001,2025-05-30 10:46:00.536751,2025-05-30 10:49:33.933564,0 days 00:03:33.396813000,256,1.0,0.01,0.0001,3,500,512,COMPLETE
81,0.5861000000000001,2025-05-30 10:49:33.953600,2025-05-30 10:53:06.831725,0 days 00:03:32.878125000,256,0.01,0.01,0.0001,3,500,512,COMPLETE
