number,value,datetime_start,datetime_complete,duration,params_compile_batch_size,params_compile_beta_b,params_compile_beta_z,params_compile_lr,params_compile_prior_rate,params_compile_train_steps,params_hidden_size,state
0,0.46314,2025-05-29 13:20:29.551003,2025-05-29 13:23:31.447996,0 days 00:03:01.896993000,256,0.5,0.1,0.0001,15,3000,64,COMPLETE
1,0.49758,2025-05-29 13:23:31.455261,2025-05-29 13:27:17.421588,0 days 00:03:45.966327000,128,0.1,1.0,0.0001,3,500,512,COMPLETE
2,0.75108,2025-05-29 13:27:17.426319,2025-05-29 13:31:35.647549,0 days 00:04:18.221230000,64,0.01,0.1,0.0001,3,5000,128,COMPLETE
3,0.83184,2025-05-29 13:31:35.652376,2025-05-29 13:32:25.203347,0 days 00:00:49.550971000,256,0.01,0.1,0.0001,10,500,128,COMPLETE
4,0.40700000000000003,2025-05-29 13:32:25.208448,2025-05-29 13:33:14.653886,0 days 00:00:49.445438000,128,0.5,0.01,0.001,10,500,128,COMPLETE
5,0.43152,2025-05-29 13:33:14.659177,2025-05-29 13:33:47.991308,0 days 00:00:33.332131000,256,1.0,0.1,0.0001,15,500,64,COMPLETE
6,0.34994000000000003,2025-05-29 13:33:47.996812,2025-05-29 13:34:37.468065,0 days 00:00:49.471253000,128,0.1,1.0,0.001,10,500,128,COMPLETE
7,0.48534000000000005,2025-05-29 13:34:37.473703,2025-05-29 13:51:00.346520,0 days 00:16:22.872817000,128,0.5,0.01,0.001,3,5000,256,COMPLETE
8,0.58328,2025-05-29 13:51:00.352416,2025-05-29 14:07:23.392016,0 days 00:16:23.039600000,128,1.0,0.01,0.0001,3,5000,256,COMPLETE
9,0.34636,2025-05-29 14:07:23.398065,2025-05-29 14:08:11.717745,0 days 00:00:48.319680000,128,0.5,0.5,0.001,10,500,128,COMPLETE
10,0.3488,2025-05-29 14:08:11.724000,2025-05-29 14:30:32.543409,0 days 00:22:20.819409000,256,0.01,0.5,0.1,10,3000,512,COMPLETE
11,0.8892000000000001,2025-05-29 14:30:32.549897,2025-05-29 14:34:50.700177,0 days 00:04:18.150280000,64,0.01,0.1,0.0001,3,5000,128,COMPLETE
12,0.39546000000000003,2025-05-29 14:34:50.706841,2025-05-29 14:39:07.734846,0 days 00:04:17.028005000,64,0.01,0.1,0.1,3,5000,128,COMPLETE
13,0.8031200000000001,2025-05-29 14:39:07.741707,2025-05-29 14:43:26.498641,0 days 00:04:18.756934000,64,0.01,0.1,0.0001,10,5000,128,COMPLETE
14,0.8329400000000001,2025-05-29 14:43:26.505569,2025-05-29 14:46:03.231300,0 days 00:02:36.725731000,64,0.01,0.1,0.0001,15,3000,128,COMPLETE
15,0.51122,2025-05-29 14:46:03.238881,2025-05-29 14:48:39.991104,0 days 00:02:36.752223000,64,0.01,0.1,0.0001,15,3000,128,COMPLETE
16,0.43526000000000004,2025-05-29 14:48:39.998698,2025-05-29 15:01:55.221853,0 days 00:13:15.223155000,64,0.01,0.1,0.1,15,3000,512,COMPLETE
17,0.33664000000000005,2025-05-29 15:01:55.229671,2025-05-29 15:03:48.907512,0 days 00:01:53.677841000,64,0.01,1.0,0.0001,15,3000,64,COMPLETE
18,0.47006000000000003,2025-05-29 15:03:48.915611,2025-05-29 15:13:02.402628,0 days 00:09:13.487017000,64,1.0,0.5,0.0001,3,5000,256,COMPLETE
