number,value,datetime_start,datetime_complete,duration,params_compile_batch_size,params_compile_beta_b,params_compile_beta_z,params_compile_lr,params_compile_prior_rate,params_compile_train_steps,params_hidden_size,state
0,0.2805,2025-07-11 10:00:06.143318,2025-07-11 10:00:50.545024,0 days 00:00:44.401706000,128,0.1,0.01,0.1,15,500,64,COMPLETE
1,0.37568,2025-07-11 10:00:50.550779,2025-07-11 10:04:28.419352,0 days 00:03:37.868573000,128,1.0,0.1,0.001,15,3000,64,COMPLETE
2,0.37357999999999997,2025-07-11 10:04:28.424109,2025-07-11 10:05:42.650770,0 days 00:01:14.226661000,256,0.1,0.5,0.001,3,500,64,COMPLETE
3,0.3204,2025-07-11 10:05:42.656194,2025-07-11 10:18:49.524821,0 days 00:13:06.868627000,256,0.5,0.1,0.1,10,5000,64,COMPLETE
4,0.3746,2025-07-11 10:18:49.529841,2025-07-11 10:29:13.859535,0 days 00:10:24.329694000,128,1.0,0.01,0.001,10,5000,128,COMPLETE
5,0.35472000000000004,2025-07-11 10:29:13.864824,2025-07-11 12:30:10.496826,0 days 02:00:56.632002000,256,1.0,0.01,0.0001,3,5000,512,COMPLETE
6,0.2805,2025-07-11 12:30:10.502458,2025-07-11 12:31:20.349117,0 days 00:01:09.846659000,128,0.01,0.01,0.1,10,500,128,COMPLETE
7,0.3633,2025-07-11 12:31:20.355295,2025-07-11 13:29:11.992603,0 days 00:57:51.637308000,128,0.5,1.0,0.0001,3,5000,512,COMPLETE
8,0.2805,2025-07-11 13:29:11.998521,2025-07-11 13:47:56.756092,0 days 00:18:44.757571000,64,1.0,0.5,0.001,15,3000,512,COMPLETE
9,0.39494,2025-07-11 13:47:56.762179,2025-07-11 14:07:29.637557,0 days 00:19:32.875378000,64,0.01,0.01,0.001,3,3000,512,COMPLETE
10,0.34748,2025-07-11 14:07:29.643788,2025-07-11 14:15:21.556785,0 days 00:07:51.912997000,64,0.01,1.0,0.001,3,3000,256,COMPLETE
11,0.36212000000000005,2025-07-11 14:15:21.563369,2025-07-11 14:23:12.606557,0 days 00:07:51.043188000,64,0.01,0.1,0.001,15,3000,256,COMPLETE
12,0.32338,2025-07-11 14:23:12.613130,2025-07-11 14:42:14.753265,0 days 00:19:02.140135000,64,1.0,0.1,0.001,15,3000,512,COMPLETE
13,0.43710000000000004,2025-07-11 14:42:14.760062,2025-07-11 14:46:13.304618,0 days 00:03:58.544556000,128,0.01,0.1,0.001,3,3000,64,COMPLETE
14,0.39516,2025-07-11 14:46:13.311688,2025-07-11 14:48:39.562843,0 days 00:02:26.251155000,64,0.01,0.01,0.001,3,3000,64,COMPLETE
15,0.42726,2025-07-11 14:48:39.570084,2025-07-11 14:52:46.939423,0 days 00:04:07.369339000,128,0.01,0.1,0.0001,3,3000,64,COMPLETE
