number,value,datetime_start,datetime_complete,duration,params_compile_batch_size,params_compile_beta_b,params_compile_beta_z,params_compile_lr,params_compile_prior_rate,params_compile_train_steps,params_hidden_size,state
0,0.42766,2025-05-26 17:30:46.528595,2025-05-26 17:34:46.474828,0 days 00:03:59.946233000,128,0.01,1.0,0.001,3,3000,64,COMPLETE
1,0.45652000000000004,2025-05-26 17:34:46.480910,2025-05-26 17:44:52.778473,0 days 00:10:06.297563000,128,1.0,0.5,0.001,3,5000,128,COMPLETE
2,0.3693,2025-05-26 17:44:52.783231,2025-05-26 17:48:25.439155,0 days 00:03:32.655924000,64,0.1,0.1,0.1,15,3000,128,COMPLETE
3,0.4156000000000001,2025-05-26 17:48:25.444241,2025-05-26 18:10:46.078080,0 days 00:22:20.633839000,128,0.01,0.1,0.0001,15,5000,256,COMPLETE
4,0.35066,2025-05-26 18:10:46.083272,2025-05-26 18:12:10.111429,0 days 00:01:24.028157000,256,0.5,0.1,0.0001,10,500,64,COMPLETE
5,0.37457999999999997,2025-05-26 18:12:10.119092,2025-05-26 18:23:36.120509,0 days 00:11:26.001417000,256,0.01,0.1,0.1,15,3000,128,COMPLETE
6,0.39030000000000004,2025-05-26 18:23:36.126013,2025-05-26 18:26:56.630416,0 days 00:03:20.504403000,64,0.5,0.1,0.1,3,500,512,COMPLETE
7,0.33528,2025-05-26 18:26:56.636043,2025-05-26 18:29:00.085638,0 days 00:02:03.449595000,256,1.0,0.5,0.0001,10,500,128,COMPLETE
8,0.32504,2025-05-26 18:29:00.091618,2025-05-26 19:01:21.317492,0 days 00:32:21.225874000,64,0.1,0.5,0.001,15,5000,512,COMPLETE
9,0.37782000000000004,2025-05-26 19:01:21.323573,2025-05-26 19:06:57.560742,0 days 00:05:36.237169000,128,0.01,0.5,0.1,3,500,512,COMPLETE
10,0.45466000000000006,2025-05-26 19:06:57.567083,2025-05-26 19:29:13.243845,0 days 00:22:15.676762000,128,1.0,0.01,0.001,3,5000,256,COMPLETE
11,0.43846000000000007,2025-05-26 19:29:13.250449,2025-05-26 19:51:33.699018,0 days 00:22:20.448569000,128,1.0,0.01,0.001,3,5000,256,COMPLETE
12,0.42410000000000003,2025-05-26 19:51:33.705628,2025-05-26 20:13:54.860828,0 days 00:22:21.155200000,128,1.0,0.01,0.001,3,5000,256,COMPLETE
13,0.43194000000000005,2025-05-26 20:13:54.867683,2025-05-26 20:36:14.964743,0 days 00:22:20.097060000,128,1.0,0.01,0.001,3,5000,256,COMPLETE
14,0.45216,2025-05-26 20:36:14.971817,2025-05-26 20:46:19.829847,0 days 00:10:04.858030000,128,1.0,1.0,0.001,3,5000,128,COMPLETE
15,0.44448000000000004,2025-05-26 20:46:19.837131,2025-05-26 20:56:25.412525,0 days 00:10:05.575394000,128,1.0,0.5,0.001,3,5000,128,COMPLETE
16,0.38722,2025-05-26 20:56:25.420144,2025-05-26 21:18:45.775060,0 days 00:22:20.354916000,128,1.0,0.01,0.001,10,5000,256,COMPLETE
17,0.38664000000000004,2025-05-26 21:18:45.782741,2025-05-26 21:25:18.546280,0 days 00:06:32.763539000,128,1.0,0.01,0.001,3,5000,64,COMPLETE
18,0.40936,2025-05-26 21:25:18.554195,2025-05-26 21:31:09.875647,0 days 00:05:51.321452000,64,0.5,0.5,0.001,3,5000,128,COMPLETE
19,0.35206,2025-05-26 21:31:09.883679,2025-05-26 21:56:38.965260,0 days 00:25:29.081581000,256,0.1,1.0,0.0001,10,3000,256,COMPLETE
20,0.46378,2025-05-26 21:56:38.973604,2025-05-26 22:06:44.908110,0 days 00:10:05.934506000,128,1.0,0.01,0.001,3,5000,128,COMPLETE
21,0.42966,2025-05-26 22:06:44.916517,2025-05-26 22:16:50.233002,0 days 00:10:05.316485000,128,1.0,0.01,0.001,3,5000,128,COMPLETE
22,0.43046,2025-05-26 22:16:50.241503,2025-05-26 22:26:54.882928,0 days 00:10:04.641425000,128,1.0,0.01,0.001,3,5000,128,COMPLETE
23,0.44592000000000004,2025-05-26 22:26:54.891690,2025-05-26 22:37:02.966140,0 days 00:10:08.074450000,128,1.0,0.01,0.001,3,5000,128,COMPLETE
24,0.42494,2025-05-26 22:37:02.975157,2025-05-26 22:47:04.258218,0 days 00:10:01.283061000,128,1.0,0.5,0.001,3,5000,128,COMPLETE
