number,value,datetime_start,datetime_complete,duration,params_compile_batch_size,params_compile_beta_b,params_compile_beta_z,params_compile_lr,params_compile_prior_rate,params_compile_train_steps,params_hidden_size,state
0,0.37148,2025-05-23 20:40:20.747068,2025-05-23 20:44:09.557846,0 days 00:03:48.810778000,128,0.01,0.1,0.1,10,3000,64,COMPLETE
1,0.4335,2025-05-23 20:44:09.568418,2025-05-23 20:46:25.371016,0 days 00:02:15.802598000,128,0.1,0.5,0.1,10,500,256,COMPLETE
2,0.4999800000000001,2025-05-23 20:46:25.375706,2025-05-23 20:53:24.609008,0 days 00:06:59.233302000,64,1.0,0.1,0.0001,3,3000,256,COMPLETE
3,0.3486,2025-05-23 20:53:24.613865,2025-05-23 20:57:15.371435,0 days 00:03:50.757570000,128,1.0,1.0,0.0001,10,3000,64,COMPLETE
4,0.28504,2025-05-23 20:57:15.376418,2025-05-23 21:10:35.642382,0 days 00:13:20.265964000,128,0.5,1.0,0.1,3,3000,256,COMPLETE
5,0.35264000000000006,2025-05-23 21:10:35.647552,2025-05-23 21:23:58.931131,0 days 00:13:23.283579000,256,0.01,1.0,0.0001,10,3000,256,COMPLETE
6,0.37062,2025-05-23 21:23:58.936980,2025-05-23 21:55:14.758656,0 days 00:31:15.821676000,256,0.01,0.01,0.001,10,3000,512,COMPLETE
7,0.29912,2025-05-23 21:55:14.764183,2025-05-23 21:57:31.806200,0 days 00:02:17.042017000,256,0.5,1.0,0.001,15,500,256,COMPLETE
8,0.3457,2025-05-23 21:57:31.812105,2025-05-23 22:00:48.034637,0 days 00:03:16.222532000,64,0.1,0.01,0.1,10,5000,64,COMPLETE
9,0.35112,2025-05-23 22:00:48.040640,2025-05-23 22:02:00.800359,0 days 00:01:12.759719000,64,0.1,0.1,0.1,3,500,256,COMPLETE
10,0.49670000000000003,2025-05-23 22:02:00.806522,2025-05-23 22:07:19.192318,0 days 00:05:18.385796000,64,1.0,0.1,0.0001,3,5000,128,COMPLETE
11,0.48878,2025-05-23 22:07:19.198673,2025-05-23 22:12:36.477573,0 days 00:05:17.278900000,64,1.0,0.1,0.0001,3,5000,128,COMPLETE
12,0.5662400000000001,2025-05-23 22:12:36.484067,2025-05-23 22:17:53.769510,0 days 00:05:17.285443000,64,1.0,0.1,0.0001,3,5000,128,COMPLETE
13,0.51832,2025-05-23 22:17:53.776300,2025-05-23 22:23:09.251787,0 days 00:05:15.475487000,64,1.0,0.1,0.0001,3,5000,128,COMPLETE
14,0.30076,2025-05-23 22:23:09.258797,2025-05-23 22:28:26.241208,0 days 00:05:16.982411000,64,1.0,0.5,0.0001,15,5000,128,COMPLETE
15,0.61266,2025-05-23 22:28:26.248353,2025-05-23 22:33:44.718235,0 days 00:05:18.469882000,64,1.0,0.1,0.0001,3,5000,128,COMPLETE
16,0.5732200000000001,2025-05-23 22:33:44.725547,2025-05-23 22:39:02.761618,0 days 00:05:18.036071000,64,1.0,0.1,0.0001,3,5000,128,COMPLETE
17,0.40546,2025-05-23 22:39:02.771343,2025-05-23 23:07:47.489267,0 days 00:28:44.717924000,64,1.0,0.1,0.001,3,5000,512,COMPLETE
