number,value,datetime_start,datetime_complete,duration,params_compile_batch_size,params_compile_beta_b,params_compile_beta_z,params_compile_lr,params_compile_prior_rate,params_compile_train_steps,params_hidden_size,state
0,0.81752,2025-05-24 08:13:23.617828,2025-05-24 08:14:49.532939,0 days 00:01:25.915111000,64,0.01,0.5,0.0001,3,500,256,COMPLETE
1,0.2844,2025-05-24 08:14:49.538702,2025-05-24 08:18:41.122462,0 days 00:03:51.583760000,64,1.0,0.1,0.1,15,5000,64,COMPLETE
2,0.30182,2025-05-24 08:18:41.127148,2025-05-24 08:20:04.205665,0 days 00:01:23.078517000,256,0.01,1.0,0.0001,10,500,64,COMPLETE
3,0.28162,2025-05-24 08:20:04.210564,2025-05-24 08:21:29.916635,0 days 00:01:25.706071000,64,0.5,1.0,0.001,15,500,256,COMPLETE
4,0.5524,2025-05-24 08:21:29.921840,2025-05-24 09:05:10.075135,0 days 00:43:40.153295000,256,1.0,0.5,0.0001,3,5000,256,COMPLETE
5,0.32618,2025-05-24 09:05:10.080567,2025-05-24 09:12:51.434590,0 days 00:07:41.354023000,64,0.1,0.5,0.1,3,3000,256,COMPLETE
6,0.29294,2025-05-24 09:12:51.440117,2025-05-24 09:20:20.327436,0 days 00:07:28.887319000,256,0.5,1.0,0.0001,15,3000,64,COMPLETE
7,0.40092,2025-05-24 09:20:20.333133,2025-05-24 11:11:56.521491,0 days 01:51:36.188358000,256,0.01,0.01,0.001,10,5000,512,COMPLETE
8,0.8572,2025-05-24 11:11:56.527372,2025-05-24 11:22:35.235871,0 days 00:10:38.708499000,128,0.1,0.01,0.0001,3,5000,128,COMPLETE
9,0.36334,2025-05-24 11:22:35.243098,2025-05-24 11:30:01.582111,0 days 00:07:26.339013000,128,0.01,0.5,0.0001,15,5000,64,COMPLETE
10,1.0,2025-05-24 11:30:01.589864,2025-05-24 11:41:05.130029,0 days 00:11:03.540165000,128,0.1,0.01,0.001,3,5000,128,COMPLETE
11,0.98644,2025-05-24 11:41:05.139157,2025-05-24 11:51:40.585541,0 days 00:10:35.446384000,128,0.1,0.01,0.001,3,5000,128,COMPLETE
12,0.66838,2025-05-24 11:51:40.592279,2025-05-24 12:01:49.699944,0 days 00:10:09.107665000,128,0.1,0.01,0.001,3,5000,128,COMPLETE
13,0.54598,2025-05-24 12:01:49.706781,2025-05-24 12:11:55.021245,0 days 00:10:05.314464000,128,0.1,0.01,0.001,3,5000,128,COMPLETE
14,0.5068,2025-05-24 12:11:55.028265,2025-05-24 12:22:03.424707,0 days 00:10:08.396442000,128,0.1,0.01,0.001,3,5000,128,COMPLETE
15,0.96128,2025-05-24 12:22:03.432036,2025-05-24 12:28:15.489889,0 days 00:06:12.057853000,128,0.1,0.1,0.001,3,3000,128,COMPLETE
16,0.36856,2025-05-24 12:28:15.497372,2025-05-24 13:22:52.808185,0 days 00:54:37.310813000,128,0.1,0.01,0.001,10,5000,512,COMPLETE
17,0.40336,2025-05-24 13:22:52.816226,2025-05-24 13:33:03.120023,0 days 00:10:10.303797000,128,0.1,0.01,0.001,3,5000,128,COMPLETE
18,0.48478000000000004,2025-05-24 13:33:03.127990,2025-05-24 13:34:13.043738,0 days 00:01:09.915748000,128,0.5,0.01,0.1,3,500,128,COMPLETE
19,0.37616,2025-05-24 13:34:13.051730,2025-05-24 13:40:23.959615,0 days 00:06:10.907885000,128,1.0,0.1,0.001,10,3000,128,COMPLETE
20,0.66878,2025-05-24 13:40:23.967673,2025-05-24 14:35:19.689295,0 days 00:54:55.721622000,128,0.1,0.01,0.001,3,5000,512,COMPLETE
21,0.44122,2025-05-24 14:35:19.697585,2025-05-24 14:41:29.256582,0 days 00:06:09.558997000,128,0.1,0.1,0.001,3,3000,128,COMPLETE
22,1.0,2025-05-24 14:41:29.265112,2025-05-24 14:47:40.716588,0 days 00:06:11.451476000,128,0.1,0.1,0.001,3,3000,128,COMPLETE
23,0.52428,2025-05-24 14:47:40.725293,2025-05-24 14:53:51.148786,0 days 00:06:10.423493000,128,0.1,0.1,0.001,3,3000,128,COMPLETE
24,0.78012,2025-05-24 14:53:51.157693,2025-05-24 15:00:00.913702,0 days 00:06:09.756009000,128,0.1,0.1,0.001,3,3000,128,COMPLETE
25,0.4786,2025-05-24 15:00:00.922833,2025-05-24 15:06:09.142212,0 days 00:06:08.219379000,128,0.1,0.01,0.1,3,3000,128,COMPLETE
26,0.5776000000000001,2025-05-24 15:06:09.151320,2025-05-24 15:16:18.557356,0 days 00:10:09.406036000,128,0.1,0.1,0.001,3,5000,128,COMPLETE
27,0.3224,2025-05-24 15:16:18.566726,2025-05-24 15:17:02.852459,0 days 00:00:44.285733000,64,1.0,1.0,0.001,15,500,128,COMPLETE
28,0.66838,2025-05-24 15:17:02.862051,2025-05-24 15:50:02.534065,0 days 00:32:59.672014000,128,0.5,0.01,0.001,3,3000,512,COMPLETE
29,0.44414,2025-05-24 15:50:02.543876,2025-05-24 16:33:47.327018,0 days 00:43:44.783142000,256,0.01,0.5,0.1,10,5000,256,COMPLETE
30,0.51634,2025-05-24 16:33:47.337122,2025-05-24 16:34:31.041167,0 days 00:00:43.704045000,64,0.1,0.1,0.001,3,500,128,COMPLETE
31,0.43148000000000003,2025-05-24 16:34:31.051423,2025-05-24 16:40:41.338629,0 days 00:06:10.287206000,128,0.1,0.1,0.001,3,3000,128,COMPLETE
32,0.8081,2025-05-24 16:40:41.349001,2025-05-24 16:46:52.340409,0 days 00:06:10.991408000,128,0.1,0.1,0.001,3,3000,128,COMPLETE
33,0.5108400000000001,2025-05-24 16:46:52.350899,2025-05-24 16:53:01.931154,0 days 00:06:09.580255000,128,0.1,0.1,0.001,3,3000,128,COMPLETE
34,1.0,2025-05-24 16:53:01.941885,2025-05-24 16:57:04.686364,0 days 00:04:02.744479000,128,0.1,0.1,0.001,3,3000,64,COMPLETE
35,0.29692,2025-05-24 16:57:04.697363,2025-05-24 16:59:27.928945,0 days 00:02:23.231582000,64,1.0,1.0,0.001,15,3000,64,COMPLETE
36,0.44414,2025-05-24 16:59:27.940062,2025-05-24 17:00:50.818560,0 days 00:01:22.878498000,256,0.1,0.1,0.1,3,500,64,COMPLETE
37,0.40766,2025-05-24 17:00:50.831793,2025-05-24 17:07:26.979869,0 days 00:06:36.148076000,128,0.5,0.5,0.0001,3,5000,64,COMPLETE
38,0.3492,2025-05-24 17:07:26.991388,2025-05-24 17:09:49.724571,0 days 00:02:22.733183000,64,0.01,1.0,0.001,10,3000,64,COMPLETE
39,0.42676000000000003,2025-05-24 17:09:49.736264,2025-05-24 17:53:32.023711,0 days 00:43:42.287447000,256,0.1,0.01,0.0001,15,5000,256,COMPLETE
40,0.72424,2025-05-24 17:53:32.035511,2025-05-24 18:00:09.289916,0 days 00:06:37.254405000,128,1.0,0.1,0.001,3,5000,64,COMPLETE
41,0.66878,2025-05-24 18:00:09.302056,2025-05-24 18:06:20.034693,0 days 00:06:10.732637000,128,0.1,0.1,0.001,3,3000,128,COMPLETE
42,0.66878,2025-05-24 18:06:20.046959,2025-05-24 18:19:38.311720,0 days 00:13:18.264761000,128,0.1,0.1,0.001,3,3000,256,COMPLETE
43,0.9431,2025-05-24 18:19:38.324007,2025-05-24 18:23:40.107819,0 days 00:04:01.783812000,128,0.1,0.1,0.001,3,3000,64,COMPLETE
44,0.94772,2025-05-24 18:23:40.120299,2025-05-24 18:29:51.132697,0 days 00:06:11.012398000,128,0.1,0.1,0.001,3,3000,128,COMPLETE
45,0.66878,2025-05-24 18:29:51.145847,2025-05-24 19:01:39.118471,0 days 00:31:47.972624000,128,0.1,0.01,0.001,3,3000,512,COMPLETE
46,0.9970400000000001,2025-05-24 19:01:39.131397,2025-05-24 19:11:49.304024,0 days 00:10:10.172627000,128,0.01,0.5,0.0001,3,5000,128,COMPLETE
47,0.35278000000000004,2025-05-24 19:11:49.317289,2025-05-24 19:24:10.612972,0 days 00:12:21.295683000,256,0.01,0.5,0.0001,15,5000,64,COMPLETE
48,0.96368,2025-05-24 19:24:10.626391,2025-05-24 19:34:20.846113,0 days 00:10:10.219722000,128,0.01,0.5,0.0001,3,5000,128,COMPLETE
49,1.0,2025-05-24 19:34:20.859733,2025-05-24 19:44:33.248561,0 days 00:10:12.388828000,128,0.01,0.5,0.0001,10,5000,128,COMPLETE
50,1.0,2025-05-24 19:44:33.262393,2025-05-24 20:07:00.913708,0 days 00:22:27.651315000,128,0.01,0.5,0.0001,10,5000,256,COMPLETE
51,0.9981,2025-05-24 20:07:00.927422,2025-05-24 20:29:30.430790,0 days 00:22:29.503368000,128,0.01,0.5,0.0001,10,5000,256,COMPLETE
52,1.0,2025-05-24 20:29:30.444918,2025-05-24 20:51:57.337880,0 days 00:22:26.892962000,128,0.01,0.5,0.0001,10,5000,256,COMPLETE
53,1.0,2025-05-24 20:51:57.352253,2025-05-24 21:14:23.609468,0 days 00:22:26.257215000,128,0.01,0.5,0.0001,10,5000,256,COMPLETE
54,0.40602000000000005,2025-05-24 21:14:23.624224,2025-05-24 21:36:51.780713,0 days 00:22:28.156489000,128,0.01,0.5,0.0001,10,5000,256,COMPLETE
55,1.0,2025-05-24 21:36:51.795282,2025-05-24 21:59:15.711749,0 days 00:22:23.916467000,128,0.01,0.5,0.0001,10,5000,256,COMPLETE
56,0.99724,2025-05-24 21:59:15.726565,2025-05-24 22:21:43.041310,0 days 00:22:27.314745000,128,0.01,0.5,0.0001,10,5000,256,COMPLETE
57,0.8479000000000001,2025-05-24 22:21:43.056387,2025-05-24 22:45:27.266758,0 days 00:23:44.210371000,128,0.01,0.5,0.0001,10,5000,256,COMPLETE
58,0.99724,2025-05-24 22:45:27.281808,2025-05-24 22:58:19.000799,0 days 00:12:51.718991000,64,0.01,0.5,0.0001,10,5000,256,COMPLETE
59,0.48668000000000006,2025-05-24 22:58:19.016695,2025-05-24 23:00:48.269545,0 days 00:02:29.252850000,128,0.01,0.5,0.0001,10,500,256,COMPLETE
60,1.0,2025-05-24 23:00:48.285140,2025-05-24 23:24:21.597412,0 days 00:23:33.312272000,128,0.01,0.5,0.0001,10,5000,256,COMPLETE
61,1.0,2025-05-24 23:24:21.613176,2025-05-24 23:46:49.667912,0 days 00:22:28.054736000,128,0.01,0.5,0.0001,10,5000,256,COMPLETE
62,0.35356000000000004,2025-05-24 23:46:49.683930,2025-05-25 00:09:16.086233,0 days 00:22:26.402303000,128,0.01,0.5,0.0001,10,5000,256,COMPLETE
63,1.0,2025-05-25 00:09:16.102494,2025-05-25 00:31:04.117172,0 days 00:21:48.014678000,128,0.01,0.5,0.0001,10,5000,256,COMPLETE
64,1.0,2025-05-25 00:31:04.133476,2025-05-25 00:53:26.904255,0 days 00:22:22.770779000,128,0.01,0.5,0.0001,10,5000,256,COMPLETE
65,0.9961800000000001,2025-05-25 00:53:26.920805,2025-05-25 01:15:55.173332,0 days 00:22:28.252527000,128,0.01,0.5,0.0001,10,5000,256,COMPLETE
66,1.0,2025-05-25 01:15:55.190073,2025-05-25 01:38:22.611199,0 days 00:22:27.421126000,128,0.01,0.5,0.0001,10,5000,256,COMPLETE
67,0.38646,2025-05-25 01:38:22.628424,2025-05-25 01:39:45.896351,0 days 00:01:23.267927000,256,0.5,0.01,0.1,10,500,64,COMPLETE
68,1.0,2025-05-25 01:39:45.913064,2025-05-25 02:02:15.207857,0 days 00:22:29.294793000,128,0.01,0.5,0.0001,10,5000,256,COMPLETE
69,1.0,2025-05-25 02:02:15.225242,2025-05-25 02:24:43.750365,0 days 00:22:28.525123000,128,0.01,0.5,0.0001,10,5000,256,COMPLETE
70,0.99724,2025-05-25 02:24:43.767696,2025-05-25 02:47:08.861796,0 days 00:22:25.094100000,128,0.01,0.5,0.0001,10,5000,256,COMPLETE
71,1.0,2025-05-25 02:47:08.879376,2025-05-25 03:09:27.990784,0 days 00:22:19.111408000,128,0.01,0.5,0.0001,10,5000,256,COMPLETE
72,0.35318,2025-05-25 03:09:28.008746,2025-05-25 04:04:26.483759,0 days 00:54:58.475013000,128,0.01,1.0,0.0001,10,5000,512,COMPLETE
73,1.0,2025-05-25 04:04:26.502007,2025-05-25 04:26:53.824051,0 days 00:22:27.322044000,128,0.01,0.5,0.0001,10,5000,256,COMPLETE
74,0.47242,2025-05-25 04:26:53.842383,2025-05-25 04:49:22.260868,0 days 00:22:28.418485000,128,0.01,0.5,0.0001,10,5000,256,COMPLETE
