number,value,datetime_start,datetime_complete,duration,params_compile_batch_size,params_compile_beta_b,params_compile_beta_z,params_compile_lr,params_compile_prior_rate,params_compile_train_steps,params_hidden_size,state
0,0.42206,2025-07-27 02:32:52.859114,2025-07-27 02:39:01.260533,0 days 00:06:08.401419000,128,1.0,0.01,0.0001,3,3000,128,COMPLETE
1,0.42228000000000004,2025-07-27 02:39:01.270654,2025-07-27 02:40:25.785352,0 days 00:01:24.514698000,128,0.01,0.5,0.0001,10,500,256,COMPLETE
2,0.41332,2025-07-27 02:40:25.792683,2025-07-27 02:46:32.530213,0 days 00:06:06.737530000,128,0.5,0.1,0.001,3,3000,128,COMPLETE
3,0.45258000000000004,2025-07-27 02:46:32.541640,2025-07-27 02:47:48.575879,0 days 00:01:16.034239000,128,0.5,0.5,0.001,3,500,128,COMPLETE
4,0.43766000000000005,2025-07-27 02:47:48.586593,2025-07-27 03:02:11.520730,0 days 00:14:22.934137000,256,0.01,0.5,0.1,5,5000,64,COMPLETE
5,0.51992,2025-07-27 03:02:11.530722,2025-07-27 03:08:16.100881,0 days 00:06:04.570159000,128,0.5,0.5,0.001,5,3000,64,COMPLETE
6,0.38568,2025-07-27 03:08:16.112792,2025-07-27 03:09:17.486711,0 days 00:01:01.373919000,64,0.1,1.0,0.0001,10,500,64,COMPLETE
7,0.32364000000000004,2025-07-27 03:09:17.498958,2025-07-27 03:10:17.840289,0 days 00:01:00.341331000,64,0.01,0.1,0.0001,10,500,64,COMPLETE
8,0.45752000000000004,2025-07-27 03:10:17.852161,2025-07-27 03:11:31.783932,0 days 00:01:13.931771000,128,0.5,0.1,0.1,3,500,128,COMPLETE
9,0.42426,2025-07-27 03:11:31.795769,2025-07-27 03:26:28.730126,0 days 00:14:56.934357000,256,0.5,0.1,0.0001,3,5000,128,COMPLETE
10,0.54496,2025-07-27 03:26:28.741450,2025-07-27 03:31:09.329538,0 days 00:04:40.588088000,64,0.1,1.0,0.001,5,3000,256,COMPLETE
11,0.54496,2025-07-27 03:31:09.341788,2025-07-27 03:35:53.023222,0 days 00:04:43.681434000,64,0.1,1.0,0.001,5,3000,256,COMPLETE
12,0.54496,2025-07-27 03:35:53.034089,2025-07-27 03:40:36.718780,0 days 00:04:43.684691000,64,0.1,1.0,0.001,5,3000,256,COMPLETE
13,0.54496,2025-07-27 03:40:36.732220,2025-07-27 03:45:21.087313,0 days 00:04:44.355093000,64,0.1,1.0,0.001,5,3000,256,COMPLETE
14,0.54496,2025-07-27 03:45:21.100798,2025-07-27 03:50:04.390266,0 days 00:04:43.289468000,64,0.1,1.0,0.001,5,3000,256,COMPLETE
