number,value,datetime_start,datetime_complete,duration,params_hidden_size,params_il_batch_size,params_il_clip,params_il_lr,params_il_recurrence,params_il_train_steps,params_nb_slots,state
0,0.18820000000000003,2025-07-21 23:52:47.380017,2025-07-21 23:57:04.584478,0 days 00:04:17.204461000,64,128,0.3,0.1,10,500,4,COMPLETE
1,0.18794,2025-07-21 23:57:04.590233,2025-07-22 00:19:48.013222,0 days 00:22:43.422989000,64,128,0.1,0.0001,30,5000,2,COMPLETE
2,0.18794,2025-07-22 00:19:48.018359,2025-07-22 00:59:26.110843,0 days 00:39:38.092484000,64,128,0.8,1e-05,20,5000,4,COMPLETE
3,0.18794,2025-07-22 00:59:26.116080,2025-07-22 01:17:34.698673,0 days 00:18:08.582593000,256,64,0.1,1e-05,30,1000,3,COMPLETE
4,0.18794,2025-07-22 01:17:34.703762,2025-07-22 01:42:44.680370,0 days 00:25:09.976608000,128,64,0.1,1e-05,30,5000,2,COMPLETE
5,0.25024,2025-07-22 01:42:44.686067,2025-07-22 01:55:20.860027,0 days 00:12:36.173960000,256,64,0.1,0.0001,30,1000,2,COMPLETE
6,0.19590000000000002,2025-07-22 01:55:20.865534,2025-07-22 01:57:06.058036,0 days 00:01:45.192502000,64,64,0.2,1e-05,30,500,2,COMPLETE
7,0.18794,2025-07-22 01:57:06.064041,2025-07-22 02:09:13.442361,0 days 00:12:07.378320000,256,64,0.1,0.1,40,500,5,COMPLETE
8,0.19332000000000002,2025-07-22 02:09:13.448311,2025-07-22 02:10:11.737770,0 days 00:00:58.289459000,64,64,0.2,1e-05,10,250,2,COMPLETE
9,0.40658,2025-07-22 02:10:11.743978,2025-07-22 02:14:20.878682,0 days 00:04:09.134704000,128,128,0.1,0.001,40,250,4,COMPLETE
10,0.39596000000000003,2025-07-22 02:14:20.885388,2025-07-22 02:18:30.184893,0 days 00:04:09.299505000,128,128,0.3,0.001,40,250,4,COMPLETE
11,0.39596000000000003,2025-07-22 02:18:30.191252,2025-07-22 02:22:37.701864,0 days 00:04:07.510612000,128,128,0.3,0.001,40,250,4,COMPLETE
12,0.39596000000000003,2025-07-22 02:22:37.708485,2025-07-22 02:26:46.266376,0 days 00:04:08.557891000,128,128,0.3,0.001,40,250,4,COMPLETE
13,0.45192000000000004,2025-07-22 02:26:46.273267,2025-07-22 03:12:40.279183,0 days 00:45:54.005916000,128,128,0.8,0.001,40,3000,4,COMPLETE
14,0.31048000000000003,2025-07-22 03:12:40.286064,2025-07-22 03:48:50.362938,0 days 00:36:10.076874000,128,128,0.8,0.001,40,3000,3,COMPLETE
15,0.32046,2025-07-22 03:48:50.370031,2025-07-22 04:45:18.918757,0 days 00:56:28.548726000,128,128,0.8,0.001,20,3000,5,COMPLETE
16,0.45192000000000004,2025-07-22 04:45:18.926112,2025-07-22 05:31:25.489157,0 days 00:46:06.563045000,128,128,0.8,0.001,40,3000,4,COMPLETE
17,0.45192000000000004,2025-07-22 05:31:25.496685,2025-07-22 06:17:21.293049,0 days 00:45:55.796364000,128,128,0.8,0.001,40,3000,4,COMPLETE
18,0.45192000000000004,2025-07-22 06:17:21.300735,2025-07-22 07:03:26.645071,0 days 00:46:05.344336000,128,128,0.8,0.001,40,3000,4,COMPLETE
19,0.18794,2025-07-22 07:03:26.652946,2025-07-22 07:39:26.482082,0 days 00:35:59.829136000,128,128,0.8,0.0001,10,3000,3,COMPLETE
20,0.18794,2025-07-22 07:39:26.490975,2025-07-22 09:32:31.850734,0 days 01:53:05.359759000,256,128,0.8,0.1,20,3000,5,COMPLETE
21,0.45192000000000004,2025-07-22 09:32:31.859037,2025-07-22 10:18:26.842407,0 days 00:45:54.983370000,128,128,0.8,0.001,40,3000,4,COMPLETE
22,0.45192000000000004,2025-07-22 10:18:26.850941,2025-07-22 11:04:26.257223,0 days 00:45:59.406282000,128,128,0.8,0.001,40,3000,4,COMPLETE
23,0.45192000000000004,2025-07-22 11:04:26.265790,2025-07-22 11:50:36.307939,0 days 00:46:10.042149000,128,128,0.8,0.001,40,3000,4,COMPLETE
24,0.45192000000000004,2025-07-22 11:50:36.316661,2025-07-22 12:36:41.950098,0 days 00:46:05.633437000,128,128,0.8,0.001,40,3000,4,COMPLETE
