number,value,datetime_start,datetime_complete,duration,params_hidden_size,params_il_batch_size,params_il_clip,params_il_lr,params_il_recurrence,params_il_train_steps,params_nb_slots,state
0,0.09426000000000001,2025-07-26 21:50:21.939251,2025-07-26 21:55:52.996808,0 days 00:05:31.057557000,256,128,0.2,1e-05,20,250,4,COMPLETE
1,0.17626,2025-07-26 21:55:53.011183,2025-07-26 22:19:39.879954,0 days 00:23:46.868771000,128,128,0.8,0.001,20,3000,2,COMPLETE
2,0.09426000000000001,2025-07-27 16:47:16.076176,2025-07-27 16:50:34.775164,0 days 00:03:18.698988000,128,64,0.3,0.1,10,250,2,COMPLETE
3,0.20462,2025-07-27 16:50:34.793607,2025-07-27 17:28:32.635686,0 days 00:37:57.842079000,128,128,0.2,0.001,30,3000,4,COMPLETE
4,0.187,2025-07-27 17:28:32.648946,2025-07-27 18:09:21.057511,0 days 00:40:48.408565000,256,128,0.3,0.001,40,3000,3,COMPLETE
5,0.09426000000000001,2025-07-27 18:09:21.068285,2025-07-27 18:15:34.826814,0 days 00:06:13.758529000,256,128,0.8,1e-05,20,500,2,COMPLETE
6,0.09426000000000001,2025-07-27 18:15:34.836929,2025-07-27 18:40:11.341270,0 days 00:24:36.504341000,128,128,0.3,0.1,40,3000,2,COMPLETE
7,0.09426000000000001,2025-07-27 18:40:11.350728,2025-07-27 19:01:40.870004,0 days 00:21:29.519276000,128,64,0.8,1e-05,40,3000,2,COMPLETE
8,0.09426000000000001,2025-07-27 19:01:40.881925,2025-07-27 19:07:29.468315,0 days 00:05:48.586390000,128,64,0.1,0.0001,10,500,3,COMPLETE
9,0.09480000000000001,2025-07-27 19:07:29.478645,2025-07-27 20:10:10.961015,0 days 01:02:41.482370000,256,128,0.3,0.0001,30,3000,3,COMPLETE
10,0.20400000000000001,2025-07-27 20:10:11.049472,2025-07-27 21:37:17.441054,0 days 01:27:06.391582000,64,64,0.2,0.001,30,5000,4,COMPLETE
