number,value,datetime_start,datetime_complete,duration,params_hidden_size,params_il_batch_size,params_il_clip,params_il_lr,params_il_recurrence,params_il_train_steps,params_nb_slots,state
0,0.09066,2025-07-23 08:13:45.550194,2025-07-23 11:43:05.839459,0 days 03:29:20.289265000,256,128,0.2,0.0001,40,5000,3,COMPLETE
1,0.09066,2025-07-23 11:43:05.845205,2025-07-23 13:02:16.788382,0 days 01:19:10.943177000,128,128,0.8,1e-05,30,3000,5,COMPLETE
2,0.09066,2025-07-23 13:02:16.793116,2025-07-23 13:11:10.299047,0 days 00:08:53.505931000,128,64,0.1,1e-05,10,500,5,COMPLETE
3,0.09218000000000001,2025-07-23 13:11:10.449237,2025-07-23 13:20:09.283351,0 days 00:08:58.834114000,128,64,0.8,0.0001,10,500,5,COMPLETE
4,0.18084000000000003,2025-07-23 13:20:09.289829,2025-07-23 13:26:46.390513,0 days 00:06:37.100684000,64,128,0.3,0.001,30,500,4,COMPLETE
5,0.20782,2025-07-23 13:26:46.396948,2025-07-23 15:44:46.953016,0 days 02:18:00.556068000,128,128,0.8,0.001,30,5000,5,COMPLETE
6,0.21832000000000001,2025-07-23 15:44:47.146132,2025-07-23 16:33:11.121608,0 days 00:48:23.975476000,128,64,0.8,0.001,20,3000,5,COMPLETE
7,0.09066,2025-07-23 16:33:11.131861,2025-07-23 16:45:36.436731,0 days 00:12:25.304870000,64,128,0.3,0.1,30,1000,4,COMPLETE
8,0.09066,2025-07-23 16:45:36.443740,2025-07-23 20:19:21.502491,0 days 03:33:45.058751000,256,128,0.8,0.1,40,5000,3,COMPLETE
9,0.09066,2025-07-23 20:19:21.508623,2025-07-23 20:30:53.819500,0 days 00:11:32.310877000,256,128,0.1,1e-05,20,250,3,COMPLETE
10,0.25980000000000003,2025-07-23 20:30:53.828136,2025-07-23 21:28:11.726580,0 days 00:57:17.898444000,128,64,0.2,0.001,20,3000,6,COMPLETE
11,0.25980000000000003,2025-07-23 21:28:11.736443,2025-07-23 22:24:58.366632,0 days 00:56:46.630189000,128,64,0.2,0.001,20,3000,6,COMPLETE
12,0.25980000000000003,2025-07-23 22:24:58.376212,2025-07-23 23:22:35.528808,0 days 00:57:37.152596000,128,64,0.2,0.001,20,3000,6,COMPLETE
13,0.25980000000000003,2025-07-23 23:22:35.535608,2025-07-24 00:19:23.373143,0 days 00:56:47.837535000,128,64,0.2,0.001,20,3000,6,COMPLETE
14,0.25980000000000003,2025-07-24 00:19:23.380090,2025-07-24 01:16:13.305870,0 days 00:56:49.925780000,128,64,0.2,0.001,20,3000,6,COMPLETE
15,0.19198,2025-07-24 01:16:13.312964,2025-07-24 01:27:17.930995,0 days 00:11:04.618031000,64,64,0.2,0.001,20,1000,6,COMPLETE
16,0.27828,2025-07-24 01:27:17.938233,2025-07-24 01:32:54.155213,0 days 00:05:36.216980000,128,64,0.2,0.001,20,250,6,COMPLETE
17,0.09066,2025-07-24 01:32:54.162773,2025-07-24 01:38:29.589296,0 days 00:05:35.426523000,128,64,0.2,0.0001,20,250,6,COMPLETE
