number,value,datetime_start,datetime_complete,duration,params_hidden_size,params_il_batch_size,params_il_clip,params_il_lr,params_il_recurrence,params_il_train_steps,params_nb_slots,state
0,0.33094,2025-07-19 22:28:16.517266,2025-07-19 22:30:28.100610,0 days 00:02:11.583344000,256,128,0.1,1e-05,20,250,2,COMPLETE
1,0.35402,2025-07-19 22:30:28.106876,2025-07-19 22:31:52.345140,0 days 00:01:24.238264000,64,64,0.1,1e-05,10,500,3,COMPLETE
2,0.33094,2025-07-19 22:31:52.350027,2025-07-19 23:35:29.870381,0 days 01:03:37.520354000,256,128,0.8,1e-05,30,5000,4,COMPLETE
3,0.33094,2025-07-19 23:35:29.875349,2025-07-19 23:37:43.718115,0 days 00:02:13.842766000,128,64,0.1,1e-05,20,500,4,COMPLETE
4,0.42712,2025-07-19 23:37:43.723264,2025-07-19 23:46:15.175760,0 days 00:08:31.452496000,64,64,0.3,0.001,40,5000,2,COMPLETE
5,0.7767600000000001,2025-07-19 23:46:15.181085,2025-07-19 23:52:26.869851,0 days 00:06:11.688766000,64,128,0.8,0.0001,40,3000,2,COMPLETE
6,0.40368,2025-07-19 23:52:26.875421,2025-07-20 00:07:14.174674,0 days 00:14:47.299253000,256,64,0.8,0.1,40,3000,2,COMPLETE
7,0.39294000000000007,2025-07-20 00:07:14.180388,2025-07-20 00:25:26.127612,0 days 00:18:11.947224000,128,64,0.1,0.1,40,5000,4,COMPLETE
8,0.33094,2025-07-20 00:25:26.133626,2025-07-20 00:28:39.029044,0 days 00:03:12.895418000,128,64,0.2,1e-05,30,1000,3,COMPLETE
9,0.33094,2025-07-20 00:28:39.035290,2025-07-20 00:33:04.099735,0 days 00:04:25.064445000,128,128,0.8,0.0001,10,1000,3,COMPLETE
10,0.77864,2025-07-20 00:33:04.106154,2025-07-20 00:39:17.378125,0 days 00:06:13.271971000,64,128,0.2,0.0001,40,3000,2,COMPLETE
11,0.77864,2025-07-20 00:39:17.384525,2025-07-20 00:45:29.975153,0 days 00:06:12.590628000,64,128,0.2,0.0001,40,3000,2,COMPLETE
12,0.77864,2025-07-20 00:45:29.981696,2025-07-20 00:51:42.132444,0 days 00:06:12.150748000,64,128,0.2,0.0001,40,3000,2,COMPLETE
13,0.77864,2025-07-20 00:51:42.139371,2025-07-20 00:57:53.050427,0 days 00:06:10.911056000,64,128,0.2,0.0001,40,3000,2,COMPLETE
14,0.77864,2025-07-20 00:57:53.057418,2025-07-20 01:04:05.301021,0 days 00:06:12.243603000,64,128,0.2,0.0001,40,3000,2,COMPLETE
15,0.42376,2025-07-20 01:04:05.308257,2025-07-20 01:04:54.493639,0 days 00:00:49.185382000,64,128,0.2,0.001,40,250,2,COMPLETE
16,0.7843600000000001,2025-07-20 01:04:54.501084,2025-07-20 01:11:07.564859,0 days 00:06:13.063775000,64,128,0.3,0.0001,30,3000,2,COMPLETE
17,0.7843600000000001,2025-07-20 01:11:07.572535,2025-07-20 01:17:19.152458,0 days 00:06:11.579923000,64,128,0.3,0.0001,30,3000,2,COMPLETE
18,0.33006,2025-07-20 01:17:19.160223,2025-07-20 01:26:47.384354,0 days 00:09:28.224131000,64,128,0.3,0.0001,30,3000,4,COMPLETE
19,0.40368,2025-07-20 01:26:47.392344,2025-07-20 01:36:41.009809,0 days 00:09:53.617465000,256,128,0.3,0.1,30,1000,3,COMPLETE
20,0.42172000000000004,2025-07-20 01:36:41.018014,2025-07-20 01:37:30.269455,0 days 00:00:49.251441000,64,128,0.3,0.001,30,250,2,COMPLETE
21,0.7843600000000001,2025-07-20 01:37:30.277770,2025-07-20 01:43:42.428852,0 days 00:06:12.151082000,64,128,0.3,0.0001,30,3000,2,COMPLETE
22,0.7843600000000001,2025-07-20 01:43:42.437374,2025-07-20 01:49:53.326576,0 days 00:06:10.889202000,64,128,0.3,0.0001,30,3000,2,COMPLETE
23,0.7843600000000001,2025-07-20 01:49:53.335305,2025-07-20 01:56:05.213903,0 days 00:06:11.878598000,64,128,0.3,0.0001,30,3000,2,COMPLETE
24,0.7843600000000001,2025-07-20 01:56:05.222876,2025-07-20 02:02:16.584629,0 days 00:06:11.361753000,64,128,0.3,0.0001,30,3000,2,COMPLETE
25,0.40876,2025-07-20 02:02:16.593742,2025-07-20 02:03:35.240435,0 days 00:01:18.646693000,64,128,0.3,0.0001,30,500,2,COMPLETE
26,0.7843600000000001,2025-07-20 02:03:35.250838,2025-07-20 02:09:49.848325,0 days 00:06:14.597487000,64,128,0.3,0.0001,30,3000,2,COMPLETE
27,0.32805999999999996,2025-07-20 02:09:49.857800,2025-07-20 02:25:57.378899,0 days 00:16:07.521099000,128,128,0.3,0.0001,10,3000,4,COMPLETE
28,0.40368,2025-07-20 02:25:57.389438,2025-07-20 02:33:52.281666,0 days 00:07:54.892228000,64,128,0.3,0.1,20,3000,3,COMPLETE
29,0.42238000000000003,2025-07-20 02:33:52.291900,2025-07-20 02:36:03.650070,0 days 00:02:11.358170000,256,128,0.3,0.001,20,250,2,COMPLETE
30,0.72144,2025-07-20 02:36:03.660009,2025-07-20 02:40:05.276582,0 days 00:04:01.616573000,256,128,0.3,0.0001,30,500,2,COMPLETE
31,0.7843600000000001,2025-07-20 02:40:05.286931,2025-07-20 02:46:16.564068,0 days 00:06:11.277137000,64,128,0.3,0.0001,30,3000,2,COMPLETE
32,0.7843600000000001,2025-07-20 02:46:16.574430,2025-07-20 02:52:29.490432,0 days 00:06:12.916002000,64,128,0.3,0.0001,30,3000,2,COMPLETE
33,0.7843600000000001,2025-07-20 02:52:29.500905,2025-07-20 02:58:41.539717,0 days 00:06:12.038812000,64,128,0.3,0.0001,30,3000,2,COMPLETE
34,0.5090600000000001,2025-07-20 02:58:41.550405,2025-07-20 03:07:08.956272,0 days 00:08:27.405867000,64,64,0.1,1e-05,30,5000,2,COMPLETE
35,0.40884,2025-07-20 03:07:08.967226,2025-07-20 03:08:27.097672,0 days 00:01:18.130446000,64,128,0.3,0.0001,10,500,2,COMPLETE
36,0.33056,2025-07-20 03:08:27.108886,2025-07-20 03:17:58.802072,0 days 00:09:31.693186000,64,128,0.1,1e-05,30,3000,4,COMPLETE
37,0.7146,2025-07-20 03:17:58.813481,2025-07-20 03:42:22.267039,0 days 00:24:23.453558000,256,64,0.3,0.0001,20,5000,2,COMPLETE
38,0.48236000000000007,2025-07-20 03:42:22.278533,2025-07-20 03:50:19.678893,0 days 00:07:57.400360000,64,128,0.8,0.001,30,3000,3,COMPLETE
39,0.40368,2025-07-20 03:50:19.690563,2025-07-20 03:52:42.148093,0 days 00:02:22.457530000,128,64,0.3,0.1,30,1000,2,COMPLETE
40,0.39730000000000004,2025-07-20 03:52:42.160115,2025-07-20 03:53:53.585117,0 days 00:01:11.425002000,64,128,0.1,1e-05,30,250,4,COMPLETE
41,0.7843600000000001,2025-07-20 03:53:53.597129,2025-07-20 04:00:05.822762,0 days 00:06:12.225633000,64,128,0.3,0.0001,30,3000,2,COMPLETE
42,0.7843600000000001,2025-07-20 04:00:05.835205,2025-07-20 04:06:18.741323,0 days 00:06:12.906118000,64,128,0.3,0.0001,30,3000,2,COMPLETE
43,0.7843600000000001,2025-07-20 04:06:18.754034,2025-07-20 04:12:31.038553,0 days 00:06:12.284519000,64,128,0.3,0.0001,30,3000,2,COMPLETE
44,0.7926000000000001,2025-07-20 04:12:31.051526,2025-07-20 04:18:41.911072,0 days 00:06:10.859546000,64,128,0.8,0.0001,10,3000,2,COMPLETE
45,0.73064,2025-07-20 04:18:41.923959,2025-07-20 04:25:07.934672,0 days 00:06:26.010713000,128,64,0.8,0.0001,10,3000,2,COMPLETE
46,0.7996,2025-07-20 04:25:07.947806,2025-07-20 04:35:12.630849,0 days 00:10:04.683043000,64,128,0.8,0.0001,10,5000,2,COMPLETE
47,0.33094,2025-07-20 04:35:12.644134,2025-07-20 04:47:59.070162,0 days 00:12:46.426028000,64,128,0.8,0.0001,10,5000,3,COMPLETE
48,0.7996,2025-07-20 04:47:59.083577,2025-07-20 04:58:05.004026,0 days 00:10:05.920449000,64,128,0.8,0.0001,10,5000,2,COMPLETE
