number,value,datetime_start,datetime_complete,duration,params_hidden_size,params_il_batch_size,params_il_clip,params_il_lr,params_il_recurrence,params_il_train_steps,params_nb_slots,state
0,0.29056000000000004,2025-07-20 07:27:31.681127,2025-07-20 07:30:00.013890,0 days 00:02:28.332763000,128,128,0.2,0.0001,40,500,3,COMPLETE
1,0.29056000000000004,2025-07-20 07:30:00.021547,2025-07-20 07:38:02.893072,0 days 00:08:02.871525000,64,128,0.8,0.0001,10,3000,3,COMPLETE
2,0.45380000000000004,2025-07-20 07:38:02.897945,2025-07-20 07:46:18.229926,0 days 00:08:15.331981000,64,64,0.1,0.1,20,3000,4,COMPLETE
3,0.4846,2025-07-20 07:46:18.234806,2025-07-20 07:53:05.685266,0 days 00:06:47.450460000,128,64,0.3,0.1,40,3000,2,COMPLETE
4,0.3543,2025-07-20 07:53:05.690440,2025-07-20 07:54:29.814003,0 days 00:01:24.123563000,128,64,0.8,0.0001,10,250,4,COMPLETE
5,0.30098,2025-07-20 07:54:29.819345,2025-07-20 07:56:29.584218,0 days 00:01:59.764873000,64,128,0.8,0.0001,40,500,4,COMPLETE
6,0.4846,2025-07-20 07:56:29.589793,2025-07-20 08:16:03.563396,0 days 00:19:33.973603000,128,64,0.8,0.1,20,5000,4,COMPLETE
7,0.29056000000000004,2025-07-20 08:16:03.569363,2025-07-20 09:01:33.618235,0 days 00:45:30.048872000,256,128,0.2,0.1,40,5000,4,COMPLETE
8,0.48692,2025-07-20 09:01:33.624140,2025-07-20 09:06:51.875748,0 days 00:05:18.251608000,256,128,0.3,0.0001,20,500,3,COMPLETE
9,0.4853,2025-07-20 09:06:51.882173,2025-07-20 09:32:29.596824,0 days 00:25:37.714651000,256,64,0.8,0.001,40,5000,2,COMPLETE
10,0.29112000000000005,2025-07-20 09:32:29.603339,2025-07-20 09:42:40.059047,0 days 00:10:10.455708000,256,128,0.3,1e-05,30,1000,3,COMPLETE
11,0.47496000000000005,2025-07-20 09:42:40.065525,2025-07-20 09:45:33.190783,0 days 00:02:53.125258000,256,64,0.3,0.001,20,500,2,COMPLETE
12,0.49194,2025-07-20 09:45:33.197580,2025-07-20 10:11:10.541292,0 days 00:25:37.343712000,256,64,0.1,0.001,30,5000,2,COMPLETE
13,0.45974000000000004,2025-07-20 10:11:10.548244,2025-07-20 10:13:26.649983,0 days 00:02:16.101739000,256,128,0.1,0.001,30,250,2,COMPLETE
14,0.29056000000000004,2025-07-20 16:09:22.210779,2025-07-20 16:22:04.318944,0 days 00:12:42.108165000,256,64,0.1,1e-05,30,1000,3,COMPLETE
15,0.45182000000000005,2025-07-20 16:22:04.327575,2025-07-20 17:30:59.854960,0 days 01:08:55.527385000,256,128,0.3,0.001,20,5000,2,COMPLETE
16,0.494,2025-07-20 17:30:59.863009,2025-07-20 17:41:30.988904,0 days 00:10:31.125895000,256,128,0.1,0.0001,30,500,3,COMPLETE
17,0.47314,2025-07-20 17:41:30.996722,2025-07-20 18:23:44.786539,0 days 00:42:13.789817000,256,64,0.1,0.001,30,5000,2,COMPLETE
18,0.29056000000000004,2025-07-20 18:23:44.795078,2025-07-20 18:34:15.850905,0 days 00:10:31.055827000,256,128,0.1,1e-05,30,500,3,COMPLETE
19,0.46778,2025-07-20 18:34:15.858939,2025-07-20 18:35:15.557958,0 days 00:00:59.699019000,64,64,0.1,0.0001,30,250,3,COMPLETE
20,0.46058,2025-07-20 18:35:15.566151,2025-07-20 18:49:24.770870,0 days 00:14:09.204719000,256,128,0.1,0.001,30,1000,2,COMPLETE
21,0.49394000000000005,2025-07-20 18:49:24.779179,2025-07-20 18:59:57.745220,0 days 00:10:32.966041000,256,128,0.3,0.0001,20,500,3,COMPLETE
22,0.494,2025-07-20 18:59:57.753833,2025-07-20 19:10:26.977319,0 days 00:10:29.223486000,256,128,0.1,0.0001,30,500,3,COMPLETE
23,0.4213,2025-07-20 19:10:26.986022,2025-07-20 19:20:57.310105,0 days 00:10:30.324083000,256,128,0.2,0.0001,10,500,3,COMPLETE
24,0.49394000000000005,2025-07-20 19:20:57.319038,2025-07-20 19:31:30.082657,0 days 00:10:32.763619000,256,128,0.3,0.0001,20,500,3,COMPLETE
25,0.494,2025-07-20 19:31:30.092585,2025-07-20 19:42:00.422793,0 days 00:10:30.330208000,256,128,0.1,0.0001,30,500,3,COMPLETE
26,0.494,2025-07-20 19:42:00.432849,2025-07-20 19:52:34.211254,0 days 00:10:33.778405000,256,128,0.1,0.0001,30,500,3,COMPLETE
27,0.29188000000000003,2025-07-20 19:52:34.220708,2025-07-20 19:56:50.335223,0 days 00:04:16.114515000,128,128,0.1,0.0001,30,500,3,COMPLETE
28,0.28988,2025-07-20 19:56:50.345737,2025-07-20 19:59:09.632865,0 days 00:02:19.287128000,64,128,0.1,0.0001,30,500,3,COMPLETE
29,0.49002,2025-07-20 19:59:09.642750,2025-07-20 20:09:42.396138,0 days 00:10:32.753388000,256,128,0.2,0.0001,30,500,3,COMPLETE
30,0.29188000000000003,2025-07-20 20:09:42.406080,2025-07-20 20:13:57.987038,0 days 00:04:15.580958000,128,128,0.1,0.0001,30,500,3,COMPLETE
31,0.494,2025-07-20 20:13:57.998843,2025-07-20 20:24:25.998942,0 days 00:10:28.000099000,256,128,0.1,0.0001,30,500,3,COMPLETE
32,0.494,2025-07-20 20:24:26.009313,2025-07-20 20:34:58.188963,0 days 00:10:32.179650000,256,128,0.1,0.0001,30,500,3,COMPLETE
33,0.46964,2025-07-20 20:34:58.199561,2025-07-20 21:34:53.678312,0 days 00:59:55.478751000,256,128,0.1,0.0001,10,3000,3,COMPLETE
34,0.28988,2025-07-20 21:34:53.689095,2025-07-20 21:37:12.731333,0 days 00:02:19.042238000,64,128,0.1,0.0001,30,500,3,COMPLETE
35,0.50292,2025-07-20 21:37:12.743509,2025-07-20 22:37:31.898374,0 days 01:00:19.154865000,256,128,0.1,0.0001,30,3000,3,COMPLETE
36,0.4846,2025-07-20 22:37:31.909520,2025-07-20 23:38:58.803739,0 days 01:01:26.894219000,256,128,0.1,0.1,10,3000,3,COMPLETE
37,0.29738,2025-07-20 23:38:58.815301,2025-07-21 00:09:33.063648,0 days 00:30:34.248347000,128,128,0.1,0.0001,30,3000,4,COMPLETE
38,0.29778000000000004,2025-07-21 00:09:33.075441,2025-07-21 00:22:01.140553,0 days 00:12:28.065112000,64,128,0.2,1e-05,40,3000,3,COMPLETE
39,0.36408,2025-07-21 00:22:01.152353,2025-07-21 01:40:55.605137,0 days 01:18:54.452784000,256,128,0.8,0.0001,30,3000,4,COMPLETE
40,0.4846,2025-07-21 01:40:55.617159,2025-07-21 01:43:27.353731,0 days 00:02:31.736572000,128,128,0.1,0.1,30,250,3,COMPLETE
41,0.494,2025-07-21 01:43:27.365762,2025-07-21 01:53:56.098861,0 days 00:10:28.733099000,256,128,0.1,0.0001,30,500,3,COMPLETE
