number,value,datetime_start,datetime_complete,duration,params_hidden_size,params_il_batch_size,params_il_clip,params_il_lr,params_il_recurrence,params_il_train_steps,params_nb_slots,state
0,0.37978,2025-07-17 17:57:39.679972,2025-07-17 18:09:42.729992,0 days 00:12:03.050020000,128,128,0.3,0.1,10,3000,3,COMPLETE
1,0.45998,2025-07-17 18:09:42.736237,2025-07-17 18:14:38.154886,0 days 00:04:55.418649000,256,128,0.2,0.0001,30,500,3,COMPLETE
2,0.38638000000000006,2025-07-17 18:14:38.159860,2025-07-17 18:23:19.021530,0 days 00:08:40.861670000,128,64,0.3,1e-05,20,3000,3,COMPLETE
3,0.43846,2025-07-17 18:23:19.026822,2025-07-17 18:27:05.101886,0 days 00:03:46.075064000,256,128,0.3,0.001,10,500,2,COMPLETE
4,0.37876,2025-07-17 18:27:05.107342,2025-07-17 18:28:47.591639,0 days 00:01:42.484297000,128,128,0.8,1e-05,10,500,2,COMPLETE
5,0.44032000000000004,2025-07-17 18:28:47.597456,2025-07-17 18:39:47.786177,0 days 00:11:00.188721000,128,64,0.3,0.0001,30,3000,4,COMPLETE
6,0.4155,2025-07-17 18:39:47.792035,2025-07-17 18:44:56.110921,0 days 00:05:08.318886000,64,64,0.8,0.001,30,3000,2,COMPLETE
7,0.38414,2025-07-17 18:44:56.116969,2025-07-17 18:52:30.132639,0 days 00:07:34.015670000,64,64,0.1,0.0001,30,3000,4,COMPLETE
8,0.37934,2025-07-17 18:52:30.138866,2025-07-17 18:53:31.517694,0 days 00:01:01.378828000,128,128,0.1,1e-05,30,250,2,COMPLETE
9,0.38151999999999997,2025-07-17 18:53:31.524098,2025-07-17 19:02:08.011167,0 days 00:08:36.487069000,256,64,0.3,1e-05,30,1000,4,COMPLETE
10,0.39996000000000004,2025-07-17 19:02:08.017760,2025-07-17 19:48:03.754011,0 days 00:45:55.736251000,256,128,0.2,0.0001,40,5000,3,COMPLETE
11,0.44932000000000005,2025-07-17 19:48:03.760767,2025-07-17 19:52:37.424509,0 days 00:04:33.663742000,256,64,0.2,0.0001,30,500,4,COMPLETE
12,0.43122000000000005,2025-07-17 19:52:37.431498,2025-07-17 19:59:11.474740,0 days 00:06:34.043242000,256,128,0.2,0.0001,20,500,4,COMPLETE
13,0.45526,2025-07-17 19:59:11.481881,2025-07-17 20:03:01.623962,0 days 00:03:50.142081000,256,64,0.2,0.0001,40,500,3,COMPLETE
14,0.37978,2025-07-17 20:03:01.631214,2025-07-17 20:06:54.892674,0 days 00:03:53.261460000,256,64,0.2,0.1,40,500,3,COMPLETE
15,0.39996000000000004,2025-07-17 20:06:54.900112,2025-07-17 20:52:47.499326,0 days 00:45:52.599214000,256,128,0.2,0.0001,40,5000,3,COMPLETE
16,0.44826000000000005,2025-07-17 20:52:47.506994,2025-07-17 21:02:18.656291,0 days 00:09:31.149297000,256,128,0.2,0.0001,40,1000,3,COMPLETE
17,0.38048000000000004,2025-07-17 21:02:18.664226,2025-07-17 21:03:11.546830,0 days 00:00:52.882604000,64,64,0.2,0.0001,40,250,3,COMPLETE
18,0.42342,2025-07-17 21:03:11.554814,2025-07-17 21:08:07.066220,0 days 00:04:55.511406000,256,128,0.2,0.001,20,500,3,COMPLETE
19,0.37978,2025-07-17 21:08:07.074534,2025-07-17 21:11:58.902164,0 days 00:03:51.827630000,256,64,0.1,0.1,40,500,3,COMPLETE
20,0.38850000000000007,2025-07-17 21:11:58.910572,2025-07-17 21:13:33.304062,0 days 00:01:34.393490000,64,128,0.8,0.0001,30,500,3,COMPLETE
21,0.44932000000000005,2025-07-17 21:13:33.312654,2025-07-17 21:18:04.202219,0 days 00:04:30.889565000,256,64,0.2,0.0001,30,500,4,COMPLETE
22,0.44932000000000005,2025-07-17 21:18:04.211011,2025-07-17 21:22:35.551759,0 days 00:04:31.340748000,256,64,0.2,0.0001,30,500,4,COMPLETE
23,0.44932000000000005,2025-07-17 21:22:35.560770,2025-07-17 21:27:07.345442,0 days 00:04:31.784672000,256,64,0.2,0.0001,30,500,4,COMPLETE
24,0.45820000000000005,2025-07-17 21:27:07.354576,2025-07-17 21:30:55.042768,0 days 00:03:47.688192000,256,64,0.2,0.0001,30,500,3,COMPLETE
25,0.44386000000000003,2025-07-17 21:30:55.052100,2025-07-17 22:05:29.902774,0 days 00:34:34.850674000,256,64,0.2,0.0001,40,5000,3,COMPLETE
26,0.4752,2025-07-17 22:05:29.912873,2025-07-17 22:07:36.530462,0 days 00:02:06.617589000,256,64,0.2,0.0001,10,250,3,COMPLETE
27,0.37978,2025-07-17 22:07:36.540187,2025-07-17 22:09:45.030314,0 days 00:02:08.490127000,256,64,0.2,0.1,10,250,3,COMPLETE
28,0.44070000000000004,2025-07-17 22:09:45.040148,2025-07-17 22:10:44.247576,0 days 00:00:59.207428000,64,128,0.8,0.001,10,250,3,COMPLETE
29,0.37978,2025-07-17 22:10:44.259099,2025-07-17 22:13:23.989096,0 days 00:02:39.729997000,256,128,0.1,0.1,10,250,3,COMPLETE
30,0.34600000000000003,2025-07-17 22:13:23.999348,2025-07-17 22:16:33.057209,0 days 00:03:09.057861000,128,64,0.2,0.0001,10,1000,3,COMPLETE
31,0.4752,2025-07-17 22:16:33.067660,2025-07-17 22:18:39.563218,0 days 00:02:06.495558000,256,64,0.2,0.0001,10,250,3,COMPLETE
32,0.4752,2025-07-17 22:18:39.573813,2025-07-17 22:20:45.864400,0 days 00:02:06.290587000,256,64,0.2,0.0001,10,250,3,COMPLETE
33,0.4752,2025-07-17 22:20:45.875276,2025-07-17 22:22:51.276615,0 days 00:02:05.401339000,256,64,0.2,0.0001,10,250,3,COMPLETE
34,0.4752,2025-07-17 22:22:51.287587,2025-07-17 22:24:58.695067,0 days 00:02:07.407480000,256,64,0.2,0.0001,10,250,3,COMPLETE
35,0.47058,2025-07-17 22:24:58.706535,2025-07-17 22:27:04.979036,0 days 00:02:06.272501000,256,64,0.3,0.0001,10,250,3,COMPLETE
36,0.37978,2025-07-17 22:27:04.990512,2025-07-17 22:27:54.935819,0 days 00:00:49.945307000,128,64,0.2,1e-05,10,250,2,COMPLETE
37,0.4267,2025-07-17 22:27:54.947333,2025-07-17 22:30:00.910870,0 days 00:02:05.963537000,256,64,0.8,0.001,10,250,3,COMPLETE
38,0.4916,2025-07-17 22:30:00.922520,2025-07-17 22:31:32.290545,0 days 00:01:31.368025000,256,64,0.3,0.0001,10,250,2,COMPLETE
39,0.42154,2025-07-17 22:31:32.302551,2025-07-17 22:32:22.628617,0 days 00:00:50.326066000,128,64,0.3,0.0001,10,250,2,COMPLETE
40,0.28615999999999997,2025-07-17 22:32:22.640774,2025-07-17 22:33:06.215414,0 days 00:00:43.574640000,64,64,0.3,1e-05,10,250,2,COMPLETE
41,0.4916,2025-07-17 22:33:06.227610,2025-07-17 22:34:37.473055,0 days 00:01:31.245445000,256,64,0.3,0.0001,10,250,2,COMPLETE
42,0.4916,2025-07-17 22:34:37.485787,2025-07-17 22:36:08.742246,0 days 00:01:31.256459000,256,64,0.3,0.0001,10,250,2,COMPLETE
43,0.4916,2025-07-17 22:36:08.755264,2025-07-17 22:37:39.903503,0 days 00:01:31.148239000,256,64,0.3,0.0001,10,250,2,COMPLETE
44,0.38716000000000006,2025-07-17 22:37:39.916378,2025-07-17 22:52:06.036110,0 days 00:14:26.119732000,256,64,0.3,0.0001,10,3000,2,COMPLETE
45,0.4916,2025-07-17 22:52:06.049197,2025-07-17 22:53:37.426696,0 days 00:01:31.377499000,256,64,0.3,0.0001,10,250,2,COMPLETE
46,0.4916,2025-07-17 22:53:37.439873,2025-07-17 22:55:08.561871,0 days 00:01:31.121998000,256,64,0.3,0.0001,10,250,2,COMPLETE
47,0.37978,2025-07-17 22:55:08.575428,2025-07-17 22:56:39.859520,0 days 00:01:31.284092000,256,64,0.3,1e-05,20,250,2,COMPLETE
48,0.45272,2025-07-17 22:56:39.873137,2025-07-17 23:02:58.973003,0 days 00:06:19.099866000,128,64,0.3,0.001,10,3000,2,COMPLETE
49,0.4916,2025-07-17 23:02:58.987159,2025-07-17 23:04:30.190033,0 days 00:01:31.202874000,256,64,0.3,0.0001,10,250,2,COMPLETE
50,0.44578,2025-07-17 23:04:30.204342,2025-07-17 23:28:21.279476,0 days 00:23:51.075134000,256,64,0.3,0.0001,20,5000,2,COMPLETE
51,0.4916,2025-07-17 23:28:21.293783,2025-07-17 23:29:52.229528,0 days 00:01:30.935745000,256,64,0.3,0.0001,10,250,2,COMPLETE
52,0.4916,2025-07-17 23:29:52.244104,2025-07-17 23:31:23.419066,0 days 00:01:31.174962000,256,64,0.3,0.0001,10,250,2,COMPLETE
53,0.35268000000000005,2025-07-17 23:31:23.433743,2025-07-17 23:36:25.884529,0 days 00:05:02.450786000,256,64,0.3,0.0001,10,1000,2,COMPLETE
54,0.4916,2025-07-17 23:36:25.899705,2025-07-17 23:37:56.751037,0 days 00:01:30.851332000,256,64,0.3,0.0001,10,250,2,COMPLETE
55,0.37978,2025-07-17 23:37:56.766463,2025-07-17 23:38:40.505029,0 days 00:00:43.738566000,64,64,0.3,0.1,10,250,2,COMPLETE
56,0.4916,2025-07-17 23:38:40.520241,2025-07-17 23:40:11.527016,0 days 00:01:31.006775000,256,64,0.3,0.0001,10,250,2,COMPLETE
57,0.4916,2025-07-17 23:40:11.542933,2025-07-17 23:41:42.563109,0 days 00:01:31.020176000,256,64,0.3,0.0001,10,250,2,COMPLETE
58,0.39384,2025-07-17 23:41:42.578814,2025-07-17 23:56:09.096994,0 days 00:14:26.518180000,256,64,0.3,0.0001,20,3000,2,COMPLETE
59,0.4916,2025-07-17 23:56:09.112887,2025-07-17 23:57:40.219531,0 days 00:01:31.106644000,256,64,0.3,0.0001,10,250,2,COMPLETE
60,0.28615999999999997,2025-07-17 23:57:40.235569,2025-07-18 00:21:28.448499,0 days 00:23:48.212930000,256,64,0.3,1e-05,10,5000,2,COMPLETE
61,0.4916,2025-07-18 00:21:28.464777,2025-07-18 00:22:59.368630,0 days 00:01:30.903853000,256,64,0.3,0.0001,10,250,2,COMPLETE
62,0.4916,2025-07-18 00:22:59.385165,2025-07-18 00:24:30.626100,0 days 00:01:31.240935000,256,64,0.3,0.0001,10,250,2,COMPLETE
63,0.48056,2025-07-18 00:24:30.642462,2025-07-18 00:26:01.424291,0 days 00:01:30.781829000,256,64,0.1,0.0001,10,250,2,COMPLETE
64,0.4916,2025-07-18 00:26:01.441226,2025-07-18 00:27:32.483867,0 days 00:01:31.042641000,256,64,0.3,0.0001,10,250,2,COMPLETE
65,0.5127200000000001,2025-07-18 00:27:32.500681,2025-07-18 00:29:34.639740,0 days 00:02:02.139059000,256,128,0.3,0.0001,10,250,2,COMPLETE
66,0.48914,2025-07-18 00:29:34.656720,2025-07-18 00:31:46.324449,0 days 00:02:11.667729000,64,128,0.3,0.001,10,1000,2,COMPLETE
67,0.37978,2025-07-18 00:31:46.341695,2025-07-18 00:33:49.405492,0 days 00:02:03.063797000,256,128,0.3,0.1,10,250,2,COMPLETE
68,0.38108000000000003,2025-07-18 00:33:49.423341,2025-07-18 00:34:50.574737,0 days 00:01:01.151396000,128,128,0.8,0.0001,40,250,2,COMPLETE
69,0.42698,2025-07-18 00:34:50.592884,2025-07-18 00:38:18.470374,0 days 00:03:27.877490000,256,128,0.3,0.0001,10,250,4,COMPLETE
70,0.38358000000000003,2025-07-18 00:38:18.488316,2025-07-18 00:40:20.683590,0 days 00:02:02.195274000,256,128,0.1,0.0001,20,250,2,COMPLETE
71,0.4916,2025-07-18 00:40:20.701492,2025-07-18 00:41:51.673267,0 days 00:01:30.971775000,256,64,0.3,0.0001,10,250,2,COMPLETE
72,0.5127200000000001,2025-07-18 00:41:51.691240,2025-07-18 00:43:53.596888,0 days 00:02:01.905648000,256,128,0.3,0.0001,10,250,2,COMPLETE
73,0.5127200000000001,2025-07-18 00:43:53.615293,2025-07-18 00:45:56.068999,0 days 00:02:02.453706000,256,128,0.3,0.0001,10,250,2,COMPLETE
74,0.5127200000000001,2025-07-18 00:45:56.087458,2025-07-18 00:47:57.979772,0 days 00:02:01.892314000,256,128,0.3,0.0001,10,250,2,COMPLETE
75,0.29946,2025-07-18 00:47:57.998876,2025-07-18 01:22:05.491225,0 days 00:34:07.492349000,256,128,0.3,0.0001,10,5000,2,COMPLETE
76,0.5127200000000001,2025-07-18 01:22:05.510052,2025-07-18 01:24:07.766483,0 days 00:02:02.256431000,256,128,0.3,0.0001,10,250,2,COMPLETE
77,0.36194000000000004,2025-07-18 01:24:07.785385,2025-07-18 01:31:11.807911,0 days 00:07:04.022526000,256,128,0.3,0.0001,10,1000,2,COMPLETE
78,0.43228000000000005,2025-07-18 01:31:11.827056,2025-07-18 01:34:40.586327,0 days 00:03:28.759271000,256,128,0.3,0.0001,30,250,4,COMPLETE
79,0.37978,2025-07-18 01:34:40.605701,2025-07-18 01:35:28.560070,0 days 00:00:47.954369000,64,128,0.8,0.1,10,250,2,COMPLETE
80,0.55534,2025-07-18 01:35:28.579755,2025-07-18 01:56:08.594641,0 days 00:20:40.014886000,256,128,0.3,0.0001,40,3000,2,COMPLETE
81,0.55534,2025-07-18 01:56:08.614339,2025-07-18 02:16:46.837089,0 days 00:20:38.222750000,256,128,0.3,0.0001,40,3000,2,COMPLETE
82,0.55534,2025-07-18 02:16:46.857106,2025-07-18 02:37:27.172165,0 days 00:20:40.315059000,256,128,0.3,0.0001,40,3000,2,COMPLETE
83,0.55534,2025-07-18 02:37:27.192307,2025-07-18 02:58:04.797232,0 days 00:20:37.604925000,256,128,0.3,0.0001,40,3000,2,COMPLETE
84,0.55534,2025-07-18 02:58:04.817632,2025-07-18 03:18:43.881991,0 days 00:20:39.064359000,256,128,0.3,0.0001,40,3000,2,COMPLETE
85,0.46782000000000007,2025-07-18 03:18:43.902420,2025-07-18 03:39:33.514561,0 days 00:20:49.612141000,256,128,0.3,0.001,40,3000,2,COMPLETE
86,0.40243999999999996,2025-07-18 03:39:33.535393,2025-07-18 03:48:04.568153,0 days 00:08:31.032760000,128,128,0.1,0.0001,40,3000,2,COMPLETE
87,0.38382000000000005,2025-07-18 03:48:04.589386,2025-07-18 04:08:38.988308,0 days 00:20:34.398922000,256,128,0.3,1e-05,40,3000,2,COMPLETE
88,0.55534,2025-07-18 04:08:39.009527,2025-07-18 04:29:19.264352,0 days 00:20:40.254825000,256,128,0.3,0.0001,40,3000,2,COMPLETE
89,0.41408,2025-07-18 04:29:19.285700,2025-07-18 05:06:09.029135,0 days 00:36:49.743435000,256,128,0.3,0.0001,40,3000,4,COMPLETE
90,0.55534,2025-07-18 05:06:09.050521,2025-07-18 05:26:47.400471,0 days 00:20:38.349950000,256,128,0.3,0.0001,40,3000,2,COMPLETE
91,0.55534,2025-07-18 05:26:47.422077,2025-07-18 05:47:22.184132,0 days 00:20:34.762055000,256,128,0.3,0.0001,40,3000,2,COMPLETE
92,0.55534,2025-07-18 05:47:22.206204,2025-07-18 06:08:14.175292,0 days 00:20:51.969088000,256,128,0.3,0.0001,40,3000,2,COMPLETE
93,0.55534,2025-07-18 06:08:14.200751,2025-07-18 06:28:54.556383,0 days 00:20:40.355632000,256,128,0.3,0.0001,40,3000,2,COMPLETE
94,0.55534,2025-07-18 06:28:54.578571,2025-07-18 06:49:38.195833,0 days 00:20:43.617262000,256,128,0.3,0.0001,40,3000,2,COMPLETE
95,0.55534,2025-07-18 06:49:38.218386,2025-07-18 07:10:15.274394,0 days 00:20:37.056008000,256,128,0.3,0.0001,40,3000,2,COMPLETE
96,0.55534,2025-07-18 07:10:15.296908,2025-07-18 07:30:51.896511,0 days 00:20:36.599603000,256,128,0.3,0.0001,40,3000,2,COMPLETE
97,0.6017399999999999,2025-07-18 07:30:51.919678,2025-07-18 07:51:33.701157,0 days 00:20:41.781479000,256,128,0.8,0.0001,40,3000,2,COMPLETE
98,0.6017399999999999,2025-07-18 07:51:33.724053,2025-07-18 08:12:10.240115,0 days 00:20:36.516062000,256,128,0.8,0.0001,40,3000,2,COMPLETE
99,0.6017399999999999,2025-07-18 08:12:10.263603,2025-07-18 08:32:43.159050,0 days 00:20:32.895447000,256,128,0.8,0.0001,40,3000,2,COMPLETE
100,0.40728000000000003,2025-07-18 08:32:43.182250,2025-07-18 08:38:39.882492,0 days 00:05:56.700242000,64,128,0.8,0.0001,40,3000,2,COMPLETE
101,0.6017399999999999,2025-07-18 08:38:39.906134,2025-07-18 08:59:26.512175,0 days 00:20:46.606041000,256,128,0.8,0.0001,40,3000,2,COMPLETE
102,0.6017399999999999,2025-07-18 08:59:26.535805,2025-07-18 09:20:06.010207,0 days 00:20:39.474402000,256,128,0.8,0.0001,40,3000,2,COMPLETE
103,0.6017399999999999,2025-07-18 09:20:06.034066,2025-07-18 09:40:46.640838,0 days 00:20:40.606772000,256,128,0.8,0.0001,40,3000,2,COMPLETE
104,0.6017399999999999,2025-07-18 09:40:46.664931,2025-07-18 10:01:27.145267,0 days 00:20:40.480336000,256,128,0.8,0.0001,40,3000,2,COMPLETE
105,0.6017399999999999,2025-07-18 10:01:27.169506,2025-07-18 10:21:51.783366,0 days 00:20:24.613860000,256,128,0.8,0.0001,40,3000,2,COMPLETE
106,0.49528000000000005,2025-07-18 10:21:51.807663,2025-07-18 10:30:24.418425,0 days 00:08:32.610762000,128,128,0.8,0.001,40,3000,2,COMPLETE
107,0.38510000000000005,2025-07-18 10:30:24.444676,2025-07-18 10:50:57.307398,0 days 00:20:32.862722000,256,128,0.8,1e-05,40,3000,2,COMPLETE
108,0.37978,2025-07-18 10:50:57.332191,2025-07-18 11:11:43.901568,0 days 00:20:46.569377000,256,128,0.8,0.1,40,3000,2,COMPLETE
109,0.6017399999999999,2025-07-18 11:11:43.927041,2025-07-18 11:32:22.334547,0 days 00:20:38.407506000,256,128,0.8,0.0001,40,3000,2,COMPLETE
110,0.40288,2025-07-18 11:32:22.359828,2025-07-18 12:08:52.067508,0 days 00:36:29.707680000,256,128,0.8,0.0001,40,3000,4,COMPLETE
111,0.6017399999999999,2025-07-18 12:08:52.093098,2025-07-18 12:29:29.096577,0 days 00:20:37.003479000,256,128,0.8,0.0001,40,3000,2,COMPLETE
