(ompn) nightless@nightless-computer:~/Desktop/ompn$ ./tune_task_compile.sh 
Running study for task: wsws_static_symbolic
No study file found. Starting a new study.
[I 2025-05-23 20:40:20,746] A new study created in memory with name: no-name-3485e4fb-dea6-4972-9fe7-44e1a7e07d53
Task: wsws_static_symbolic
State size: 1087
Action size: 17
Max segments: 4
Skills: 2
[I 2025-05-23 20:44:09,558] Trial 0 finished with value: 0.37148 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.1, 'compile_batch_size': 128, 'compile_beta_z': 0.1, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 64}. Best is trial 0 with value: 0.37148.
^[[B^[[A^[[A^[[A[I 2025-05-23 20:46:25,371] Trial 1 finished with value: 0.4335 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.1, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.1, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 1 with value: 0.4335.
[I 2025-05-23 20:53:24,609] Trial 2 finished with value: 0.4999800000000001 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.0001, 'compile_batch_size': 64, 'compile_beta_z': 0.1, 'compile_beta_b': 1.0, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 2 with value: 0.4999800000000001.
[I 2025-05-23 20:57:15,371] Trial 3 finished with value: 0.3486 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 1.0, 'compile_beta_b': 1.0, 'compile_prior_rate': 10, 'hidden_size': 64}. Best is trial 2 with value: 0.4999800000000001.
[I 2025-05-23 21:10:35,642] Trial 4 finished with value: 0.28504 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.1, 'compile_batch_size': 128, 'compile_beta_z': 1.0, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 2 with value: 0.4999800000000001.
[I 2025-05-23 21:23:58,931] Trial 5 finished with value: 0.35264000000000006 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 1.0, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 2 with value: 0.4999800000000001.
[I 2025-05-23 21:55:14,758] Trial 6 finished with value: 0.37062 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 512}. Best is trial 2 with value: 0.4999800000000001.
[I 2025-05-23 21:57:31,806] Trial 7 finished with value: 0.29912 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 1.0, 'compile_beta_b': 0.5, 'compile_prior_rate': 15, 'hidden_size': 256}. Best is trial 2 with value: 0.4999800000000001.
[I 2025-05-23 22:00:48,034] Trial 8 finished with value: 0.3457 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.1, 'compile_batch_size': 64, 'compile_beta_z': 0.01, 'compile_beta_b': 0.1, 'compile_prior_rate': 10, 'hidden_size': 64}. Best is trial 2 with value: 0.4999800000000001.
[I 2025-05-23 22:02:00,800] Trial 9 finished with value: 0.35112 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.1, 'compile_batch_size': 64, 'compile_beta_z': 0.1, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 2 with value: 0.4999800000000001.
[I 2025-05-23 22:07:19,192] Trial 10 finished with value: 0.49670000000000003 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 64, 'compile_beta_z': 0.1, 'compile_beta_b': 1.0, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 2 with value: 0.4999800000000001.
[I 2025-05-23 22:12:36,477] Trial 11 finished with value: 0.48878 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 64, 'compile_beta_z': 0.1, 'compile_beta_b': 1.0, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 2 with value: 0.4999800000000001.
[I 2025-05-23 22:17:53,769] Trial 12 finished with value: 0.5662400000000001 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 64, 'compile_beta_z': 0.1, 'compile_beta_b': 1.0, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 12 with value: 0.5662400000000001.
[I 2025-05-23 22:23:09,252] Trial 13 finished with value: 0.51832 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 64, 'compile_beta_z': 0.1, 'compile_beta_b': 1.0, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 12 with value: 0.5662400000000001.
[I 2025-05-23 22:28:26,241] Trial 14 finished with value: 0.30076 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 64, 'compile_beta_z': 0.5, 'compile_beta_b': 1.0, 'compile_prior_rate': 15, 'hidden_size': 128}. Best is trial 12 with value: 0.5662400000000001.
[I 2025-05-23 22:33:44,718] Trial 15 finished with value: 0.61266 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 64, 'compile_beta_z': 0.1, 'compile_beta_b': 1.0, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 15 with value: 0.61266.
[I 2025-05-23 22:39:02,761] Trial 16 finished with value: 0.5732200000000001 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 64, 'compile_beta_z': 0.1, 'compile_beta_b': 1.0, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 15 with value: 0.61266.
[I 2025-05-23 23:07:47,489] Trial 17 finished with value: 0.40546 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.001, 'compile_batch_size': 64, 'compile_beta_z': 0.1, 'compile_beta_b': 1.0, 'compile_prior_rate': 3, 'hidden_size': 512}. Best is trial 15 with value: 0.61266.
[I 2025-05-23 23:13:05,665] Trial 18 finished with value: 0.3166 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 64, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 15, 'hidden_size': 128}. Best is trial 15 with value: 0.61266.
[I 2025-05-23 23:23:15,458] Trial 19 finished with value: 0.39496 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.5, 'compile_beta_b': 1.0, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 15 with value: 0.61266.
[I 2025-05-23 23:28:32,745] Trial 20 finished with value: 0.37988000000000005 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.001, 'compile_batch_size': 64, 'compile_beta_z': 0.1, 'compile_beta_b': 1.0, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 15 with value: 0.61266.
[I 2025-05-23 23:33:50,984] Trial 21 finished with value: 0.5126400000000001 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 64, 'compile_beta_z': 0.1, 'compile_beta_b': 1.0, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 15 with value: 0.61266.
[I 2025-05-23 23:39:09,688] Trial 22 finished with value: 0.5655600000000001 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 64, 'compile_beta_z': 0.1, 'compile_beta_b': 1.0, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 15 with value: 0.61266.
[I 2025-05-23 23:44:27,529] Trial 23 finished with value: 0.55552 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 64, 'compile_beta_z': 0.1, 'compile_beta_b': 1.0, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 15 with value: 0.61266.
[I 2025-05-24 00:13:23,624] Trial 24 finished with value: 0.54164 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 64, 'compile_beta_z': 0.1, 'compile_beta_b': 1.0, 'compile_prior_rate': 3, 'hidden_size': 512}. Best is trial 15 with value: 0.61266.
[I 2025-05-24 00:13:59,138] Trial 25 finished with value: 0.29318000000000005 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.0001, 'compile_batch_size': 64, 'compile_beta_z': 0.1, 'compile_beta_b': 1.0, 'compile_prior_rate': 15, 'hidden_size': 128}. Best is trial 15 with value: 0.61266.
[I 2025-05-24 00:19:16,495] Trial 26 finished with value: 0.46654 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 64, 'compile_beta_z': 0.1, 'compile_beta_b': 0.01, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 15 with value: 0.61266.
[I 2025-05-24 00:29:25,799] Trial 27 finished with value: 0.40348 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 15 with value: 0.61266.
[I 2025-05-24 00:34:43,861] Trial 28 finished with value: 0.7814 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 64, 'compile_beta_z': 0.01, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 28 with value: 0.7814.
[I 2025-05-24 00:35:25,643] Trial 29 finished with value: 0.388 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.1, 'compile_prior_rate': 15, 'hidden_size': 64}. Best is trial 28 with value: 0.7814.
[I 2025-05-24 01:26:07,374] Trial 30 finished with value: 0.37234 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.1, 'compile_batch_size': 128, 'compile_beta_z': 0.01, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 512}. Best is trial 28 with value: 0.7814.
[I 2025-05-24 01:31:25,080] Trial 31 finished with value: 0.6775 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 64, 'compile_beta_z': 0.01, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 28 with value: 0.7814.
[I 2025-05-24 01:36:42,017] Trial 32 finished with value: 0.7574200000000001 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 64, 'compile_beta_z': 0.01, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 28 with value: 0.7814.
[I 2025-05-24 01:41:21,751] Trial 33 finished with value: 0.783 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 64, 'compile_beta_z': 0.01, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 33 with value: 0.783.
[I 2025-05-24 01:45:00,310] Trial 34 finished with value: 0.62756 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 64, 'compile_beta_z': 0.01, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 64}. Best is trial 33 with value: 0.783.
[I 2025-05-24 01:51:06,625] Trial 35 finished with value: 0.5084 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.01, 'compile_beta_b': 0.1, 'compile_prior_rate': 10, 'hidden_size': 128}. Best is trial 33 with value: 0.783.
[I 2025-05-24 01:56:23,254] Trial 36 finished with value: 0.45694 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.1, 'compile_batch_size': 64, 'compile_beta_z': 0.01, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 33 with value: 0.783.
[I 2025-05-24 01:59:35,743] Trial 37 finished with value: 0.71026 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.0001, 'compile_batch_size': 64, 'compile_beta_z': 0.01, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 33 with value: 0.783.
[I 2025-05-24 02:03:26,768] Trial 38 finished with value: 0.48668 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.01, 'compile_beta_b': 0.1, 'compile_prior_rate': 10, 'hidden_size': 64}. Best is trial 33 with value: 0.783.
[I 2025-05-24 02:16:47,723] Trial 39 finished with value: 0.69818 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 33 with value: 0.783.
[I 2025-05-24 02:33:36,889] Trial 40 finished with value: 0.37234 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.1, 'compile_batch_size': 64, 'compile_beta_z': 0.01, 'compile_beta_b': 0.1, 'compile_prior_rate': 10, 'hidden_size': 512}. Best is trial 33 with value: 0.783.
[I 2025-05-24 02:46:57,045] Trial 41 finished with value: 0.8227800000000001 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 41 with value: 0.8227800000000001.
[I 2025-05-24 03:00:16,859] Trial 42 finished with value: 0.7509 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 41 with value: 0.8227800000000001.
[I 2025-05-24 03:13:37,207] Trial 43 finished with value: 0.77134 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 41 with value: 0.8227800000000001.
[I 2025-05-24 03:27:02,632] Trial 44 finished with value: 0.39028000000000007 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 1.0, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 41 with value: 0.8227800000000001.
[I 2025-05-24 03:40:20,488] Trial 45 finished with value: 0.4887 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 41 with value: 0.8227800000000001.
[I 2025-05-24 03:53:41,040] Trial 46 finished with value: 0.5478 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.01, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 41 with value: 0.8227800000000001.
[I 2025-05-24 03:55:58,212] Trial 47 finished with value: 0.6845 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 41 with value: 0.8227800000000001.
[I 2025-05-24 04:09:19,602] Trial 48 finished with value: 0.29144000000000003 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 1.0, 'compile_beta_b': 0.1, 'compile_prior_rate': 15, 'hidden_size': 256}. Best is trial 41 with value: 0.8227800000000001.
[I 2025-05-24 04:22:36,008] Trial 49 finished with value: 0.4421 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.1, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.1, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 41 with value: 0.8227800000000001.
[I 2025-05-24 04:24:53,137] Trial 50 finished with value: 0.8821800000000001 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 50 with value: 0.8821800000000001.
[I 2025-05-24 04:27:10,267] Trial 51 finished with value: 0.8235000000000001 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 50 with value: 0.8821800000000001.
[I 2025-05-24 04:29:27,444] Trial 52 finished with value: 0.81366 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 50 with value: 0.8821800000000001.
[I 2025-05-24 04:31:44,597] Trial 53 finished with value: 0.8509800000000001 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 50 with value: 0.8821800000000001.
[I 2025-05-24 04:34:01,393] Trial 54 finished with value: 0.85836 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 50 with value: 0.8821800000000001.
[I 2025-05-24 04:36:18,569] Trial 55 finished with value: 0.39170000000000005 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.5, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 50 with value: 0.8821800000000001.
[I 2025-05-24 04:38:35,453] Trial 56 finished with value: 0.8345800000000001 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 50 with value: 0.8821800000000001.
[I 2025-05-24 04:40:52,668] Trial 57 finished with value: 0.39206 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 1.0, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 50 with value: 0.8821800000000001.
[I 2025-05-24 04:43:09,467] Trial 58 finished with value: 0.7018 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 50 with value: 0.8821800000000001.
[I 2025-05-24 04:45:26,359] Trial 59 finished with value: 0.28586 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 15, 'hidden_size': 256}. Best is trial 50 with value: 0.8821800000000001.
[I 2025-05-24 04:47:43,148] Trial 60 finished with value: 0.8240800000000001 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 50 with value: 0.8821800000000001.
[I 2025-05-24 04:50:00,017] Trial 61 finished with value: 0.9028800000000001 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 61 with value: 0.9028800000000001.
[I 2025-05-24 04:52:16,870] Trial 62 finished with value: 0.63852 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 61 with value: 0.9028800000000001.
[I 2025-05-24 04:54:33,677] Trial 63 finished with value: 0.6076400000000001 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 61 with value: 0.9028800000000001.
[I 2025-05-24 04:56:50,845] Trial 64 finished with value: 0.3950000000000001 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.5, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 61 with value: 0.9028800000000001.
[I 2025-05-24 04:59:07,607] Trial 65 finished with value: 0.79866 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 61 with value: 0.9028800000000001.
[I 2025-05-24 05:01:24,465] Trial 66 finished with value: 0.87228 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 61 with value: 0.9028800000000001.
[I 2025-05-24 05:03:20,733] Trial 67 finished with value: 0.62642 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 61 with value: 0.9028800000000001.
[I 2025-05-24 05:05:37,592] Trial 68 finished with value: 0.57402 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 61 with value: 0.9028800000000001.
[I 2025-05-24 05:07:54,471] Trial 69 finished with value: 0.29102000000000006 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 15, 'hidden_size': 256}. Best is trial 61 with value: 0.9028800000000001.
[I 2025-05-24 05:10:11,644] Trial 70 finished with value: 0.39511999999999997 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 1.0, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 61 with value: 0.9028800000000001.
[I 2025-05-24 05:12:28,529] Trial 71 finished with value: 0.8805000000000001 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 61 with value: 0.9028800000000001.
[I 2025-05-24 05:14:45,345] Trial 72 finished with value: 0.85154 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 61 with value: 0.9028800000000001.
[I 2025-05-24 05:17:02,158] Trial 73 finished with value: 0.9018800000000001 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 61 with value: 0.9028800000000001.
[I 2025-05-24 05:19:19,114] Trial 74 finished with value: 0.47836 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 61 with value: 0.9028800000000001.
[I 2025-05-24 05:20:00,924] Trial 75 finished with value: 0.48556000000000005 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 64}. Best is trial 61 with value: 0.9028800000000001.
[I 2025-05-24 05:25:22,793] Trial 76 finished with value: 0.39914000000000005 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.5, 'compile_beta_b': 0.5, 'compile_prior_rate': 10, 'hidden_size': 512}. Best is trial 61 with value: 0.9028800000000001.
[I 2025-05-24 05:27:40,187] Trial 77 finished with value: 0.6527200000000001 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 128, 'compile_beta_z': 0.01, 'compile_beta_b': 0.01, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 61 with value: 0.9028800000000001.
[I 2025-05-24 05:29:57,200] Trial 78 finished with value: 0.8805000000000001 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 61 with value: 0.9028800000000001.
[I 2025-05-24 05:32:14,052] Trial 79 finished with value: 0.93964 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 79 with value: 0.93964.
